Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CINGULATE GYRUS	15/2316	0.000371575822171913631823680912447116497787646949291229248046875	0.037529158039363276488931120411507436074316501617431640625	0.0000075445463400492527436731228507316160403206595219671726226806640625	0.000761999180344974488994502781480377961997874081134796142578125	-1.6752395445860702	13.23063587399701	SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;NME5;SNAP91;PREPL;NKRF;RUSC1;SH3BGRL2;NEFM;KIF21A;SH3GL2;RAB11FIP5
PANCREATIC ISLET	14/2316	0.001230415902290819644970820689877655240707099437713623046875	0.062136003065686389035260361879409174434840679168701171875	0.0000373256195832431832810037464209784729973762296140193939208984375	0.0018849437889537808132889296075518359430134296417236328125	-1.5925036579140968	10.670416342430102	SYT4;ABCA5;MYCBP2;CADPS;NME5;SCAMP1;SMARCA2;SNAP91;PJA2;PREPL;SH3BGRL2;KIF21A;GRSF1;SH3GL2
CEREBRAL CORTEX	13/2316	0.0037206499832185039276788440787413492216728627681732177734375	0.1252618827683562863217758831524406559765338897705078125	0.00016668748193382577145633949289305064667132683098316192626953125	0.005611811891772133971401093077702171285636723041534423828125	-1.5948066449142038	8.921120153684253	SYT4;CADPS2;GABARAPL1;ELOVL4;MCF2;NME5;SNAP91;PREPL;RUSC1;NEFM;KIF21A;SH3GL2;RAB11FIP5
BETA CELL	11/2316	0.0256159959997152263111441783394184312783181667327880859375	0.51744311919424756940344423128408379852771759033203125	0.0024167177425171953823734849464699436794035136699676513671875	0.04881769839884735062707221686650882475078105926513671875	-1.7432076106080696	6.388051017127932	SYT4;ELOVL4;RUSC1;CADPS;SH3BGRL2;NEFM;KIF21A;NME5;SNAP91;SH3GL2;RAB11FIP5
BRAIN (BULK)	11/2316	0.0256159959997152263111441783394184312783181667327880859375	0.51744311919424756940344423128408379852771759033203125	0.0024167177425171953823734849464699436794035136699676513671875	0.04881769839884735062707221686650882475078105926513671875	-1.5063769896046686	5.520176140847369	SYT4;CADPS2;GABARAPL1;PREPL;ELOVL4;MCF2;NEFM;NME5;SNAP91;SH3GL2;RAB11FIP5
SENSORY NEURON	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.99789119885046229097014247599872760474681854248046875	0.0223367315757275718135499431582502438686788082122802734375	0.2256009889148484770515779018751345574855804443359375	-1.5897478586338247	3.393505422596531	SYT4;ELOVL4;MCF2;SH3BGRL2;NEFM;KIF21A;NME5;SNAP91;SH3GL2
MOTOR NEURON	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.99789119885046229097014247599872760474681854248046875	0.0223367315757275718135499431582502438686788082122802734375	0.2256009889148484770515779018751345574855804443359375	-1.5749690385654291	3.3619582777022594	SYT4;ELOVL4;RUSC1;NEFM;KIF21A;NME5;SPATA18;SNAP91;SH3GL2
DENTATE GRANULE CELL	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.99789119885046229097014247599872760474681854248046875	0.0223367315757275718135499431582502438686788082122802734375	0.2256009889148484770515779018751345574855804443359375	-1.5437669161829533	3.2953536454479058	SYT4;PREPL;ELOVL4;MCF2;SH3BGRL2;NEFM;NME5;SNAP91;SH3GL2
SUPERIOR FRONTAL GYRUS	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.99789119885046229097014247599872760474681854248046875	0.0223367315757275718135499431582502438686788082122802734375	0.2256009889148484770515779018751345574855804443359375	-1.3884195943502229	2.9637463555483285	SYT4;GABARAPL1;ELOVL4;MCF2;NEFM;NME5;SNAP91;SH3GL2;RAB11FIP5
HUMAN EMBRYO	9/2316	0.11828969194025142075421541676405468024313449859619140625	0.99789119885046229097014247599872760474681854248046875	0.0223367315757275718135499431582502438686788082122802734375	0.2256009889148484770515779018751345574855804443359375	-1.320474858063247	2.818710254524806	CCNB1;ELOVL4;RARS;DNAJA2;SH3BGRL2;NEFM;DENR;KIF21A;SAE1
DORSAL STRIATUM	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.99789119885046229097014247599872760474681854248046875	0.05669388048113820077755775628247647546231746673583984375	0.477173494049579816067563342585344798862934112548828125	-1.4678863105504567	2.2419399554001807	SYT4;PREPL;ELOVL4;MCF2;NEFM;NME5;SNAP91;SH3GL2
CEREBELLUM	8/2316	0.2171156022572823529603880388094694353640079498291015625	0.99789119885046229097014247599872760474681854248046875	0.05669388048113820077755775628247647546231746673583984375	0.477173494049579816067563342585344798862934112548828125	-1.3976916676064841	2.134729898640317	SYT4;CADPS2;ABCA5;ELOVL4;MCF2;NME5;SNAP91;SH3GL2
OLIGODENDROCYTE	7/2316	0.35759616545162520306888609411544166505336761474609375	0.99789119885046229097014247599872760474681854248046875	0.126669714451384918252330180621356703341007232666015625	0.79960257247436727912059950540424324572086334228515625	-1.4174352204512746	1.4576208679174634	SYT4;CCNB1;NEFM;NME5;SPATA18;SNAP91;SH3GL2
MIDBRAIN	7/2316	0.35759616545162520306888609411544166505336761474609375	0.99789119885046229097014247599872760474681854248046875	0.126669714451384918252330180621356703341007232666015625	0.79960257247436727912059950540424324572086334228515625	-1.215710321760864	1.2501768749453794	SYT4;CADPS;NEFM;MATR3;KIF21A;NME5;SNAP91
PREFRONTAL CORTEX	7/2316	0.35759616545162520306888609411544166505336761474609375	0.99789119885046229097014247599872760474681854248046875	0.126669714451384918252330180621356703341007232666015625	0.79960257247436727912059950540424324572086334228515625	-1.1624055315935662	1.1953608428708569	SYT4;MCF2;CADPS;NEFM;KIF21A;SNAP91;SH3GL2
