Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CDC2-PCNA-CCNB1-GADD45B complex (human)	1/4	0.00179892019810200926542564925370015771477483212947845458984375	0.0026983802971530137897182566319997931714169681072235107421875	0.00545850368676910162324400488387254881672561168670654296875	0.0081877555301536515675042693374052760191261768341064453125	-1.875288995317199	11.852892897306678	CCNB1
RalBP1-CDC2-CCNB1 complex (human)	1/3	0.0013494600360343610677416048559962291619740426540374755859375	0.0026983802971530137897182566319997931714169681072235107421875	0.004368396091241910812741355840671531041152775287628173828125	0.0081877555301536515675042693374052760191261768341064453125	-1.7910778081111525	11.835533035018424	CCNB1
CDC2-PCNA-CCNB1-GADD45G complex (human)	1/4	0.00179892019810200926542564925370015771477483212947845458984375	0.0026983802971530137897182566319997931714169681072235107421875	0.00545850368676910162324400488387254881672561168670654296875	0.0081877555301536515675042693374052760191261768341064453125	-1.843815077626146	11.65395983878489	CCNB1
CDC2-PCNA-CCNB1-GADD45A complex (human)	1/4	0.00179892019810200926542564925370015771477483212947845458984375	0.0026983802971530137897182566319997931714169681072235107421875	0.00545850368676910162324400488387254881672561168670654296875	0.0081877555301536515675042693374052760191261768341064453125	-1.7702356030704036	11.188895716120536	CCNB1
Cell cycle kinase complex CDC2 (human)	1/6	0.0026973011249024170070398565002278701285831630229949951171875	0.0032367613498829003217116540014330894337035715579986572265625	0.007636331200103193238282184296394916600547730922698974609375	0.0091635974401238322328833163510353188030421733856201171875	-1.7022533059726759	10.069685541307578	CCNB1
CDC2-CCNB1-PTCH1 complex (human)	1/3	0.0013494600360343610677416048559962291619740426540374755859375	0.0026983802971530137897182566319997931714169681072235107421875	0.004368396091241910812741355840671531041152775287628173828125	0.0081877555301536515675042693374052760191261768341064453125	-1.517842112240661	10.0299776927679	CCNB1
RalBP1-CCNB1-AP2A-NUMB-EPN1 complex (human)	1/6	0.0026973011249024170070398565002278701285831630229949951171875	0.0032367613498829003217116540014330894337035715579986572265625	0.007636331200103193238282184296394916600547730922698974609375	0.0091635974401238322328833163510353188030421733856201171875	-1.6383532145086914	9.691684320898467	CCNB1
RC complex during G2/M-phase of cell cycle (human)	1/13	0.0058359773052654995151300454381271265447139739990234375	0.0058359773052654995151300454381271265447139739990234375	0.01523368740622675632234717113533406518399715423583984375	0.01523368740622675632234717113533406518399715423583984375	-1.8459593017796103	9.495085849457654	CCNB1
CCNB1-CDC2 complex (human)	1/2	0.000899819991017392008421371674131705731269903481006622314453125	0.0026983802971530137897182566319997931714169681072235107421875	0.003277492215554996500548323723478461033664643764495849609375	0.0081877555301536515675042693374052760191261768341064453125	-1.2953643296450856	9.084799151755027	CCNB1
CDC2-CCNB1-CCNF complex (human)	1/3	0.0013494600360343610677416048559962291619740426540374755859375	0.0026983802971530137897182566319997931714169681072235107421875	0.004368396091241910812741355840671531041152775287628173828125	0.0081877555301536515675042693374052760191261768341064453125	-1.2435792177170313	8.217634569697534	CCNB1
Multisynthetase complex (human)	1/11	0.004940109895345871915406377183899166993796825408935546875	0.005389210794922769283410435292580586974509060382843017578125	0.013066985430228272857533511341898702085018157958984375	0.0142548931966126612991274669184349477291107177734375	-1.4275285695781532	7.5807016095819515	RARS
HSF1-HSF2 complex (human)	1/2	0.000899819991017392008421371674131705731269903481006622314453125	0.0026983802971530137897182566319997931714169681072235107421875	0.003277492215554996500548323723478461033664643764495849609375	0.0081877555301536515675042693374052760191261768341064453125	-0.8845831424368129	6.2038609510488785	HSF2
