Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CHiP_ZFX-18555785	21/3249	0.000013569043753193491780675329627658953768332139588892459869384765625	0.0027545158818982787111984134043041194672696292400360107421875	0.00000006664408054099019931514860833055013955572576378472149372100830078125	0.000013528748349821010090398253067345279987421236000955104827880859375	-1.3691808039383928	15.34539446968501	GABARAPL1;ELOVL4;CADPS;SEL1L;UBE3A;SDAD1;SCAMP1;PJA2;LZTFL1;PPP2CA;CAMSAP1L1;GPIAP1;HSF2;RARS;DNAJA2;DENR;KPNA4;GRSF1;VPS36;SH3GL2;RAB11FIP5
Protein_POU5F1-22083510	3/198	0.013316606382251079676581895228082430548965930938720703125	0.59397640398405349149157927968190051615238189697265625	0.005935555107214729626818883190253473003394901752471923828125	0.1506147108455737626542259022244252264499664306640625	-1.8867741654753662	8.148493516772904	DNAJA2;MATR3;SMARCA2
RAD21-21589869_DOWN	5/659	0.0239252529131274878360091662443664972670376300811767578125	0.60710329267061002855854212612030096352100372314453125	0.007108988112253873843660034737013120320625603199005126953125	0.16034717630972628032992588487104512751102447509765625	-2.0167402258118576	7.528129803850096	ELOVL4;SH3BGRL2;KIF21A;SCAMP1;VPS36
CHiP_TBX3-20139965	7/1071	0.0165239476742496636807455701045910245738923549652099609375	0.59397640398405349149157927968190051615238189697265625	0.0032504632645978283334020630945815355516970157623291015625	0.1275500796984484208618226830367348156869411468505859375	-1.7566689539268954	7.2075153565249765	CADPS;DNAJA2;ARHGEF3;KIF21A;GRSF1;SAE1;LZTFL1
ESRRB-19136965_DOWN	3/240	0.0221106017309962675498891115921651362441480159759521484375	0.60710329267061002855854212612030096352100372314453125	0.00996965268049410970052637281924035050906240940093994140625	0.1686532911783586996534722857177257537841796875	-1.8468527199064522	7.039644946473424	PSMC1;ARHGEF3;KIF21A
SOX2-17515932_UP	5/608	0.0175559528271148797273770725269059767015278339385986328125	0.59397640398405349149157927968190051615238189697265625	0.005101615386683483292784568874367323587648570537567138671875	0.1479468462138210094192203314378275536000728607177734375	-1.7251827609354204	6.973813570812961	MCF2;ARHGEF3;NEFM;RAB3GAP1;SH3GL2
CHiP_NANOG-18700969	3/344	0.054653961382998210438710628977787564508616924285888671875	0.66792826276026084908465918488218449056148529052734375	0.0255527086696285231359748735258108354173600673675537109375	0.2159630830111859689512954219026141799986362457275390625	-2.3966953563859565	6.966554874788735	MCF2;GRSF1;SH3GL2
JARID2-20075857_UP	7/1005	0.01198183757460953048623597538835383602418005466461181640625	0.59397640398405349149157927968190051615238189697265625	0.0022843147408846751870992175525998391094617545604705810546875	0.1275500796984484208618226830367348156869411468505859375	-1.506203123291086	6.663989837896647	SYT4;CAMSAP1L1;CADPS;KIF21A;NEFM;SNAP91;PJA2
mESC_H3K9me3_19884255	12/2163	0.006008961472293294914237549164681695401668548583984375	0.59397640398405349149157927968190051615238189697265625	0.0004152090788440911291179435949061371502466499805450439453125	0.042143721502675250689673447368477354757487773895263671875	-1.0988321656078803	5.619980786944364	CADPS2;CCNB1;ELOVL4;ABCA5;CADPS;KIF21A;NEFM;SMARCA2;RAB3GAP1;SNAP91;OPTN;CCDC28A
CHiP_CDX2-19796622	3/334	0.0508750247785743903161659318357123993337154388427734375	0.66792826276026084908465918488218449056148529052734375	0.0236969541182293109982115453249207348562777042388916015625	0.2156218567553926934721175712184049189090728759765625	-1.8559057377535715	5.527598373919757	ELOVL4;ABCA5;SMARCA2
ETV3-19796622_DOWN	3/379	0.068906759223395785962651416411972604691982269287109375	0.66792826276026084908465918488218449056148529052734375	0.0326499133468639290978074996019131503999233245849609375	0.2367118717647634651424226603921852074563503265380859375	-1.9110007441349781	5.111928908896473	CADPS;MYCBP2;OPTN
PANCT1-22327834_DOWN	3/338	0.052370612152443603293239249296675552614033222198486328125	0.66792826276026084908465918488218449056148529052734375	0.0244300625880494205743875824055066914297640323638916015625	0.2156218567553926934721175712184049189090728759765625	-1.7144207073544335	5.056529032895299	GABARAPL1;NEFM;SMARCA2
YY1-22210892_UP	2/158	0.059370286470003919010451909343828447163105010986328125	0.66792826276026084908465918488218449056148529052734375	0.034686122903093773162108703900230466388165950775146484375	0.2428028603216564051958670233943848870694637298583984375	-1.7234627824253332	4.8669923814656215	PREPL;OPTN
TCF3-19796622_DOWN	12/2789	0.0389848870617482690104083076221286319196224212646484375	0.66792826276026084908465918488218449056148529052734375	0.0037488443793072269948074559664519256330095231533050537109375	0.1275500796984484208618226830367348156869411468505859375	-1.464711601790254	4.752375754700698	SYT4;CCNB1;NKRF;MCF2;DNAJA2;ARHGEF3;MATR3;NEFM;SDAD1;IFITM5;SH3GL2;LZTFL1
NIPBL-20720539_DOWN	11/2422	0.034268008148260753475966566838906146585941314697265625	0.66792826276026084908465918488218449056148529052734375	0.003769953094535421524169382934132954687811434268951416015625	0.1275500796984484208618226830367348156869411468505859375	-1.2966230031411525	4.374213542889099	CADPS2;GABARAPL1;CAMSAP1L1;CADPS;KIF21A;KPNA4;SMARCA2;VPS36;PJA2;SNAP91;RAB11FIP5
DLX3-19796622_DOWN	8/1681	0.055507163796586413140321525361287058331072330474853515625	0.66792826276026084908465918488218449056148529052734375	0.0108248399929651746564918113335806992836296558380126953125	0.169034039890148479745590748279937542974948883056640625	-1.4832887753538984	4.288548569275035	SYT4;MCF2;ARHGEF3;KIF21A;NEFM;OPTN;SH3GL2;CCDC28A
ATF3-19796622_UP	4/625	0.07042843915241243923919256531007704325020313262939453125	0.66792826276026084908465918488218449056148529052734375	0.027660296346260271338479697078582830727100372314453125	0.2159630830111859689512954219026141799986362457275390625	-1.574435895131711	4.177227398728579	SYT4;ARHGEF3;KIF21A;NEFM
TBX3-20139965_UP	2/177	0.072386314190767186982355951840872876346111297607421875	0.66792826276026084908465918488218449056148529052734375	0.04250770912268718448867588222128688357770442962646484375	0.25491817057712140570657766147633083164691925048828125	-1.5778924225028517	4.143132137816574	SH3GL2;RAB11FIP5
CHiP_SOX17-20123909	8/1731	0.06383841476936198688907353471222450025379657745361328125	0.66792826276026084908465918488218449056148529052734375	0.01276492656451797512440204940276089473627507686614990234375	0.1774181234681754537607645261232391931116580963134765625	-1.428526219172249	3.930447264360368	PREPL;GPIAP1;ELOVL4;UBP1;MATR3;UBE3A;KPNA4;IFITM5
