Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-WVLH-0011-R10A-SM-3MJFM_brain_male_50-59_years	13/3100	0.0000007676145348104713643947534691680534280067149666137993335723876953125	0.00065417373484794364389693921424395739450119435787200927734375	0.000000062451829254161630016956084469892385158118486288003623485565185546875	0.000053243821241225717665231098596478886975091882050037384033203125	-1.6469713979320524	23.18932127612837	CADPS2;GABARAPL1;ELOVL4;UBE3A;SCAMP1;LZTFL1;CCDC28A;RUSC1;NKRF;SH3BGRL2;GRSF1;RAB3GAP1;RAB11FIP5
GTEX-T6MN-0011-R10A-SM-32QP7_brain_male_50-59_years	13/3103	0.000000776467341065808431521655906537571212311377166770398616790771484375	0.00065417373484794364389693921424395739450119435787200927734375	0.0000000631974139361729568858231406540404417881973131443373858928680419921875	0.000053243821241225717665231098596478886975091882050037384033203125	-1.6223609992388393	22.824203976487365	CADPS2;GABARAPL1;ELOVL4;UBE3A;SCAMP1;LZTFL1;CCDC28A;RUSC1;NKRF;SH3BGRL2;GRSF1;RAB3GAP1;RAB11FIP5
GTEX-N7MS-0011-R3a-SM-33HC6_brain_male_60-69_years	12/2729	0.00000176402610524668490579410819185657288699076161719858646392822265625	0.000788743111493255661358092734047886551707051694393157958984375	0.000000207040524037012058868433418516719068946940751629881560802459716796875	0.00009274799902829193479041058889578152957255952060222625732421875	-1.6240640259668542	21.51545697615461	CADPS2;GABARAPL1;ELOVL4;RUSC1;NKRF;SH3BGRL2;UBE3A;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;CCDC28A
GTEX-WL46-0011-R10A-SM-3MJFQ_brain_male_50-59_years	12/2744	0.0000018723872082925950739717979587339868885464966297149658203125	0.000788743111493255661358092734047886551707051694393157958984375	0.000000220173291461820619430809630075185356901101840776391327381134033203125	0.00009274799902829193479041058889578152957255952060222625732421875	-1.6221755793989534	21.393732287869476	CADPS2;GABARAPL1;ELOVL4;RUSC1;NKRF;SH3BGRL2;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;RAB11FIP5;CCDC28A
GTEX-QVJO-0011-R10A-SM-2S1QJ_brain_female_60-69_years	12/2814	0.0000024612270760178179778809685884777280762136797420680522918701171875	0.00082943352461800471699115977486371775739826261997222900390625	0.00000029198892624671044703499865093088150302946814917959272861480712890625	0.00009840026814514143287983272134766821181983686983585357666015625	-1.644862748417495	21.24315652336609	CADPS2;GABARAPL1;ELOVL4;RUSC1;NKRF;SH3BGRL2;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;RAB11FIP5;CCDC28A
GTEX-X585-0011-R10A-SM-46MUY_brain_male_50-59_years	12/3116	0.000007374883959381857111690418415950176722617470659315586090087890625	0.002071113245259738160075624335831889766268432140350341796875	0.0000009099190048869645929671885233036565665543093928135931491851806640625	0.00025553558720575590169910018545351704233326017856597900390625	-1.6632521390276656	19.65536637428288	CADPS2;GABARAPL1;ELOVL4;RUSC1;NKRF;SH3BGRL2;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;RAB11FIP5;CCDC28A
GTEX-NL3H-0011-R10A-SM-2I3E9_brain_male_60-69_years	11/2684	0.000012994569513395322040284589337755249971451121382415294647216796875	0.002942754337936938531516961603529125568456947803497314453125	0.00000215332532500423353156852358802897384748575859703123569488525390625	0.000488852382649456623266159827068122467608191072940826416015625	-1.66396664150306	18.72125376939572	CADPS2;GABARAPL1;ELOVL4;RUSC1;NKRF;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;RAB11FIP5;CCDC28A
GTEX-QMR6-0011-R10A-SM-32PKO_brain_male_50-59_years	11/2704	0.000013971533948662022197868652628738317389434087090194225311279296875	0.002942754337936938531516961603529125568456947803497314453125	0.000002320960867178429099032081761588841573029640130698680877685546875	0.000488852382649456623266159827068122467608191072940826416015625	-1.6173010068852065	18.07898084829265	CADPS2;GABARAPL1;ELOVL4;NKRF;SH3BGRL2;UBE3A;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;CCDC28A
GTEX-S7SE-0011-R10A-SM-2XCDF_brain_male_50-59_years	11/2843	0.00002274556321999315550218094539314250823736074380576610565185546875	0.004258474891743162758783736165923983207903802394866943359375	0.00000384485841805112178487698060269650568443466909229755401611328125	0.000719842937157348845313153962166552446433342993259429931640625	-1.6156827186710856	17.27349087584114	CADPS2;GABARAPL1;ELOVL4;RUSC1;NKRF;UBE3A;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;RAB11FIP5
GTEX-WZTO-0011-R3B-SM-3NMC6_brain_male_40-49_years	11/2972	0.0000349032486133212557603833214869837320293299853801727294921875	0.0058811973913446315143094267341439262963831424713134765625	0.000005997707034219879672722920693761494703721837140619754791259765625	0.0010106136352660498832489732734529752633534371852874755859375	-1.633671497132733	16.766257279320456	GABARAPL1;ELOVL4;RUSC1;NKRF;UBE3A;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;RAB11FIP5;CCDC28A
GTEX-QVUS-0011-R3A-SM-3GAFD_brain_female_60-69_years	10/2759	0.000120524618900354020859487513828156579620554111897945404052734375	0.01358942130633624019442340369323574122972786426544189453125	0.00002726356193999144640095766423115719589986838400363922119140625	0.003082385941105656064487039458299477701075375080108642578125	-1.6930058667716066	15.277103427540338	CADPS2;GABARAPL1;ELOVL4;NKRF;SH3BGRL2;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;CCDC28A
GTEX-Q2AG-0011-R10A-SM-2HMLA_brain_female_40-49_years	10/2680	0.00009381368943151227753583787372093638623482547700405120849609375	0.01358942130633624019442340369323574122972786426544189453125	0.0000210166341834176368936863699143913208899903111159801483154296875	0.002892312608511938935851315335412436979822814464569091796875	-1.6215068069352787	15.038178055663504	CADPS2;GABARAPL1;ELOVL4;RUSC1;NKRF;GRSF1;SCAMP1;RAB3GAP1;LZTFL1;RAB11FIP5
