Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Prefrontal_cortex	36/5632	0.0000000001553593068880743345051011334480707375138575088158177095465362071990966796875	0.00000002951826830873412515863165217662456019098726756055839359760284423828125	0.00000000000162188171886538759024364311596956241857958591623400934622623026371002197265625	0.0000000003081575265844236583021635309605386343623223410759237594902515411376953125	-7.757498564247982	175.20528161604065	WDR69;MYCBP2;SEL1L;UBP1;UBE3A;SDAD1;CCDC28A;PPP2CA;RUSC1;NKRF;HSF2;SH3BGRL2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;CADPS2;ELOVL4;ABCA5;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;PSMC1;DNAJA2;ARHGEF3;MATR3;GRSF1;SAE1;SPATA18;OPTN;RAB3GAP1
Amygdala	33/5279	0.00000000505478008975739286871099853319135031259889956345432437956333160400390625	0.00000032013607235130151361011084654162317519876523874700069427490234375	0.00000000013094117990104143491898569705224504577945054961674031801521778106689453125	0.0000000082929413937326242804674785260611591386492591482237912714481353759765625	-7.670498832988851	146.529013692505	WDR69;MYCBP2;SEL1L;UBP1;UBE3A;SDAD1;CCDC28A;PPP2CA;RUSC1;SH3BGRL2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;ELOVL4;ABCA5;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;PSMC1;DNAJA2;ARHGEF3;MATR3;GRSF1;SAE1;SPATA18;OPTN;RAB3GAP1
Pineal_gland	35/5881	0.000000003457344793657208278053804821508369904403679129245574586093425750732421875	0.00000032013607235130151361011084654162317519876523874700069427490234375	0.000000000055622306899974345822384267407726961100766782664095444488339126110076904296875	0.00000000528411915549756258817021544534238419732474767442909069359302520751953125	-7.355632632171036	143.30806158079994	WDR69;MYCBP2;SEL1L;UBP1;UBE3A;CCDC28A;PPP2CA;RUSC1;NKRF;HSF2;SH3BGRL2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;ELOVL4;ABCA5;MCF2;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;PSMC1;DNAJA2;ARHGEF3;MATR3;GRSF1;SAE1;SPATA18;OPTN;RAB3GAP1
Subthalamic_nucleus	28/4383	0.00000016187693945461187829842376884048604779309243895113468170166015625	0.00000768915462409406358390041857919783296893001534044742584228515625	0.00000001169170035454465867452394207091914690721523584215901792049407958984375	0.0000005553557668408712704962749973081059806645498611032962799072265625	-7.223238691362616	112.94566200570186	WDR69;MYCBP2;SEL1L;UBE3A;CCDC28A;PPP2CA;RUSC1;HSF2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;ABCA5;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;PSMC1;ARHGEF3;MATR3;SAE1;SPATA18;OPTN;RAB3GAP1
Cingulate_cortex	29/4839	0.00000033160053610685338184552346796341026902155135758221149444580078125	0.00001260082037206042935716283903690992929114145226776599884033203125	0.000000021484601726998418065586933002608649445619448670186102390289306640625	0.00000081641486562593993943186265749289987070369534194469451904296875	-7.252822747335445	108.20729079049774	WDR69;MYCBP2;SEL1L;UBE3A;CCDC28A;PPP2CA;RUSC1;SH3BGRL2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;ELOVL4;ABCA5;SMARCA2;SNAP91;PJA2;PREPL;PSMC1;ARHGEF3;MATR3;GRSF1;SAE1;SPATA18;OPTN;RAB3GAP1
Embryonic_brain	29/4936	0.0000005198546439010059865815072642492022936266948818229138851165771484375	0.000016462063723531855500593901187045275946729816496372222900390625	0.00000003450362980512862591820150083739282553807470321771688759326934814453125	0.0000009365270947106341490817561952486602905310064670629799365997314453125	-7.025841360464685	101.66193333020996	WDR69;MYCBP2;SEL1L;UBP1;UBE3A;CCDC28A;PPP2CA;RUSC1;HSF2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;ELOVL4;ABCA5;SMARCA2;SNAP91;PJA2;PREPL;PSMC1;ARHGEF3;MATR3;SAE1;SPATA18;OPTN;RAB3GAP1
B-lymphoblastoid_cell	32/5983	0.0000006361704980874903158868417796245608997196541167795658111572265625	0.00001726748494808902261777629194572369897286989726126194000244140625	0.00000002651224426629956621597784816035670019118697382509708404541015625	0.0000008395544017661528948795923894821147115408166428096592426300048828125	-7.049681207226756	100.58343610570752	WDR69;MYCBP2;SEL1L;UBP1;UBE3A;SDAD1;CCDC28A;PPP2CA;CCNB1;RUSC1;NKRF;RARS;HSF2;KPNA4;DENR;KIF21A;VPS36;RAB11FIP5;SYT4;ABCA5;SMARCA2;PJA2;PREPL;PSMC1;DNAJA2;ARHGEF3;MATR3;GRSF1;SAE1;SPATA18;OPTN;RAB3GAP1
Thalamus	28/4856	0.00000151758545221440970643986094479327420003755833022296428680419921875	0.0000322781333229526788447701080020380004498292692005634307861328125	0.000000122815785223893327475494573024217270784674838068895041942596435546875	0.00000212136356295815762377002765270983530854209675453603267669677734375	-7.3319570975659225	98.23642068885613	WDR69;MYCBP2;SEL1L;UBE3A;CCDC28A;PPP2CA;RUSC1;SH3BGRL2;NEFM;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;ABCA5;MCF2;SMARCA2;SNAP91;PJA2;PREPL;PSMC1;MATR3;GRSF1;SAE1;SPATA18;OPTN;RAB3GAP1
Temporal_lobe	37/8425	0.0000047784057888787976275078717147692941580316983163356781005859375	0.0000825360999897246949176532471170730786980129778385162353515625	0.00000008154236326982824457310582676183852157691944739781320095062255859375	0.0000017214498912519295958901098531068640795638202689588069915771484375	-8.01096908069995	98.14561530708943	MYCBP2;SEL1L;UBP1;UBE3A;SDAD1;CCDC28A;PPP2CA;RUSC1;RARS;HSF2;SH3BGRL2;NEFM;KPNA4;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;CADPS2;ELOVL4;MCF2;CADPS;NME5;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;PSMC1;DNAJA2;ARHGEF3;MATR3;GRSF1;SAE1;RAB3GAP1;OPTN
Parietal_lobe	40/9921	0.000009144260195951414913460332523076345978552126325666904449462890625	0.00012921012559915869585651371220791361338342539966106414794921875	0.000000064195814585705218908553482994039374176509227254427969455718994140625	0.000001524650596410498982165369723229542131548441830091178417205810546875	-8.316002684838283	96.48545796231042	WDR69;MYCBP2;SEL1L;UBP1;UBE3A;SDAD1;CCDC28A;PPP2CA;RUSC1;RARS;HSF2;SH3BGRL2;NEFM;KPNA4;DENR;KIF21A;VPS36;SH3GL2;RAB11FIP5;SYT4;CADPS2;ELOVL4;ABCA5;MCF2;CADPS;NME5;SMARCA2;LZTFL1;SNAP91;PJA2;PREPL;PSMC1;DNAJA2;ARHGEF3;MATR3;GRSF1;SAE1;SPATA18;RAB3GAP1;OPTN
