Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
LARS	1/9	0.00404352496647435166732265088285203091800212860107421875	0.00960628931795074782196142137991046183742582798004150390625	0.01330359557407261895944916574308081180788576602935791015625	0.0297864474057819954289083597132048453204333782196044921875	-2.0110698061220833	11.082278601213696	RARS
IARS	1/8	0.0035949632753177903320140895715439910418353974819183349609375	0.00960628931795074782196142137991046183742582798004150390625	0.01197857802120302385395778088650331483222544193267822265625	0.0297864474057819954289083597132048453204333782196044921875	-1.9628177770610558	11.047173220012873	RARS
KARS	1/7	0.003146222015554422934968670233502052724361419677734375	0.00960628931795074782196142137991046183742582798004150390625	0.01065237477020265603744331173174941795878112316131591796875	0.0297864474057819954289083597132048453204333782196044921875	-1.7892334026021741	10.308762910443047	RARS
PSMD1	1/12	0.00538813325918294054595047981592870200984179973602294921875	0.00960628931795074782196142137991046183742582798004150390625	0.017271539347556034982300587898862431757152080535888671875	0.0297864474057819954289083597132048453204333782196044921875	-1.8570356530165892	9.700330262637424	PSMC1
CCNA2	1/12	0.00538813325918294054595047981592870200984179973602294921875	0.00960628931795074782196142137991046183742582798004150390625	0.017271539347556034982300587898862431757152080535888671875	0.0297864474057819954289083597132048453204333782196044921875	-1.828651362347888	9.552063322630193	CCNB1
PSMD7	1/12	0.00538813325918294054595047981592870200984179973602294921875	0.00960628931795074782196142137991046183742582798004150390625	0.017271539347556034982300587898862431757152080535888671875	0.0297864474057819954289083597132048453204333782196044921875	-1.8118758064191631	9.464435261971456	PSMC1
PSMD8	1/13	0.0058359773052654995151300454381271265447139739990234375	0.00960628931795074782196142137991046183742582798004150390625	0.01859181941114597391706553253243328072130680084228515625	0.0297864474057819954289083597132048453204333782196044921875	-1.790760325452425	9.211158127690698	PSMC1
PSMD10	1/16	0.007178434170969811255191839194367275922559201717376708984375	0.00960628931795074782196142137991046183742582798004150390625	0.0225455634429849345601315491194327478297054767608642578125	0.0297864474057819954289083597132048453204333782196044921875	-1.8309647625043843	9.038876141162904	PSMC1
PSMC6	1/18	0.00807250998134690332663776501931351958774030208587646484375	0.00960628931795074782196142137991046183742582798004150390625	0.0251754846347838311115818754615247598849236965179443359375	0.0297864474057819954289083597132048453204333782196044921875	-1.6863382784841958	8.126954583007405	PSMC1
PSMC5	1/16	0.007178434170969811255191839194367275922559201717376708984375	0.00960628931795074782196142137991046183742582798004150390625	0.0225455634429849345601315491194327478297054767608642578125	0.0297864474057819954289083597132048453204333782196044921875	-1.6269159142965663	8.031553497129769	PSMC1
PSMD11	1/19	0.00851927944423767902204502888707793317735195159912109375	0.00960628931795074782196142137991046183742582798004150390625	0.02648867437258373147557222182513214647769927978515625	0.0297864474057819954289083597132048453204333782196044921875	-1.6148363955984815	7.695379330831735	PSMC1
PSMA8	1/17	0.007625561577727461674836018090672951075248420238494873046875	0.00960628931795074782196142137991046183742582798004150390625	0.023861114501603442050736703095026314258575439453125	0.0297864474057819954289083597132048453204333782196044921875	-1.5320737479779787	7.470773555929853	PSMC1
PSMD6	1/20	0.008965870030087363939941269563860259950160980224609375	0.00960628931795074782196142137991046183742582798004150390625	0.0278006842453965286043882088051759637892246246337890625	0.0297864474057819954289083597132048453204333782196044921875	-1.5208496791189403	7.169787464281204	PSMC1
ADRM1	1/20	0.008965870030087363939941269563860259950160980224609375	0.00960628931795074782196142137991046183742582798004150390625	0.0278006842453965286043882088051759637892246246337890625	0.0297864474057819954289083597132048453204333782196044921875	-1.4345206222990536	6.762803790688282	PSMC1
PSMC4	1/24	0.0107504448466008602214305511779457447119057178497314453125	0.0107504448466008602214305511779457447119057178497314453125	0.0330369356923261581204798176258918829262256622314453125	0.0330369356923261581204798176258918829262256622314453125	-1.3715353275370767	6.216906502698173	PSMC1
