SYMBOL, GENENAME, ENTREZID
1, SLC3A2, solute carrier family 3 member 2, 6520
2, COMT, catechol-O-methyltransferase, 1312
3, ACY1, aminoacylase 1, 95
4, GPM6B, glycoprotein M6B, 2824
5, NTSR2, neurotensin receptor 2, 23620
6, ATRAID, all-trans retinoic acid induced differentiation factor, 51374
7, MYO6, myosin VI, 4646
9, C1orf122, chromosome 1 open reading frame 122, 127687
10, FBLN1, fibulin 1, 2192
12, EDNRB, endothelin receptor type B, 1910
13, PDLIM3, PDZ and LIM domain 3, 27295
14, C6orf48, chromosome 6 open reading frame 48, 50854
15, CPQ, carboxypeptidase Q, 10404
16, PPIB, peptidylprolyl isomerase B, 5479
17, ECH1, enoyl-CoA hydratase 1, 1891
18, DTYMK, deoxythymidylate kinase, 1841
19, BAALC, BAALC, MAP3K1 and KLF4 binding, 79870
20, PMP22, peripheral myelin protein 22, 5376
21, CSTB, cystatin B, 1476
22, MEGF10, multiple EGF like domains 10, 84466
23, ETFB, electron transfer flavoprotein beta subunit, 2109
25, CLDN10, claudin 10, 9071
26, SERF2, small EDRK-rich factor 2, 10169
27, PTTG1IP, PTTG1 interacting protein, 754
28, RPL19, ribosomal protein L19, 6143
29, COPE, coatomer protein complex subunit epsilon, 11316
30, RPS5, ribosomal protein S5, 6193
31, RPL13A, ribosomal protein L13a, 23521
32, NKAIN4, sodium/potassium transporting ATPase interacting 4, 128414
33, RPL12, ribosomal protein L12, 6136
34, GSN, gelsolin, 2934
35, RPL13, ribosomal protein L13, 6137
36, ADA, adenosine deaminase, 100
37, RFXANK, regulatory factor X associated ankyrin containing protein, 8625
38, MRPL43, mitochondrial ribosomal protein L43, 84545
39, PIR, pirin, 8544
40, APCDD1, APC down-regulated 1, 147495
41, IQCK, IQ motif containing K, 124152
42, ACAA2, acetyl-CoA acyltransferase 2, 10449
43, PRDX4, peroxiredoxin 4, 10549
44, MAPRE1, microtubule associated protein RP/EB family member 1, 22919
45, SGPL1, sphingosine-1-phosphate lyase 1, 8879
46, MON1B, MON1 homolog B, secretory trafficking associated, 22879
47, NSMCE1, NSE1 homolog, SMC5-SMC6 complex component, 197370
48, MAX, MYC associated factor X, 4149
49, BCCIP, BRCA2 and CDKN1A interacting protein, 56647
50, CINP, cyclin dependent kinase 2 interacting protein, 51550
