"n.match", "prob"
0, -87.115188234076
1, -84.5698088339317
2, -82.3277517915012
3, -80.2640893286627
4, -78.3276799925179
5, -76.4905062417741
6, -74.7348506062673
7, -73.0484900426311
8, -71.4224812393202
9, -69.8499964228083
10, -68.3256523339879
11, -66.8450960639277
12, -65.4047355104811
13, -64.0015563687902
14, -62.6329934954319
15, -61.296837841656
16, -59.9911674528389
17, -58.7142952253434
18, -57.4647286237251
19, -56.2411381202467
20, -55.0423321168176
21, -53.8672367661286
22, -52.7148795512427
23, -51.5843757875063
24, -50.4749174243914
25, -49.3857636774666
26, -48.3162331313575
27, -47.265697035941
28, -46.2335735786791
29, -45.2193229617344
30, -44.2224431473917
31, -43.242466162175
32, -42.2789548709426
33, -41.3315001486314
34, -40.3997183902849
35, -39.4832493103271
36, -38.5817539903421
37, -37.6949131413137
38, -36.8224255517358
39, -35.964006697457
40, -35.1193874927944
41, -34.2883131654845
42, -33.470542240559
43, -32.6658456203429
44, -31.8740057495358
45, -31.0948158558306
46, -30.3280792577793
47, -29.5736087326898
48, -28.8312259382483
49, -28.1007608823421
50, -27.3820514362298
51, -26.6749428867816
52, -25.9792875240136
53, -25.2949442605686
54, -24.6217782801771
55, -23.9596607124548
56, -23.3084683316827
57, -22.668083277465
58, -22.0383927953806
59, -21.4192889959394
60, -20.8106686303236
61, -20.2124328815473
62, -19.6244871698017
63, -19.0467409708724
64, -18.4791076466199
65, -17.921504286613
66, -17.373851560084
67, -16.8360735774564
68, -16.3080977607573
69, -15.789854722294
70, -15.2812781510243
71, -14.7823047061027
72, -14.2928739171279
73, -13.8129280906583
74, -13.3424122225983
75, -12.8812739160918
76, -12.4294633045905
77, -11.9869329797904
78, -11.5536379241566
79, -11.1295354477797
80, -10.7145851293266
81, -10.3087487608693
82, -9.9119902963938
83, -9.52427580380492
84, -9.14557342026064
85, -8.7758533106827
86, -8.41508762930271
87, -8.06325048411582
88, -7.72031790412482
89, -7.38626780926831
90, -7.0610799829363
91, -6.74473604698593
92, -6.43721943917878
93, -6.13851539296941
94, -5.84861091958263
95, -5.56749479232473
96, -5.29515753308073
97, -5.03159140095675
98, -4.7767903830335
99, -4.53075018720293
100, -4.29346823706678
101, -4.06494366888174
102, -3.84517733054219
103, -3.6341717825975
104, -3.43193130130678
105, -3.2384618837404
106, -3.05377125494326
107, -2.87786887718141
108, -2.71076596129956
109, -2.55247548022387
110, -2.40301218465076
111, -2.26239262096957
112, -2.13063515147405
113, -2.00775997692503
114, -1.89378916153474
115, -1.78874666045115
116, -1.69265834982983
117, -1.60555205958981
118, -1.52745760895997
119, -1.45840684493284
120, -1.39843368375414
121, -1.34757415558834
122, -1.30586645251359
123, -1.27335098001337
124, -1.25007041214734
125, -1.23606975060039
126, -1.23139638782659
127, -1.23610017452422
128, -1.25023349169913
129, -1.27385132759673
130, -1.30701135980832
131, -1.34977404288467
132, -1.40220270182072
133, -1.46436363180798
134, -1.53632620468844
135, -1.618162982584
136, -1.70994983922033
137, -1.81176608951375
138, -1.92369462804437
139, -2.04582207710011
140, -2.17823894504406
141, -2.3210397958332
142, -2.47432343060159
143, -2.63819308231511
144, -2.8127566246118
145, -2.99812679606039
146, -3.19442144120436
147, -3.40176376991013
148, -3.6202826367092
149, -3.85011284201821
150, -4.09139545734115
151, -4.34427817680891
152, -4.60891569769766
153, -4.88547013289527
154, -5.17411145866064
155, -5.47501800145366
156, -5.78837696811216
157, -6.11438502422974
158, -6.4532489262591
159, -6.80518621364567
160, -7.17042596820965
161, -7.54920964906404
162, -7.94179201261706
163, -8.34844212869587
164, -8.7694445055961
165, -9.2051003389679
166, -9.65572890197102
167, -10.1216690971651
168, -10.603281194269
169, -11.1009487823826
170, -11.6150809707116
171, -12.1461148785403
172, -12.694518463487
173, -13.2607937474088
174, -13.8454805122851
175, -14.4491605547953
176, -15.0724626092038
177, -15.716068075026
178, -16.3807177208338
179, -17.0672195812961
180, -17.7764583252062
181, -18.5094064536414
182, -19.2671377980502
183, -20.0508439406627
184, -20.8618543933552
185, -21.7016616757108
186, -22.5719528755052
187, -23.4746499315001
188, -24.4119618765836
189, -25.3864538383163
190, -26.4011401056932
191, -27.4596127649981
192, -28.5662247092985
193, -29.7263591818385
194, -30.9468439402802
195, -32.2366222803045
196, -33.607917229413
197, -35.0784462419048
198, -36.6762268432071
199, -38.4524004703523
200, -40.5318948855965
