"n.match", "prob"
0, -80.7700275400407
1, -78.2763533223647
2, -76.0859986185202
3, -74.074035652426
4, -72.1893229732242
5, -70.4038430416615
6, -68.6998783896128
7, -67.0652059757498
8, -65.4908824905647
9, -63.9700801625682
10, -62.4974157346888
11, -61.0685363000308
12, -59.6798497584823
13, -58.3283418072195
14, -57.0114473048531
15, -55.7269572046655
16, -54.4729495540653
17, -53.2477372514469
18, -52.0498277633965
19, -50.8778915642072
20, -49.7307370578178
21, -48.607290398948
22, -47.5065790726888
23, -46.4277183964145
24, -45.3699003216236
25, -44.3323840659111
26, -43.314488215928
27, -42.3155840235763
28, -41.335089678342
29, -40.3724653844113
30, -39.4272091060921
31, -38.4988528719304
32, -37.5869595488062
33, -36.6911200136774
34, -35.8109506636076
35, -34.9460912150407
36, -34.0962027515795
37, -33.2609659862263
38, -32.4400797094927
39, -31.6332593992442
40, -30.8402359718143
41, -30.0607546569552
42, -29.2945739817137
43, -28.5414648504291
44, -27.8012097098149
45, -27.0736017895771
46, -26.3584444102801
47, -25.6555503512436
48, -24.9647412721651
49, -24.2858471829424
50, -23.6187059568438
51, -22.9631628827489
52, -22.3190702526823
53, -21.6862869812948
54, -21.0646782543241
55, -20.4541152033927
56, -19.8544746047876
57, -19.2656386001182
58, -18.6874944369682
59, -18.1199342278517
60, -17.5628547259542
61, -17.0161571162926
62, -16.4797468210605
63, -15.9535333180447
64, -15.4374299711068
65, -14.9313538718157
66, -14.4352256914035
67, -13.9489695422925
68, -13.4725128485083
69, -13.0057862243557
70, -12.5487233607897
71, -12.1012609189611
72, -11.6633384304646
73, -11.2348982038537
74, -10.8158852370273
75, -10.4062471351231
76, -10.0059340335862
77, -9.61489852610517
78, -9.23309559713718
79, -8.86048255876415
80, -8.49701899164363
81, -8.14266668983791
82, -7.79738960932241
83, -7.46115381999076
84, -7.1339274609892
85, -6.81568069922706
86, -6.50638569092295
87, -6.20601654605834
88, -5.91454929562177
89, -5.63196186153691
90, -5.35823402917826
91, -5.0933474223868
92, -4.83728548090736
93, -4.59003344017706
94, -4.35157831340273
95, -4.12190887587201
96, -3.90101565145065
97, -3.68889090122488
98, -3.48552861425492
99, -3.2909245004116
100, -3.10507598527489
101, -2.92798220707915
102, -2.75964401569578
103, -2.60006397365054
104, -2.44924635917833
105, -2.30719717132469
106, -2.17392413710908
107, -2.04943672077147
108, -1.93374613512992
109, -1.82686535508328
110, -1.72880913330008
111, -1.63959401814113
112, -1.55923837387105
113, -1.48776240322095
114, -1.42518817237268
115, -1.37153963844325
116, -1.32684267955665
117, -1.29112512759975
118, -1.2644168037686
119, -1.24674955702235
120, -1.23815730557269
121, -1.23867608154947
122, -1.24834407899563
123, -1.26720170535879
124, -1.29529163666218
125, -1.33265887655365
126, -1.3793508194496
127, -1.43541731801006
128, -1.500910755202
129, -1.5758861212314
130, -1.66040109564946
131, -1.75451613496629
132, -1.85829456613554
133, -1.97180268630687
134, -2.09510986927978
135, -2.22828867913308
136, -2.37141499154877
137, -2.5245681233989
138, -2.6878309712187
139, -2.8612901592506
140, -3.04503619781162
141, -3.23916365281209
142, -3.44377132733877
143, -3.65896245630971
144, -3.88484491531446
145, -4.1215314448727
146, -4.36913989147826
147, -4.62779346694732
148, -4.89762102776054
149, -5.17875737628312
150, -5.47134358596703
151, -5.77552735289053
152, -6.0914633762766
153, -6.41931377095929
154, -6.75924851514312
155, -7.111445937233
156, -7.47609324601116
157, -7.85338710901507
158, -8.24353428464065
159, -8.64675231427603
160, -9.06327028168345
161, -9.49332964791741
162, -9.93718517132703
163, -10.3951059236798
164, -10.867376415211
165, -11.35429784351
166, -11.8561894836751
167, -12.3733902402039
168, -12.9062603847527
169, -13.4551835083581
170, -14.0205687221621
171, -14.6028531473845
172, -15.2025047435788
173, -15.8200255345367
174, -16.4559553041711
175, -17.1108758510951
176, -17.7854159115056
177, -18.4802568868504
178, -19.1961395476328
179, -19.9338719304527
180, -20.694338706034
181, -21.4785123773835
182, -22.2874667778793
183, -23.1223934916802
184, -23.9846220325903
185, -24.8756449221206
186, -25.7971492499736
187, -26.7510569568374
188, -27.7395770775261
189, -28.7652747415252
190, -29.8311642397547
191, -30.9408376604223
192, -32.0986478985191
193, -33.3099781992122
194, -34.5816563220861
195, -35.9226255647435
196, -37.3451089566072
197, -38.866823953897
198, -40.5157880839604
199, -42.3431427857492
200, -44.4738158234383
