"n.match", "prob"
0, -84.8199651473288
1, -82.2930693996259
2, -80.0694942508069
3, -78.0243119235932
4, -76.1063809659291
5, -74.2876838373647
6, -72.5505030685778
7, -70.8826156170439
8, -69.2750781720592
9, -67.7210629609384
10, -66.2151867254147
11, -64.7530965573973
12, -63.3312003555796
13, -61.9464838159432
14, -60.5963817959047
15, -59.2786852475528
16, -57.9914722171024
17, -56.7330556017549
18, -55.5019428669036
19, -54.296804485649
20, -53.1164488607378
21, -51.9598021456978
22, -50.8258918244283
23, -49.7138332131125
24, -48.6228182620578
25, -47.5521061876688
26, -46.5010155754061
27, -45.4689176759815
28, -44.4552306776918
29, -43.4594147835336
30, -42.4809679566256
31, -41.5194222243255
32, -40.5743404523245
33, -39.6453135163928
34, -38.731957812406
35, -37.8339130556205
36, -36.9508403284523
37, -36.0824203427166
38, -35.2283518877385
39, -34.3883504401974
40, -33.562146915241
41, -32.7494865414358
42, -31.9501278446435
43, -31.1638417280184
44, -30.3904106370895
45, -29.6296278003782
46, -28.8812965372651
47, -28.1452296258864
48, -27.4212487247559
49, -26.7091838425885
50, -26.0088728514698
51, -25.320161039097
52, -24.6429006963124
53, -23.9769507365851
54, -23.3221763444714
55, -22.6784486504124
56, -22.0456444295143
57, -21.423645822206
58, -20.8123400748909
59, -20.211619298903
60, -19.6213802462484
61, -19.0415241007645
62, -18.4719562834658
63, -17.9125862709606
64, -17.3633274259319
65, -16.8240968387706
66, -16.2948151795309
67, -15.7754065594577
68, -15.2657984013992
69, -14.7659213184836
70, -14.2757090004891
71, -13.7950981073904
72, -13.3240281696061
73, -12.8624414945141
74, -12.4102830788377
75, -11.9675005265399
76, -11.5340439718909
77, -11.1098660074047
78, -10.6949216163644
79, -10.2891681096781
80, -9.89256506682983
81, -9.50507428070856
82, -9.1266597061168
83, -8.75728741177552
84, -8.39692553565864
85, -8.04554424350344
86, -7.70311569035678
87, -7.36961398502872
88, -7.04501515733663
89, -6.72929712803336
90, -6.42243968132285
91, -6.12442443987586
92, -5.83523484226725
93, -5.55485612276453
94, -5.28327529340515
95, -5.02048112830771
96, -4.76646415016922
97, -4.52121661890745
98, -4.28473252241446
99, -4.05700756939321
100, -3.83803918425614
101, -3.6278265040703
102, -3.42637037754014
103, -3.23367336602473
104, -3.0497397465926
105, -2.8745755171232
106, -2.7081884034702
107, -2.55058786870807
108, -2.40178512448966
109, -2.26179314454891
110, -2.13062668038974
111, -2.00830227920864
112, -1.89483830410619
113, -1.79025495664975
114, -1.69457430185775
115, -1.60782029568403
116, -1.53001881508973
117, -1.46119769079913
118, -1.40138674284602
119, -1.35061781902753
120, -1.30892483639369
121, -1.27634382591292
122, -1.25291298046704
123, -1.23867270634286
124, -1.23366567840305
125, -1.23793689913521
126, -1.2515337617958
127, -1.27450611788515
128, -1.30690634921088
129, -1.34878944481983
130, -1.40021308310441
131, -1.46123771941622
132, -1.53192667955068
133, -1.61234625949947
134, -1.70256583190445
135, -1.80265795968706
136, -1.9126985173722
137, -2.03276682067512
138, -2.16294576497452
139, -2.30332197335663
140, -2.45398595498248
141, -2.61503227460677
142, -2.78655973416087
143, -2.96867156740772
144, -3.16147564878207
145, -3.36508471764908
146, -3.57961661934832
147, -3.80519456454202
148, -4.04194740855715
149, -4.29000995260552
150, -4.54952326898598
151, -4.82063505262395
152, -5.10350000158987
153, -5.3982802295655
154, -5.70514571360338
155, -6.02427478095672
156, -6.35585463925631
157, -6.70008195488847
158, -7.05716348509825
159, -7.42731677012318
160, -7.8107708925752
161, -8.20776731235878
162, -8.61856078667327
163, -9.04342038613668
164, -9.48263061983516
165, -9.93649268420908
166, -10.4053258532081
167, -10.8894690301815
168, -11.3892824856374
169, -11.9051498094647
170, -12.4374801116578
171, -12.9867105122894
172, -13.5533089697657
173, -14.1377775067319
174, -14.7406559059545
175, -15.3625259649004
176, -16.0040164186205
177, -16.6658086674171
178, -17.3486434806481
179, -18.0533288937684
180, -18.7807495763572
181, -19.5318780302766
182, -20.3077880877605
183, -21.1096713318238
184, -21.938857275127
185, -22.7968384380374
186, -23.6853019091145
187, -24.6061696279036
188, -25.5616506280759
189, -26.554310037975
190, -27.5871621473785
191, -28.6637990433524
192, -29.7885736197463
193, -30.966869120586
194, -32.205513304315
195, -33.5134494673953
196, -34.9029006381093
197, -36.3915842715366
198, -38.0075178938847
199, -39.8018429429658
200, -41.8994871818156
