"n.match", "prob"
0, -92.5552266174097
1, -89.9671451264176
2, -87.6823897387333
3, -85.5760326742142
4, -83.5969324779425
5, -81.7170716066069
6, -79.9187325880252
7, -78.189692376814
8, -76.5210076594119
9, -74.9058506602774
10, -73.3388381182881
11, -71.8156171224994
12, -70.3325955687518
13, -68.8867591501755
14, -67.4755427213363
15, -66.0967372314739
16, -64.7484207239551
17, -63.4289060931344
18, -62.1367008015596
19, -60.8704753194867
20, -59.629038046819
21, -58.4113151342423
22, -57.2163340628151
23, -56.0432101458807
24, -54.8911353309083
25, -53.7593688314649
26, -52.647229230175
27, -51.5540877749157
28, -50.4793626511496
29, -49.4225140590411
30, -48.3830399588774
31, -47.3604723751858
32, -46.3543741708288
33, -45.3643362187484
34, -44.3899749119937
35, -43.4309299629956
36, -42.4868624513456
37, -41.557453086036
38, -40.6424006535698
39, -39.7414206278055
40, -38.8542439210713
41, -37.9806157591153
42, -37.1202946649818
43, -36.273051539009
44, -35.4386688239109
45, -34.6169397453953
46, -33.8076676200301
47, -33.01066522314
48, -32.2257542104286
49, -31.4527645878017
50, -30.6915342245368
51, -29.9419084055245
52, -29.2037394188015
53, -28.4768861750323
54, -27.7612138559698
55, -27.0565935892533
56, -26.3629021471877
57, -25.6800216674023
58, -25.0078393935017
59, -24.3462474340225
60, -23.6951425381743
61, -23.0544258869994
62, -22.4240028987183
63, -21.8037830471463
64, -21.1936796921747
65, -20.5936099214037
66, -20.0034944020982
67, -19.4232572427147
68, -18.8528258633145
69, -18.2921308742395
70, -17.7411059624831
71, -17.1996877852364
72, -16.6678158701354
73, -16.1454325217765
74, -15.6324827341029
75, -15.1289141082983
76, -14.6346767758549
77, -14.1497233265099
78, -13.6740087407708
79, -13.2074903267709
80, -12.7501276612209
81, -12.3018825342374
82, -11.8627188978519
83, -11.4326028180152
84, -11.0115024299324
85, -10.5993878965729
86, -10.196231370217
87, -9.80200695690921
88, -9.41669068370258
89, -9.04026046858669
90, -8.67269609300336
91, -8.31397917686237
92, -7.9640931559787
93, -7.62302326186113
94, -7.29075650378951
95, -6.96728165312594
96, -6.65258922981205
97, -6.3466714910114
98, -6.0495224218629
99, -5.76113772831753
100, -5.48151483203683
101, -5.2106528673381
102, -4.94855268017714
103, -4.6952168291655
104, -4.4506495886253
105, -4.21485695369068
106, -3.98784664747113
107, -3.76962813029807
108, -3.56021261108238
109, -3.35961306081718
110, -3.16784422826662
111, -2.98492265788859
112, -2.81086671004616
113, -2.64569658357029
114, -2.4894343407441
115, -2.34210393478724
116, -2.20373123992778
117, -2.07434408415801
118, -1.95397228478085
119, -1.84264768686367
120, -1.7404042047278
121, -1.64727786661413
122, -1.56330686267799
123, -1.48853159648082
124, -1.42299474016104
125, -1.36674129348306
126, -1.31981864698128
127, -1.28227664943507
128, -1.25416767993214
129, -1.23554672480056
130, -1.22647145971505
131, -1.22700233731061
132, -1.23720268066714
133, -1.25713878306193
134, -1.28688001442349
135, -1.32649893496104
136, -1.37607141648834
137, -1.43567677201057
138, -1.50539789419746
139, -1.58532140342735
140, -1.6755378061545
141, -1.77614166442786
142, -1.88723177747418
143, -2.00891137635286
144, -2.14128833279619
145, -2.28447538346792
146, -2.43859037100735
147, -2.60375650337745
148, -2.78010263320707
149, -2.96776355901093
150, -3.16688035039191
151, -3.37760069958051
152, -3.60007930195331
153, -3.83447826849934
154, -4.08096757357943
155, -4.33972554175616
156, -4.61093937797079
157, -4.89480574592116
158, -5.19153140016492
159, -5.50133387825327
160, -5.82444226011286
161, -6.16109800296397
162, -6.51155586132284
163, -6.87608490312538
164, -7.25496963477677
165, -7.64851125003743
166, -8.05702902017816
167, -8.48086184587035
168, -8.92036999494556
169, -9.37593705461684
170, -9.84797213220401
171, -10.3369123451061
172, -10.8432256490571
173, -11.3674140640305
174, -11.9100173701225
175, -12.4716173621305
176, -13.0528427724374
177, -13.6543749986781
178, -14.2769548075444
179, -14.9213902318261
180, -15.5885659384381
181, -16.2794544265798
182, -16.9951295258231
183, -17.7367828165217
184, -18.5057438086765
185, -19.3035050199959
186, -20.1317535363817
187, -20.9924112947223
188, -21.8876873260335
189, -22.8201467560039
190, -23.7928038717578
191, -24.8092507577086
192, -25.8738403050544
193, -26.9919557551705
194, -28.1704248638509
195, -29.4181909249094
196, -30.7474769639809
197, -32.1760004334987
198, -33.7317788570252
199, -35.4659536697282
200, -37.5034526320003
