"n.match", "prob"
0, -0.0544215604184385
1, -0.9553564514511
2, -2.17489100896118
3, -3.58844833193477
4, -5.14525297040202
5, -6.81766949329501
6, -8.58837971586135
7, -10.4455782193539
8, -12.3807589272586
9, -14.3875523024997
10, -16.4610558490876
11, -18.5974216239516
12, -20.7935885395468
13, -23.047101392364
14, -25.3559844827005
15, -27.718651050967
16, -30.1338370625258
17, -32.6005520731861
18, -35.1180424265686
19, -37.6857636024902
20, -40.3033595445733
21, -42.9706474653402
22, -45.687607086127
23, -48.4543735944187
24, -51.2712338408727
25, -54.1386254836712
26, -57.05713894028
27, -60.0275221418178
28, -63.0506882156533
29, -66.1277263590691
30, -69.2599163230214
31, -72.4487471146741
32, -75.6959407695874
33, -79.0034823660171
34, -82.3736578942278
35, -85.8091022132646
36, -89.3128602208996
37, -92.8884656824771
38, -96.5400441661426
39, -100.272449654439
40, -104.091449429426
41, -108.00398021964
42, -112.018513203079
43, -116.145592173928
44, -120.398661035882
45, -124.795405089536
46, -129.360078727249
47, -134.1279341902
48, -139.154832277683
49, -144.542889496714
50, -150.541802401072
