"n.match", "log10prob"
0, -6.71537230516925
1, -5.51252900710907
2, -4.61248233451295
3, -3.89029703730646
4, -3.29482409359967
5, -2.79803829445804
6, -2.38221440178062
7, -2.03512150228964
8, -1.74780831083809
9, -1.51343897485571
10, -1.32662204895819
11, -1.1829963288768
12, -1.07896130619741
13, -1.01149415695589
14, -0.978021103833024
15, -0.976324347397882
16, -1.00447306352335
17, -1.06077115816212
18, -1.14371698242213
19, -1.25197176990278
20, -1.38433455640604
21, -1.53972199879297
22, -1.71715195224355
23, -1.915729969784
24, -2.13463810168859
25, -2.3731255249557
26, -2.63050064371266
27, -2.90612438279635
28, -3.19940445741023
29, -3.50979044750034
30, -3.83676954037144
31, -4.1798628319315
32, -4.53862209784477
33, -4.91262696226276
34, -5.30148240476474
35, -5.70481655646954
36, -6.12227874457323
37, -6.55353775126797
38, -6.99828025844726
39, -7.45620945406063
40, -7.92704377964927
41, -8.41051580162701
42, -8.90637119139326
43, -9.41436780147048
44, -9.93427482662585
45, -10.4658720404259
46, -11.008949098933
47, -11.5633049043222
48, -12.1287470221094
49, -12.7050911464644
50, -13.2921606087479
51, -13.8897859249952
52, -14.4978043785631
53, -15.1160596345899
54, -15.744401383297
55, -16.3826850094843
56, -17.0307712858589
57, -17.6885260880892
58, -18.355820129694
59, -19.0325287150714
60, -19.7185315091426
61, -20.413712322239
62, -21.1179589089907
63, -21.8311627800988
64, -22.553219025975
65, -23.2840261513299
66, -24.0234859198738
67, -24.771503208369
68, -25.5279858693425
69, -26.2928446018251
70, -27.0659928295409
71, -27.8473465860188
72, -28.6368244061408
73, -29.4343472236848
74, -30.239838274453
75, -31.0532230046119
76, -31.874428983898
77, -32.7033858233729
78, -33.5400250974314
79, -34.3842802697959
80, -35.2360866232422
81, -36.0953811928281
82, -36.9621027024093
83, -37.836191504242
84, -38.7175895214897
85, -39.6062401934605
86, -40.502088423417
87, -41.4050805288086
88, -42.3151641937892
89, -43.2322884238906
90, -44.1564035027314
91, -45.0874609506488
92, -46.0254134851493
93, -46.9702149830791
94, -47.9218204444219
95, -48.8801859576403
96, -49.8452686664774
97, -50.817026738145
98, -51.7954193328267
99, -52.7804065744287
100, -53.7719495225173
101, -54.7700101453821
102, -55.7745512941717
103, -56.7855366780479
104, -57.8029308403104
105, -58.8266991354455
106, -59.8568077070545
107, -60.8932234666217
108, -61.9359140730821
109, -62.9848479131529
110, -64.0399940823928
111, -65.1013223669581
112, -66.1688032260229
113, -67.2424077748348
114, -68.3221077683775
115, -69.4078755856159
116, -70.4996842142952
117, -71.5975072362739
118, -72.7013188133663
119, -73.8110936736723
