illum, gene, corpf
ILMN_1784410, UBP1, -0.61
ILMN_1684461, CADPS2, -0.609
ILMN_1733164, FBXO11, -0.584
ILMN_1707534, NKRF, -0.571
ILMN_1798659, CCDC28A, -0.559
ILMN_1764549, UBE3A, -0.559
ILMN_1743747, RUSC1, -0.557
ILMN_1792660, CAMSAP2, -0.556
ILMN_1784176, ABCA5, -0.547
ILMN_1737965, ELOVL4, -0.542
ILMN_1806601, GRSF1, -0.542
ILMN_1740604, RAB11FIP5, -0.541
ILMN_1739876, RAB3GAP1, -0.537
ILMN_1728907, SCAMP1, -0.535
ILMN_1815705, LZTFL1, -0.532
ILMN_1762764, SH3BGRL2, -0.531
ILMN_1664756, KPNA4, -0.529
ILMN_1775042, DAW1, -0.529
ILMN_1751378, RARS, -0.527
ILMN_1667846, GABARAPL1, -0.527
ILMN_1760954, DENR, -0.523
ILMN_1782897, CAPRIN1, -0.523
ILMN_1722858, PPP2CA, -0.521
ILMN_1717586, OPTN, -0.521
ILMN_1735360, SDAD1, -0.521
ILMN_1770127, DNAJA2, -0.52
ILMN_1688702, PJA2, -0.517
ILMN_1661491, SH3GL2, -0.517
ILMN_1811972, MYCBP2, -0.517
ILMN_1809632, NEFM, -0.516
ILMN_1712803, CCNB1, -0.512
ILMN_1768007, TEX44, -0.512
ILMN_1784783, NME5, -0.509
ILMN_1791702, SMARCA2, -0.507
ILMN_1681249, KIF21A, -0.507
ILMN_1667948, SPATA18, -0.505
ILMN_1736353, PSMC1, -0.503
ILMN_1815107, MATR3, -0.503
ILMN_1666615, PREPL, -0.502
ILMN_1726496, SEL1L, -0.5
ILMN_1802519, VPS36, -0.498
ILMN_1752750, MCF2, -0.497
ILMN_1657204, SAE1, -0.496
ILMN_1768495, HSF2, -0.495
ILMN_1672419, SMARCA2, -0.495
ILMN_1708530, SLC24A4, -0.495
ILMN_1733648, SNAP91, -0.493
ILMN_1768705, SYT4, -0.492
ILMN_1711543, RIOX1, -0.491
ILMN_1781010, ARHGEF3, -0.49
ILMN_1665547, CADPS, -0.489
ILMN_1721916, LOC389151, -0.488
ILMN_1661383, CDC37L1, -0.487
ILMN_1720992, IFITM5, -0.487
ILMN_1800270, GABRG2, -0.486
ILMN_1717786, ATG5, -0.486
ILMN_1673478, FAM13B, -0.485
ILMN_1782863, FAM83B, -0.485
ILMN_1742536, FSHR, -0.485
ILMN_1721128, TOMM34, -0.485
ILMN_1751452, NDFIP1, -0.484
ILMN_1805609, LIPI, -0.481
ILMN_1722851, LOC401589, -0.481
ILMN_1771084, ACSM3, -0.48
ILMN_1701991, SYNJ1, -0.477
ILMN_1705153, NEFH, -0.477
ILMN_1752927, FAM160B1, -0.477
ILMN_1794190, CCPG1, -0.477
ILMN_1687703, TRIM37, -0.475
ILMN_1652244, POPDC3, -0.474
ILMN_1760774, SMAP1, -0.474
ILMN_1697548, ADGRL2, -0.474
ILMN_1766010, YARS, -0.474
ILMN_1780582, CD83, -0.473
ILMN_1708983, CASC1, -0.473
ILMN_1765310, TCEAL2, -0.473
ILMN_1746696, PDS5B, -0.472
ILMN_1742544, MEF2C, -0.471
ILMN_1748697, LIN28B, -0.471
ILMN_1810533, SLC6A15, -0.471
ILMN_1690807, MKL2, -0.471
ILMN_1774161, ARL15, -0.47
ILMN_1703006, MTCH1, -0.47
ILMN_1659801, ATP6V1C1, -0.47
ILMN_1659306, SVIL, -0.468
