illum, gene, corpf
ILMN_1784410, UBP1, -0.61
ILMN_1684461, CADPS2, -0.609
ILMN_1733164, FBXO11, -0.584
ILMN_1707534, NKRF, -0.571
ILMN_1798659, CCDC28A, -0.559
ILMN_1764549, UBE3A, -0.559
ILMN_1743747, RUSC1, -0.557
ILMN_1792660, CAMSAP2, -0.556
ILMN_1784176, ABCA5, -0.547
ILMN_1737965, ELOVL4, -0.542
ILMN_1806601, GRSF1, -0.542
ILMN_1740604, RAB11FIP5, -0.541
ILMN_1739876, RAB3GAP1, -0.537
ILMN_1728907, SCAMP1, -0.535
ILMN_1815705, LZTFL1, -0.532
ILMN_1762764, SH3BGRL2, -0.531
ILMN_1664756, KPNA4, -0.529
ILMN_1775042, DAW1, -0.529
ILMN_1751378, RARS, -0.527
ILMN_1667846, GABARAPL1, -0.527
ILMN_1760954, DENR, -0.523
ILMN_1782897, CAPRIN1, -0.523
ILMN_1722858, PPP2CA, -0.521
ILMN_1717586, OPTN, -0.521
ILMN_1735360, SDAD1, -0.521
ILMN_1770127, DNAJA2, -0.52
ILMN_1688702, PJA2, -0.517
ILMN_1661491, SH3GL2, -0.517
ILMN_1811972, MYCBP2, -0.517
ILMN_1809632, NEFM, -0.516
ILMN_1712803, CCNB1, -0.512
ILMN_1768007, TEX44, -0.512
ILMN_1784783, NME5, -0.509
ILMN_1791702, SMARCA2, -0.507
ILMN_1681249, KIF21A, -0.507
ILMN_1667948, SPATA18, -0.505
ILMN_1736353, PSMC1, -0.503
ILMN_1815107, MATR3, -0.503
ILMN_1666615, PREPL, -0.502
ILMN_1726496, SEL1L, -0.5
ILMN_1802519, VPS36, -0.498
ILMN_1752750, MCF2, -0.497
ILMN_1657204, SAE1, -0.496
ILMN_1768495, HSF2, -0.495
ILMN_1672419, SMARCA2, -0.495
ILMN_1708530, SLC24A4, -0.495
ILMN_1733648, SNAP91, -0.493
ILMN_1768705, SYT4, -0.492
ILMN_1711543, RIOX1, -0.491
ILMN_1781010, ARHGEF3, -0.49
ILMN_1665547, CADPS, -0.489
