Prefrontal,Cerebellum,Temporal,Pons
UBP1,ARHGEF12,PSMC1,PRELID1
CADPS2,TMEM106C,CADPS2,EEF2K
NKRF,CNST,CCNB1,CAMSAP2
UBE3A,SNAP91,AGBL1,AAGAB
CCDC28A,CDS1,CYP4X1,ARHGEF12
RUSC1,GLE1,RAD1,FLOT2
CAMSAP1L1,MAP1B,RFC2,RARS
ABCA5,RUNDC3B,CCDC25,GPC5
GRSF1,RGS17,TRAF5,RAB11FIP5
ELOVL4,CELSR3,TMEM70,PRPF19
RAB11FIP5,RUSC1,INPP5A,HARS
RAB3GAP1,TTC19,IRX5,ARHGAP44
SCAMP1,CAMSAP2,SLC30A9,DNAJC5
LZTFL1,MSS51,RARS,BCAP31
SH3BGRL2,RNF150,HNRNPU,SRPRB
WDR69,PRKCE,PDE1A,CPEB3
KPNA4,SYT4,ZNF622,CDS1
RARS,SUZ12,SUPT16H,LUZP1
GABARAPL1,GFOD1,MPP3,NETO2
GPIAP1,FAM117B,TTC21B,ARPC5L
DENR,RIMKLB,CDKN3,AMER1
SDAD1,SERBP1,CAMSAP2,UBP1
PPP2CA,MYCBP2,ARL15,B4GALNT1
OPTN,CPEB3,UBP1,YAF2
DNAJA2,ZYG11B,RAD9B,ELOVL4
SH3GL2,ZNF398,DMAC1,ST3GAL3
PJA2,SCN2A,ABCA5,RALBP1
MYCBP2,ZNF540,FAM13B,AUNIP
NEFM,BSN,RUSC1,PRKCE
MGC35154,LIN9,BEST4,KIAA0319
CCNB1,EDC4,CUL3,RUNDC3B
NME5,RARS,USP15,PDXK
SMARCA2,NRIP3,LRCH1,INSM2
KIF21A,P3H3,LMO7,OPRL1
SPATA18,MMS19,CASC1,SUPV3L1
PSMC1,GPR135,SH3GL2,KIAA1217
MATR3,PLEKHA5,PLA2R1,TMEM74B
PREPL,SPIRE1,SHH,MTFP1
SEL1L,DENND1B,TLK1,FBXW7
VPS36,CNOT6,TCEAL4,CAPZA2
MCF2,WDFY1,HSF2,PSMC1
SAE1,CHD9,RET,CLASP1
HSF2,KDM2B,EIF2B3,TTC19
SNAP91,SNAPC4,UBE2D2,CNOT4
SYT4,STK36,POLR3C,C6orf106
C14ORF169,PHKA2,PDS5B,KIAA0100
ARHGEF3,CDK13,CHSY3,POLR3A
CADPS,ARPP21,WSCD2,PLCB1
PRR23B,SETDB2,GFM1,EMC9
IFITM5,FAM13A,CALB1,FBXO31
CDC37L1,SH3GL2,TOMM70,SYNJ1
GABRG2,RYR2,LCN8,FUNDC2
ATG5,RAB3GAP1,FAM209B,PDE4A
TOMM34,ELOVL4,ERO1A,DDX28
FAM83B,SRRM4,ELOVL4,DACH1
C5ORF5,ZNF562,C1orf74,CCNB1
NDFIP1,TNFRSF25,PI4K2A,SDAD1
LOC401589,SLC30A7,SEL1L,CYSRT1
LIPI,RPS6KA4,JADE1,DUSP3
SYNJ1,FOXO3,ACTBL2,GPR3
NEFH,DIAPH1,SLC30A5,RIOK1
KIAA1600,AHCTF1,PER2,PJA2
CCPG1,USP47,NEK10,FAM110B
TRIM37,TAF5,GRSF1,ADCY9
YARS,PCDHAC1,DNAJC25,SNAP91
