"num1_50","num51_100","num101_150","num151_200"
"ARHGEF12","SH3GL2","ZNF521","DUSP3"
"TMEM106C","RYR2","POLG","BAZ2B"
"CNST","RAB3GAP1","FSTL5","NKRF"
"SNAP91","ELOVL4","ZNF354A","NFIB"
"CDS1","SRRM4","KBTBD8","SETBP1"
"GLE1","ZNF562","ADARB1","KIAA1456"
"MAP1B","TNFRSF25","ZNF547","ZNF148"
"RUNDC3B","SLC30A7","TRIM13","NAPB"
"RGS17","RPS6KA4","RIMS3","BCL6"
"CELSR3","FOXO3","KCTD2","ZNF83"
"RUSC1","DIAPH1","GABRB3","PM20D2"
"TTC19","AHCTF1","SCN3A","MYO9A"
"CAMSAP2","USP47","DCAF8","GCNT2"
"MSS51","TAF5","CAPZA2","DDX39B"
"RNF150","PCDHAC1","CRYGS","SLC16A9"
"PRKCE","GALNT9","PPP2R5E","SLC25A32"
"SYT4","EPC2","PER2","NLGN1"
"SUZ12","FRMD6","MED13L","PPARGC1A"
"GFOD1","RSAD1","SF3B3","GP1BB"
"FAM117B","RAB11FIP5","PPRC1","ZIC3"
"RIMKLB","KCNQ2","PEG3","MC1R"
"SERBP1","DEFB103B","GNRH1","KCNJ6"
"MYCBP2","HSF2","EWSR1","SPEG"
"CPEB3","BICD1","NPTX1","FUT1"
"ZYG11B","SELENOH","SLC7A6","DUSP4"
"ZNF398","MAP3K12","SLC36A1","C20orf204"
"SCN2A","MALT1","NSMAF","ZNF304"
"ZNF540","FOXJ2","MYT1","YAF2"
"BSN","SNAP25","FNDC9","KANSL3"
"LIN9","RPUSD4","CYFIP2","CEP57"
"EDC4","NCOA3","MEF2D","SLC17A7"
"RARS","ZIM2","KIF1B","RPS6KA3"
"NRIP3","PRRT2","LMNB1","ATP1B3"
"P3H3","ZNF529","KDM2A","PDK1"
"MMS19","TUFT1","CERS5","MTF2"
"GPR135","ARL5A","UBP1","MARCH6"
"PLEKHA5","ARHGAP44","POGLUT1","ALKBH8"
"SPIRE1","ZHX1","PJA2","PATJ"
"DENND1B","IPCEF1","NOP14","GRIN1"
"CNOT6","TSPAN9","BLMH","CRY2"
"WDFY1","CCNB1","CDC23","ZNF266"
"CHD9","LRRC37B","TIMM22","RPIA"
"KDM2B","GPAT3","TEF","RAB11FIP3"
"SNAPC4","RPS6KB1","SEZ6","PPP4R1"
"STK36","SETD6","INTS8","OGT"
"PHKA2","MAP3K5","CDC7","CTAGE5"
"CDK13","BICRAL","ZADH2","UTP15"
"ARPP21","UGCG","RECQL","PDZD4"
"SETDB2","PLEKHA6","KCTD9","HOOK1"
"FAM13A","COL4A3BP","FBXO31","GRIN2C"
