"num1_50","num51_100","num101_150","num151_200"
"PRELID1","SYNJ1","NECAB3","CD99L2"
"EEF2K","FUNDC2","DBNDD1","KCNK3"
"CAMSAP2","PDE4A","KLK7","DYRK1A"
"AAGAB","DDX28","HOMER2","C1orf21"
"ARHGEF12","DACH1","BSN","BCL11A"
"FLOT2","CCNB1","EPHX4","RHBDL3"
"RARS","SDAD1","PTPN4","KLHDC3"
"GPC5","CYSRT1","RNF38","KCTD9"
"RAB11FIP5","DUSP3","PIP5K1C","GALNT9"
"PRPF19","GPR3","INTS4P1","CTC1"
"HARS","RIOK1","HIVEP2","TBC1D8"
"ARHGAP44","PJA2","DENR","MYCBP2"
"DNAJC5","FAM110B","SKIDA1","KIAA1456"
"BCAP31","ADCY9","KCND2","INPP5A"
"SRPRB","SNAP91","GRIPAP1","HDHD2"
"CPEB3","SLC9A1","CDKN2D","CABP1"
"CDS1","KRAS","TIMM22","SH3GL2"
"LUZP1","PEX26","FBXL15","RASL10B"
"NETO2","MRM3","C1orf115","HCRTR2"
"ARPC5L","ZNF540","SH3BGRL2","ARSF"
"AMER1","NUDT3","MRPS36","SMARCA2"
"UBP1","DNAJA2","CDH12","SLC24A4"
"B4GALNT1","URGCP","FAM43A","CACNB2"
"YAF2","TFRC","FAM160B1","TSC22D3"
"ELOVL4","GRM8","EIF4A2","TMEM242"
"ST3GAL3","ARL4C","CLTB","NRBP1"
"RALBP1","STS","KCNN1","MX1"
"AUNIP","DMAC1","XK","NETO1"
"PRKCE","CDK14","ST3GAL6","ZNF385B"
"KIAA0319","LMO3","SLC7A8","VPS36"
"RUNDC3B","EPHB3","PHYHIP","UGCG"
"PDXK","OLFM1","NICN1","CA7"
"INSM2","ST8SIA4","SHQ1","SEZ6L"
"OPRL1","NKRF","MTMR3","PRICKLE1"
"SUPV3L1","GDAP1L1","EPN3","PHYH"
"KIAA1217","EIF5A2","RNF219","PDE5A"
"TMEM74B","CNST","WDR45","TCTN3"
"MTFP1","SLC36A1","TMX3","COMTD1"
"FBXW7","STIP1 /// HOPX","EPHA3","CAPN5"
"CAPZA2","C19orf12","PTPA","ZNF219"
"PSMC1","TSHZ3","NFS1","NCKAP1"
"CLASP1","RDH12","BDKRB2","CYP11A1"
"TTC19","PI4K2A","ACHE","NCEH1"
"CNOT4","DBN1","SIPA1L2","NAPB"
"C6orf106","CDK5R2","PTGES","DNTT"
"KIAA0100","OLFM3","KCNJ11","SYT12"
"POLR3A","PQLC1","DHDDS","RNF149"
"PLCB1","LIMK1","ULK1","DRD5"
"EMC9","C18orf25","TMEM127","ATP6V1C1"
"FBXO31","RUSC1","GPAT3","PDE8B"
