"num1_50","num51_100","num101_150","num151_200"
"UBP1","CDC37L1","SLC30A5","GRM1"
"CADPS2","GABRG2","PIP5KL1","ALX4"
"NKRF","ATG5","CCDC63","AFF3"
"UBE3A","TOMM34","RALYL","ZNF490"
"CCDC28A","FAM83B","COL5A2","ZNF396"
"RUSC1","C5ORF5","AFF2","LRFN5"
"CAMSAP1L1","NDFIP1","ZNF804B","CAMTA1"
"ABCA5","LOC401589","WASL","RPIB9"
"GRSF1","LIPI","SLC39A10","RIOK1"
"ELOVL4","SYNJ1","WDR16","PRC1"
"RAB11FIP5","NEFH","VMA21","NDUFV2"
"RAB3GAP1","KIAA1600","DCP2","LGALS13"
"SCAMP1","CCPG1","RPP40","LDB2"
"LZTFL1","TRIM37","PRICKLE1","HSDL1"
"SH3BGRL2","YARS","CYP4X1","VDAC3"
"WDR69","SMAP1","FLJ37357","MTMR4"
"KPNA4","POPDC3","NCKAP1","MRPS36"
"RARS","LPHN2","OR5K3","KIAA0528"
"GABARAPL1","TCEAL2","FAM26C","PCDHGA1"
"GPIAP1","CD83","B3GNT1","MAG1"
"DENR","CASC1","TTC19","ZBTB24"
"SDAD1","APRIN","PANK2","UBE2N"
"PPP2CA","SLC6A15","NDEL1","PHTF1"
"OPTN","MKL2","FLJ23049","MAP1B"
"DNAJA2","MEF2C","CUL3","GMFB"
"SH3GL2","LIN28B","AP3M2","FAM81A"
"PJA2","MTCH1","ZNF533","SV2B"
"MYCBP2","ATP6V1C1","RP1-32F7-2","RASSF3"
"NEFM","ARL15","EPB41L3","PUS7"
"MGC35154","PTPN4","B4GALNT2","CPEB2"
"CCNB1","CDH12","TAS2R8","SPRR1B"
"NME5","PIP3-E","MC3R","CCDC47"
"SMARCA2","OXR1","KRT222P","TLK1"
"KIF21A","ENO2","AHI1","MKX"
"SPATA18","C15ORF37","ADARB1","ZDHHC23"
"PSMC1","RSPO3","LARGE","TBC1D9"
"MATR3","CACNA2D3","GPRASP2","OPCML"
"PREPL","PLCB1","ZYG11B","MOGAT2"
"SEL1L","NAPB","PI4KII","LRRK1"
"VPS36","TOMM70A","ORC4L","HSPC072"
"MCF2","SLC25A12","MLL2","ATP1A1"
"SAE1","THYN1","GLS","YPEL5"
"HSF2","TOPBP1","IL5RA","NRXN3"
"SNAP91","MYH10","ALS2CR13","CCDC15"
"SYT4","PCTK2","UBE2D2","PIN4"
"C14ORF169","PCMT1","NARS","ORC5L"
"ARHGEF3","ENPP5","ACTR6","GAS2"
"CADPS","DNAJC5G","LUZP4","ALS2"
"PRR23B","CCNF","KLK7","USP14"
"IFITM5","CAPZA2","REEP5","SORCS1"
