"num1_50","num51_100","num101_150","num151_200"
"PSMC1","TOMM70","NFYB","EFR3A"
"CADPS2","LCN8","ISL1","ZNF215"
"CCNB1","FAM209B","FAM133A","TGM4"
"AGBL1","ERO1A","ZNF702P","KIAA1217"
"CYP4X1","ELOVL4","ZNF33B","CHAF1B"
"RAD1","C1orf74","RNF111","CDC7"
"RFC2","PI4K2A","GABRR2","CCDC91"
"CCDC25","SEL1L","OXR1","RBP5"
"TRAF5","JADE1","ARL4D","NUAK1"
"TMEM70","ACTBL2","XK","GALNT1"
"INPP5A","SLC30A5","ALPK2","EGR3"
"IRX5","PER2","RBM12","SESN1"
"SLC30A9","NEK10","SNU13","MAPK6"
"RARS","GRSF1","SLC35B4","LEKR1"
"HNRNPU","DNAJC25","NDFIP1","GPRIN2"
"PDE1A","USP14","CCDC80","GAS2"
"ZNF622","POLR3A","SRP72","CSTA"
"SUPT16H","CDC37L1","OTX2","SLC2A3"
"MPP3","ZWILCH","OPTN","RNGTT"
"TTC21B","TMEM127","NUDCD1","OPRL1"
"CDKN3","APP","MB21D2","LHX5"
"CAMSAP2","BAAT","UBE2B","AUNIP"
"ARL15","ARPC5L","OLFM3","SYCP1"
"UBP1","UBE3A","YIPF5","PPP1R2"
"RAD9B","SAMD5","UNC93A","NME5"
"DMAC1","PCMT1","DNMBP","MTNR1A"
"ABCA5","SH3BP5","ZIC1","FNDC7"
"FAM13B","FLT3","TRAPPC2L","DEFB132"
"RUSC1","MIXL1","MATR3","AFF2"
"BEST4","EPB41L3","KRTAP19-5","TMEM266"
"CUL3","LMNB1","PHLDA2","TBC1D9"
"USP15","TTC19","NFS1","SPRR2G"
"LRCH1","RHEBL1","LIPJ","NSG1"
"LMO7","MCF2","CSDE1","KCNAB1"
"CASC1","ZNF544","CCDC47","C11orf1"
"SH3GL2","ZNF263","SYT4","ACSL4"
"PLA2R1","TAF5","RAB11FIP5","ZNF385B"
"SHH","LMX1B","AHI1","UBASH3B"
"TLK1","GBP7","PCP4","SLF1"
"TCEAL4","STS","PCDHGA5","SERF1A"
"HSF2","UBE2J1","NHLRC1","OTOGL"
"RET","LZTFL1","CHRNA3","NDST4"
"EIF2B3","ZWINT","C3orf52","IPO11"
"UBE2D2","SH3BGRL2","B4GALT6","FGF22"
"POLR3C","SARS","ARSG","EFNA2"
"PDS5B","PEF1","VMA21","TOPBP1"
"CHSY3","MAT1A","OR5D16","TMEM97"
"WSCD2","FAM160B1","NRXN3","TMEM242"
"GFM1","KRT5","GNRHR","TLL1"
"CALB1","RANBP2","FAM83D","ATP2C1"
