"Prefrontal","Cerebellum","Temporal","Pons"
"RPL18","CPQ","GATM","KLK3"
"CAT","CAT","CAT","TMEM189-UBE2V1"
"COMT","PCCB","MMP28","COMT"
"ACY1","FUCA2","SNAP23","HIST1H2AC"
"CHCHD8","TMEM170A","CDC14B","SYPL1"
"GATM","RAB9A","THSD1","FNTA"
"MYO6","MBOAT2","PTTG1IP","TMEM170A"
"RPL18A","COMT","DTYMK","PRDX4"
"C1ORF122","CYB5D2","PLPP3","GATM"
"YBX1","ACTG1","COMT","CAT"
"CDC14B","SELENOP","ALDH2","PSEN1"
"EDNRB","TMEM189-UBE2V1","EDNRB","CLU"
"PDLIM3","CBR1","ECH1","SLCO3A1"
"C6ORF48","VPS41","ARL6IP6","SPAG9"
"PGCP","PIGT","SLC25A20","KIF16B"
"PPIB","GRHPR","GLUL","MEGF10"
"ECH1","PFN1","MEGF10","HSPA2"
"DTYMK","MARCKSL1","IL17RB","AGPS"
"HSCB","PYCR2","GSTM2","B3GAT1"
"TTLL4","FNTA","HSCB","QKI"
"CSTB","MYO6","PIR","ADIPOR1"
"MEGF10","C3orf70","DPY19L3","PIGM"
"PNKD","DIRC2","PNPO","PIGT"
"H3F3C","PDE6D","SLC39A12","ARL6IP6"
"POLR2F","GRM3","HIST1H2AC","GSN"
"RPS2","PDE4B","MTM1","MOG"
"ZFAND3","B3GAT1","CSTB","MTM1"
"CLU","QKI","LRP4","SEC22C"
"PKM2","PLPP3","CLDN10","LGALS3BP"
"PTTG1IP","PPIB","ACY1","MED30"
"RPL19","ABCA9","RGCC","TMBIM4"
"SERF2","TYW1","ASRGL1","MPLKIP"
"COPE","TIMMDC1","CRB1","UGT8"
"AASS","PTPRZ1","LRRC3B","PPIB"
"RPS14","WLS","PGM1","SPTLC2"
"C12ORF39","SYPL1","ARHGAP24","GATB"
"SPAG9","FAXDC2","CYP2J2","POLR2F"
"LIMS1","CPT2","WDFY2","TP53TG1"
"SNAP23","FGFR2","CAMKMT","CD9"
"PABPC1","PLPP1","RAB9A","PFN1"
"PPAP2B","CLN8","AASS","HIST1H4H"
"ZMAT5","HIP1","AQP4","PCSK6"
"RPS5","ISOC1","PTPRZ1","DTYMK"
"SCNM1","LRRC8D","MLC1","TJP2"
"BCAN","TP53TG1","PON2","Septin 10"
"RPL13A","DAD1","SASH1","SFT2D1"
"C20ORF58","SLC31A2","ZFAND3","CBR1"
"C3orf70","CD9","RIT1","ABHD17B"
"ELP4","DFFA","MERTK","MPC1"
"RPL12","HHLA3","DOCK7","RAB9A"
