"num1_50","num51_100","num101_150","num151_200"
"CPQ","ATP6V0E1","KIF16B","USP54"
"CAT","EDNRB","NLGN3","FBXO7"
"PCCB","LYPLAL1","PAOX","MLYCD"
"FUCA2","CRTAP","HSD17B6","PSEN1"
"TMEM170A","LYRM2","PMF1","PSMB2"
"RAB9A","PEX2","YBX1","WBP1L"
"MBOAT2","SPAG9","TUBA1A","DHRS7"
"COMT","MOG","ATG3","GINM1"
"CYB5D2","PPP2R5C","RNF13","NCSTN"
"ACTG1","SERPINI1","SLC44A1","PDGFRA"
"SELENOP","TMEM165","KLHL4","UGT8"
"TMEM189-UBE2V1","TMEM42","ATP5S","FA2H"
"CBR1","NCAM2","GPR27","SCRG1"
"VPS41","PRMT2","TMEM59","APBB2"
"PIGT","PRTFDC1","SH3BGR","CNDP1"
"GRHPR","MAPRE1","RNH1","DOCK10"
"PFN1","ABCA8","TMEM87A","CTSL"
"MARCKSL1","FANCL","SFT2D1","CXorf57"
"PYCR2","CDC14B","SMIM7","DYNC1I2"
"FNTA","COA4","JADE3","MRPL24"
"MYO6","HSPA2","SLC25A26","POLR2G"
"C3orf70","OMG","DTD1","DESI1"
"DIRC2","ARMC10","C6orf48","DHRS7B"
"PDE6D","CLDN11","ACO2","RFFL"
"GRM3","CNPY3","GATM","MTM1"
"PDE4B","HNMT","SLCO3A1","NRBP2"
"B3GAT1","PLPPR1","ZMAT5","YIF1B"
"QKI","SFR1","ABTB2","ACOT8"
"PLPP3","CKS1B","RHBDD1","KNOP1"
"PPIB","SEC22C","SGPL1","ARL6IP6"
"ABCA9","TPPP3","ALG14","NSMCE1"
"TYW1","NSDHL","GTDC1","C10orf90"
"TIMMDC1","SUMF1","TTYH2","POLD4"
"PTPRZ1","SPTLC2","TYMS","DAZAP2"
"WLS","FEZ1","SLC24A2","EIF2AK1"
"SYPL1","PXK","LGALS3BP","HSD17B12"
"FAXDC2","COPE","CREG1","GAPDH"
"CPT2","GSN","MAPRE2","GBA"
"FGFR2","PEPD","SLC50A1","EIF3I"
"PLPP1","LLPH","SLC9A9","LGMN"
"CLN8","IQCK","SPCS1","POTEKP"
"HIP1","MPC1","C12orf76","TMCO1"
"ISOC1","GALNT10","STOM","TMED10"
"LRRC8D","FAM213A","C1orf122","WASHC5"
"TP53TG1","AASS","GMPR2","ECH1"
"DAD1","LAMP2","ACBD5","IVD"
"SLC31A2","PRDX4","DSCAML1","LIPA"
"CD9","IGSF11","PTTG1IP","ASPA"
"DFFA","PIR","TMBIM4","DYNLT1"
"HHLA3","FAM177A1","TTLL7","PLIN3"
