"num1_50","num51_100","num101_150","num151_200"
"KLK3","COA4","PAPSS1","SASH1"
"TMEM189-UBE2V1","KLHL4","HINT3","ST18"
"COMT","BVES","JADE3","ATP6V0E1"
"HIST1H2AC","ACTL6A","MYLK","DSCAML1"
"SYPL1","STX2","RHBDD1","EXD2"
"FNTA","BTD","ATP8A1","TMEM184B"
"TMEM170A","CPQ","DIXDC1","CERS2"
"PRDX4","FNTB","ELOVL6","CRYL1"
"GATM","ATG3","GPR27","NLN"
"CAT","CCDC167","MAPRE2","PDE4B"
"PSEN1","SLC9A9","CKS1B","MIF4GD"
"CLU","PIR","MYO6","MYO1E"
"SLCO3A1","MARCKSL1","PIGG","ELOVL1"
"SPAG9","SFR1","TALDO1","MLH1"
"KIF16B","TLE4","TMEM87A","PLPP1"
"MEGF10","CLN8","TMEM116","SEC23B"
"HSPA2","EDIL3","ALDH3A2","EIF2B1"
"AGPS","HIP1","DICER1","CDC14B"
"B3GAT1","SCHIP1","MPDZ","MTSS1"
"QKI","SSR4","IGSF11","BORCS7"
"ADIPOR1","FA2H","PQLC3","CYP27A1"
"PIGM","LRRC8D","NRBP2","LITAF"
"PIGT","MYO1D","SLC44A1","REEP3"
"ARL6IP6","SNAP23","AGPAT3","FAM208A"
"GSN","DYNC1I2","KLK6","SGCE"
"MOG","MOB3B","ANXA5","FBXO7"
"MTM1","DYNLT1","SCCPDH","BRD7"
"SEC22C","STXBP3","ABCA8","BRMS1"
"LGALS3BP","AASS","EMILIN2","POC5"
"MED30","DAD1","AAR2","TFCP2"
"TMBIM4","PPP2R5C","FBXO32","GLTP"
"MPLKIP","SELENOP","PLA2G16","HMGCL"
"UGT8","PTTG1IP","RNH1","PDE6D"
"PPIB","ABCA9","BTG3","SNRNP40"
"SPTLC2","PXK","NFE2L3","C3orf70"
"GATB","ACTG1","POLR2G","MTUS1"
"POLR2F","AFMID","MED8","PSPH"
"TP53TG1","C1orf122","TIA1","TMEM5"
"CD9","KCTD3","CTNNA1","AK2"
"PFN1","SLC31A2","DHRS4","NSMCE1"
"HIST1H4H","TIMP2","TSPAN8","PARP4"
"PCSK6","USH1C","ENPP2","SCRG1"
"DTYMK","STAMBP","ENPP6","MFSD14A"
"TJP2","HSCB","SALL1","CA14"
"Septin 10","ATRAID","CTTNBP2","DDRGK1"
"SFT2D1","CDKN1C","MEX3D","APBB2"
"CBR1","PRKCSH","TMEM38B","PADI2"
"ABHD17B","DAZAP2","WDFY2","RFFL"
"MPC1","DHRS4L2","ATP5S","CRIPT"
"RAB9A","KRT10","FAXDC2","PCCB"
