"num1_50","num51_100","num101_150","num151_200"
"RPL18","PDE6D","TTYH1","ALDH1A1"
"CAT","GSN","WIPI1","ATPAF1"
"COMT","THSD1","ATP6V0E1","DYNLT1"
"ACY1","MMP28","RBP1","RAB9A"
"CHCHD8","LRRC3B","CLCN2","AKR7A3"
"GATM","ALDH2","MAPRE1","C9ORF23"
"MYO6","IDH2","TPT1","CLK3"
"RPL18A","ADA","GPR17","EIF4EBP3"
"C1ORF122","IVD","S100A13","LGALS3BP"
"YBX1","PGLS","CBR1","CINP"
"CDC14B","QKI","ELOVL2","IGFBP7"
"EDNRB","HSD17B6","WDFY2","RPS9"
"PDLIM3","PGM1",NA,"CD302"
"C6ORF48","APOE","CYP2J2","PSME1"
"PGCP","PIR","GALNT10","C9ORF140"
"PPIB","RGC32","GLUL","DAG1"
"ECH1","OLIG1","SGPL1","KUA-UEV"
"DTYMK","ACP6","PLA2G5","C1ORF61"
"HSCB","CPT2","KRT10","DPY19L3"
"TTLL4","DFFA","THRA","HSD17B10"
"CSTB","CHCHD5","C6ORF72","LDHD"
"MEGF10","APCDD1","CRB1","GRHPR"
"PNKD","GPSN2","EEF1D","TMEM136"
"H3F3C","MLC1","EIF3S4","VPS72"
"POLR2F","RPL35","FAU","CST3"
"RPS2","SLC25A20","RELA","HLA-A"
"ZFAND3","RPS3","SASH1","GM2A"
"CLU","ARHGAP24","MON1B","GRN"
"PKM2","ARL6IP6","PHGDH","ACO2"
"PTTG1IP","HSD17B8","GNG5","PHPT1"
"RPL19","IQCK","PTPRZ1","TFPT"
"SERF2","ZHX2","PFN1","VPS52"
"COPE","PIK3C2A","NT5C","TP53AP1"
"AASS","ACAA2","CHDH","MTM1"
"RPS14","ABTB2","TNFSF13","PARP4"
"C12ORF39","BGLAP","NME6","RPL36"
"SPAG9","RAG1AP1","NSMCE1","GSTM2"
"LIMS1","YIF1A","PCDHGC3","SYPL1"
"SNAP23","PRDX4","CTNNA1","C11ORF48"
"PABPC1","PCCB","CXORF38","MRPL53"
"PPAP2B","ALAD","CECR1","RPL8"
"ZMAT5","FAM36A","FER","RPS11"
"RPS5","RHBDD1","LRP4","FAM102A"
"SCNM1","SCAMP2","RPS17","MGST1"
"BCAN","STAT3","FTL","PXMP2"
"RPL13A","HIST1H2AC","GNAI2","OACT2"
"C20ORF58","S100A16","HIP1","C16ORF14"
"C3orf70","CIB1","NUBP1","GNG12"
"ELP4","DIRC2","TST","PECR"
"RPL12","PMF1","AGPAT3","PON2"
