"num1_50","num51_100","num101_150","num151_200"
"GATM","MYO6","COA4","AK4P3"
"CAT","QKI","IDH1","DYNLT1"
"MMP28","RANBP3L","TSC22D4","EPB41L5"
"SNAP23","LIMS1","AGPAT3","RPL18"
"CDC14B","C3orf70","CHPT1","CTSH"
"THSD1","ETNPPL","FYN","COPE"
"PTTG1IP","IQCK","LGALS3","PHLPP1"
"DTYMK","APCDD1","SLCO1C1","PPIB"
"PLPP3","HIP1","TJP2","ETFA"
"COMT","THBS4","CLU","GINM1"
"ALDH2","HSD17B6","VPS72","KRT10"
"EDNRB","RGN","LARS2","MAPRE1"
"ECH1","SPAG9","POLR2F","MIF4GD"
"ARL6IP6","ITPR2","CPT2","SOX9"
"SLC25A20","TNFSF13","DFFA","FBXO8"
"GLUL","SGPL1","HEXIM1 /// S1PR1","SPX"
"MEGF10","ACAA2","DDR1","PLPP5"
"IL17RB","NR2E1","MARCKSL1","ACAA1"
"GSTM2","TPD52L1","CLCC1","COX20"
"HSCB","EMX2","ZFHX4","GALNT10"
"PIR","WLS","DBI","PCCB"
"DPY19L3","ATP1B2","PDLIM3","SLC9A9"
"PNPO","BBS2","BCAN","APPL2"
"SLC39A12","ACP6","IDH2","ABHD3"
"HIST1H2AC","ADGRV1","SYPL1","GNA12"
"MTM1","TTLL4","SCRG1","OLIG1"
"CSTB","CBR1","SLC15A2","RGS20"
"LRP4","PEX2","ZNF22","FAM198B"
"CLDN10","MGST1","TMEM136","PCDHGA12"
"ACY1","CHDH","ACSBG1","PIK3C2A"
"RGCC","RAB5C","PIPOX","ACO2"
"ASRGL1","ALDH6A1","ZHX2","GPR37L1"
"CRB1","C4orf19","ACOX2","PFN1"
"LRRC3B","RELA","DVL3","PSD2"
"PGM1","PITPNC1","GRN","YBX1"
"ARHGAP24","TP53BP2","ZMAT5","LDHD"
"CYP2J2","DGLUCY","ACTL6A","NKX2-2"
"WDFY2","PSAT1","CDKN2C","NPL"
"CAMKMT","PXMP2","ATPAF1","TMEM123"
"RAB9A","LAMA1","ELOVL2","TNIK"
"AASS","ATP6V0E1","PNKD","BCKDHA"
"AQP4","LRIG1","SOX21","C1orf122"
"PTPRZ1","PPP2R5C","ETFDH","CST3"
"MLC1","SLC1A2","GNG12","CXorf38"
"PON2","CHST7","IL33","EIF4EBP3"
"SASH1","LHX2","PRDX4","GLI3"
"ZFAND3","PCDHGC3","FAM89A","HSPA2"
"RIT1","COQ9","GPAM","IL10RB"
"MERTK","APOE","RHBDD1","SCAMP2"
"DOCK7","CA2","RIDA","IRF2BP2"
