TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
ZBTB33	MA0527.1	4.28386	9.1185e-06	0.854067	0.786726	0.0813471	10
Sox1	MA0870.1	3.51216	0.000221953	0.786467	0.729639	0.0406661	10
NFATC3	MA0625.1	3.50929	0.000224437	0.944611	0.894744	0.0297337	10
HES7	MA0822.1	3.4584	0.000271214	0.814741	0.755756	0.0522413	10
NFATC1	MA0624.1	3.42801	0.00030379	0.955755	0.910744	0.0235472	10
HES5	MA0821.1	2.95098	0.00158128	0.821428	0.773233	0.0556722	10
IRF3	MA1418.1	2.71637	0.00329456	0.76761	0.732481	0.0486942	10
NFAT5	MA0606.1	2.60742	0.00455862	0.937665	0.903642	0.0283937	10
ONECUT3	MA0757.1	2.57636	0.00498809	0.827075	0.775372	0.0547349	10
SOX21	MA0866.1	2.55422	0.00531674	0.770767	0.729573	0.0450195	10
NFIC	MA0161.2	2.5461	0.0054398	0.905183	0.866086	0.0528804	10
Foxd3	MA0041.1	2.51686	0.00591622	0.926426	0.884841	0.0413549	10
Creb3l2	MA0608.1	2.45637	0.00701128	0.892741	0.855388	0.0443707	10
FOXC1	MA0032.2	2.43647	0.00741153	0.91495	0.871903	0.0397815	10
FOXC2	MA0846.1	2.30481	0.0105838	0.907259	0.86587	0.0377632	10
ONECUT2	MA0756.1	2.3033	0.0106225	0.819822	0.776332	0.0559599	10
SOX8	MA0868.1	2.27186	0.0115381	0.714716	0.678635	0.0482997	10
ONECUT1	MA0679.1	2.22026	0.0131911	0.819665	0.777811	0.05408	10
Tcfl5	MA0632.1	2.19093	0.0142206	0.948404	0.909982	0.043637	10
FOXL1	MA0033.2	2.08211	0.018661	0.96261	0.92605	0.0313027	10
FOXF2	MA0030.1	2.06267	0.0195672	0.849527	0.816062	0.025136	10
FOXB1	MA0845.1	2.05526	0.0199165	0.881028	0.843018	0.0484099	10
E2F1	MA0024.3	2.04655	0.0203349	0.816013	0.78829	0.0446347	10
Arid3a	MA0151.1	1.9993	0.0227832	0.988001	0.946173	0.0306983	10
Foxq1	MA0040.1	1.99528	0.0230003	0.885677	0.850809	0.0307778	10
Hand1::Tcf3	MA0092.1	1.97601	0.0240577	0.926013	0.9048	0.0367155	10
FOXK2	MA1103.1	1.96279	0.0248293	0.894236	0.857492	0.0320056	10
ZNF143	MA0088.2	1.90507	0.0283567	0.79371	0.770055	0.0505145	10
SPDEF	MA0686.1	1.88688	0.0295643	0.845703	0.820302	0.0484658	10
Pax2	MA0067.1	1.84466	0.0325328	0.965473	0.947034	0.0220685	10
NFIA	MA0670.1	1.8212	0.0342671	0.914719	0.876642	0.0676288	10
MNT	MA0825.1	1.80346	0.0356419	0.891936	0.86276	0.0447533	10
MEF2A	MA0052.3	1.77979	0.037537	0.857066	0.819193	0.0615904	10
POU5F1	MA1115.1	1.76422	0.0388307	0.892215	0.858339	0.0515772	10
Hoxd9	MA0913.1	1.75786	0.0393721	0.921226	0.894401	0.0365866	10
NFATC2	MA0152.1	1.74502	0.0404771	0.961407	0.936661	0.0340629	10
Ar	MA0007.3	1.72393	0.0423439	0.771985	0.749953	0.0337453	10
IRF9	MA0653.1	1.72241	0.0424757	0.744999	0.719987	0.044864	10
EBF1	MA0154.3	1.70503	0.0440733	0.821518	0.796424	0.0442302	10
Six3	MA0631.1	1.6978	0.0447532	0.790021	0.766128	0.0402217	10
Sox11	MA0869.1	1.69086	0.0454183	0.725349	0.696593	0.0385806	10
ZBTB18	MA0698.1	1.67608	0.046831	0.849531	0.825515	0.0511147	10
Foxj3	MA0851.1	1.67252	0.0472011	0.854471	0.825342	0.032959	10
Nr2e1	MA0676.1	1.64678	0.0497825	0.896654	0.871319	0.0415352	10
MEF2C	MA0497.1	1.64046	0.0504384	0.878771	0.850039	0.0427491	10
POU2F2	MA0507.1	1.59785	0.0550144	0.85586	0.826126	0.0560439	10
SMAD2::SMAD3::SMAD4	MA0513.1	1.59756	0.0550557	0.854525	0.833321	0.0302876	10
SRY	MA0084.1	1.59748	0.0550689	0.937482	0.914513	0.0268399	10
KLF16	MA0741.1	1.59492	0.0553513	0.915316	0.885928	0.0390712	10
MEF2D	MA0773.1	1.59148	0.0557264	0.848458	0.813575	0.0655189	10
SOX15	MA1152.1	1.58927	0.0559898	0.931925	0.908677	0.025259	10
Zfx	MA0146.2	1.58522	0.0564398	0.908944	0.879367	0.0483787	10
SREBF2(var.2)	MA0828.1	1.58337	0.0566486	0.837415	0.8121	0.0434949	10
HOXB13	MA0901.1	1.56788	0.0584319	0.887531	0.861258	0.0483338	10
FOXD2	MA0847.1	1.55858	0.0595353	0.956614	0.935761	0.0261743	10
HOXC10	MA0905.1	1.55785	0.0596107	0.891827	0.866999	0.0463942	10
TFCP2	MA0145.3	1.55697	0.0597076	0.851488	0.830422	0.0460433	10
Hes1	MA1099.1	1.55575	0.0598739	0.906799	0.882978	0.0270128	10
TFEC	MA0871.1	1.53476	0.0623917	0.902502	0.884209	0.0394613	10
MLX	MA0663.1	1.5179	0.0644927	0.826858	0.802846	0.0482623	10
HEY1	MA0823.1	1.51205	0.0652514	0.85652	0.829471	0.0270901	10
Srebf1(var.2)	MA0829.1	1.50989	0.0655128	0.842188	0.817923	0.0456589	10
E2F3	MA0469.2	1.50359	0.0663143	0.745832	0.72776	0.0388096	10
Gfi1b	MA0483.1	1.49451	0.067491	0.890664	0.869976	0.0443786	10
Foxa2	MA0047.2	1.48913	0.0682119	0.878563	0.85579	0.0317727	10
SP4	MA0685.1	1.48878	0.0682416	0.831874	0.805541	0.0581158	10
MAFG	MA0659.1	1.4872	0.0684423	0.755996	0.739398	0.041123	10
FOXO4	MA0848.1	1.48414	0.0688724	0.935731	0.910767	0.0346254	10
TBP	MA0108.2	1.47641	0.0698845	0.874435	0.853462	0.0475235	10
ZSCAN4	MA1155.1	1.46882	0.0709081	0.777767	0.758085	0.0451655	10
TFEB	MA0692.1	1.44982	0.0735185	0.869759	0.848228	0.0520473	10
Hoxa11	MA0911.1	1.41048	0.0791789	0.851087	0.831248	0.0349308	10
LIN54	MA0619.1	1.39876	0.0809251	0.933187	0.903375	0.0482615	10
FOXA1	MA0148.3	1.39731	0.0811469	0.873455	0.852327	0.0283573	10
FOXG1	MA0613.1	1.39554	0.0814071	0.902607	0.873661	0.0510677	10
Id2	MA0617.1	1.391	0.0820721	0.879525	0.853273	0.0695749	10
