"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
3,"ILMN_1663787","KLK3","kallikrein-related peptidase 3 (KLK3), transcript variant 6, mRNA.","Chr19: 56.051418",7.649,"N/A","N/A","N/A",0.847,145,0.00000000000000000000000000000000000000004329,"--","--",354,"19","56.0514179999997",1,FALSE,"KLK3","KLK3"
33,"ILMN_1750465","AGPS","alkylglycerone phosphate synthase (AGPS), mRNA.","Chr2: 178.096752",7.31,"N/A","N/A","N/A",0.739,145,0.00000000000000000000000002553,"0.39600000000000002","0.25800000000000001",8540,"2","178.09675200000001",1,FALSE,"AGPS","AGPS"
38,"ILMN_1799860","PIGM","phosphatidylinositol glycan anchor biosynthesis, class M (PIGM), mRNA.","ChrUn: 1.000000",9.311,"N/A","N/A","N/A",0.726,145,0.0000000000000000000000005074,"--","-0.615999999999996",93183,"1","160.027672999999",1,FALSE,"PIGM","PIGM"
42,"ILMN_1740449","LRRC63","similar to Leucine-rich repeat protein SHOC-2 (Ras-binding protein Sur-8) (LOC220416), mRNA.","Chr13: 45.700828",7.178,"N/A","N/A","N/A",0.723,145,0.000000000000000000000001024,"--","--",220416,"13","45.700828000000001",1,TRUE,"LOC220416","LRRC63"
48,"ILMN_1671603","THRAP6","thyroid hormone receptor associated protein 6 (THRAP6), mRNA.","Chr8: 118.612188",8.357,"N/A","N/A","N/A",0.718,145,0.000000000000000000000002627,"0.32200000000000001","--",90390,"8","118.612188",1,FALSE,"THRAP6","THRAP6"
51,"ILMN_1745119","C7orf11","chromosome 7 open reading frame 11 (C7orf11), mRNA.","Chr7: 40.140381",7.583,"N/A","N/A","N/A",0.714,145,0.000000000000000000000007364,"0.29199999999999199","--",136647,"7","40.1403809999996",1,TRUE,"C7ORF11","C7orf11"
58,"ILMN_1753010","PET112L","PET112-like (yeast) (PET112L), mRNA.","Chr4: 152.811510",10.315,"N/A","N/A","N/A",0.709,145,0.00000000000000000000001957,"0.316","0.54800000000000004",5188,"4","152.81151",1,FALSE,"PET112L","PET112L"
64,"ILMN_1768577","PCSK6","proprotein convertase subtilisin/kexin type 6 (PCSK6), transcript variant 6, mRNA.","Chr15: 99.722666",7.465,"N/A","N/A","N/A",0.704,145,0.00000000000000000000004973,"0.39700000000000002","0.487999999999992",5046,"15","99.722666000000004",1,FALSE,"PCSK6","PCSK6"
65,"ILMN_1695199","HIST1H4H","histone cluster 1, H4h (HIST1H4H), mRNA.","Chr6: 26.393372",7.479,"N/A","N/A","N/A",0.704,145,0.00000000000000000000005484,"0.206999999999993","0.44400000000000001",8365,"6","26.3933719999999",1,FALSE,"HIST1H4H","HIST1H4H"
69,"ILMN_1691864","SEPT10","septin 10 (SEPT10), transcript variant 2, mRNA.","Chr2: 109.659184",7.485,"N/A","N/A","N/A",0.7,145,0.0000000000000000000001097,"--","--",151011,"2","109.659184",1,TRUE,"Septin 10","43353"
