,CHR,BP,P,GENE
5,3,33.40515,2.841E-16,UBP1
16,7,121.746734,3.547E-16,CADPS2
2,2,47.893651,1.072E-14,FBXO11
43,23,118.606567,5.443E-14,NKRF
27,15,23.13356,2.31E-13,UBE3A
13,6,139.155976,2.376E-13,CCDC28A
1,1,153.567467,2.843E-13,RUSC1
29,17,64.754462,9.427E-13,ABCA5
8,4,71.90428,1.527E-12,GRSF1
14,6,80.681277,1.599E-12,ELOVL4
3,2,73.154118,1.751E-12,RAB11FIP5
4,2,135.643839,2.784E-12,RAB3GAP1
6,3,45.840675,4.627E-12,LZTFL1
15,6,80.469973,5.198E-12,SH3BGRL2
7,3,161.700944,6.591E-12,KPNA4
22,12,10.266882,8.44E-12,GABARAPL1
10,5,167.878685,8.689E-12,RARS
21,11,34.077093,1.205E-11,CAPRIN1
23,12,121.821401,1.276E-11,DENR
9,4,77.090146,1.551E-11,SDAD1
20,10,13.220117,1.553E-11,OPTN
11,5,133.560705,1.609E-11,PPP2CA
28,16,45.547931,1.805E-11,DNAJA2
18,9,17.786995,2.378E-11,SH3GL2
12,5,108.698367,2.427E-11,PJA2
17,8,24.832236,2.694E-11,NEFM
19,9,2.183501,6.649E-11,SMARCA2
25,14,89.808635,1.011E-10,PSMC1
26,14,81.007881,1.338E-10,SEL1L
24,13,51.884871,1.623E-10,VPS36
44,23,138.491772,1.712E-10,MCF2
31,19,52.405148,1.856E-10,SAE1
30,18,39.101915,2.971E-10,SYT4
32,20,43.004368,5.328E-10,TOMM34
45,23,51.81404,7.812E-10,LOC401589
34,21,14.438864,8.363E-10,LIPI
35,21,32.92297,1.132E-09,SYNJ1
36,22,28.217129,1.132E-09,NEFH
46,23,101.269209,1.646E-09,TCEAL2
33,20,8.813283,3.842E-09,PLCB1
47,23,147.889799,8.738E-09,AFF2
48,23,150.328272,1.021E-08,LOC203547
49,23,92.853791,1.898E-08,FAM133A
50,23,101.858979,2.247E-08,GPRASP2
37,22,31.999105,0.000000024,LARGE1
38,22,46.397149,4.257E-07,FLJ46257
39,22,42.551955,0.000003723,SULT4A1
40,22,19.802335,0.000004801,FLJ42953
41,22,37.152416,0.0000128,KCNJ4
42,22,34.453175,0.00001546,APOL5
