"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
16,"ILMN_1696254","CYB5D2","cytochrome b5 domain containing 2 (CYB5D2), mRNA.","Chr17: 4.007353",7.782,"N/A","N/A","N/A",0.645,146,0.000000000000000001643,"0.29399999999999199","0.59299999999999198",124936,"17","4.0073530000000002",1,FALSE,"CYB5D2","CYB5D2"
17,"ILMN_1692511","TMEM106C","transmembrane protein 106C (TMEM106C), mRNA.","Chr12: 46.648846",11.034,"N/A","N/A","N/A",-0.644,146,0.000000000000000001739,"--","5.7000000000000002E-2",79022,"12","46.6488459999998",-1,FALSE,"TMEM106C","TMEM106C"
23,"ILMN_1768486","VPS41","vacuolar protein sorting 41 homolog (S. cerevisiae) (VPS41), transcript variant 2, mRNA.","ChrUn: 1.000000",10.219,"N/A","N/A","N/A",0.627,146,0.00000000000000002457,"--","0.28799999999999198",27072,"7","38.722963",1,FALSE,"VPS41","VPS41"
34,"ILMN_1670263","C1orf71","chromosome 1 open reading frame 71 (C1orf71), mRNA.","Chr1: 244.896962",13.57,"N/A","N/A","N/A",-0.608,146,0.0000000000000003738,"--","--",163882,"1","244.896962",-1,TRUE,"C1ORF71","C1orf71"
51,"ILMN_1736135","TYW1","tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) (TYW1), mRNA.","Chr7: 66.341310",7.658,"N/A","N/A","N/A",0.591,146,0.000000000000003929,"--","0.114",55253,"7","66.341309999999496",1,FALSE,"TYW1","TYW1"
58,"ILMN_1754912","GLE1L","GLE1 RNA export mediator-like (yeast) (GLE1L), transcript variant 1, mRNA.","Chr9: 130.344264",11.012,"N/A","N/A","N/A",-0.585,146,0.000000000000008976,"--","-0.12",2733,"9","130.34426400000001",-1,FALSE,"GLE1L","GLE1L"
59,"ILMN_1751136","MAP1B","microtubule-associated protein 1B (MAP1B), transcript variant 1, mRNA.","Chr5: 71.538436",14.766,"N/A","N/A","N/A",-0.584,146,0.000000000000009816,"0.44600000000000001","--",4131,"5","71.538436000000004",-1,FALSE,"MAP1B","MAP1B"
63,"ILMN_1725485","RGS17","regulator of G-protein signalling 17 (RGS17), mRNA.","Chr6: 153.373768",10.473,"N/A","N/A","N/A",-0.58,146,0.00000000000001643,"0.29799999999999199","-0.25900000000000001",26575,"6","153.37376800000001",-1,FALSE,"RGS17","RGS17"
65,"ILMN_1691290","CELSR3","cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila) (CELSR3), mRNA.","Chr3: 48.648930",13.183,"N/A","N/A","N/A",-0.578,146,0.00000000000002293,"0.441","-0.23100000000000001",1951,"3","48.64893",-1,FALSE,"CELSR3","CELSR3"
88,"ILMN_1682935","LYPLAL1","lysophospholipase-like 1 (LYPLAL1), mRNA.","Chr1: 217.413915",7.826,"N/A","N/A","N/A",0.559,146,0.0000000000002125,"--","0.55300000000000005",127018,"1","217.413915",1,FALSE,"LYPLAL1","LYPLAL1"
92,"ILMN_1665235","CRTAP","cartilage associated protein (CRTAP), mRNA.","ChrUn: 1.000000",7.484,"N/A","N/A","N/A",0.558,146,0.0000000000002501,"0.45600000000000002","0.25900000000000001",10491,"3","33.113979",1,FALSE,"CRTAP","CRTAP"
105,"ILMN_1668398","ZMYND17","zinc finger, MYND-type containing 17 (ZMYND17), mRNA.","Chr10: 74.853749",7.316,"N/A","N/A","N/A",-0.546,146,0.000000000001007,"--","-0.240999999999996",118490,"10","74.853748999999496",-1,FALSE,"ZMYND17","ZMYND17"
107,"ILMN_1708516","PRTFDC1","phosphoribosyl transferase domain containing 1 (PRTFDC1), mRNA.","Chr10: 25.177959",8.166,"N/A","N/A","N/A",0.545,146,0.000000000001089,"--","--",56952,"10","25.177959000000001",1,FALSE,"PRTFDC1","PRTFDC1"
108,"ILMN_1749962","NCAM2","neural cell adhesion molecule 2 (NCAM2), mRNA.","Chr21: 21.832517",8.237,"N/A","N/A","N/A",0.545,146,0.000000000001115,"0.37","0.29799999999999199",4685,"21","21.8325169999999",1,FALSE,"NCAM2","NCAM2"
111,"ILMN_1675038","PRMT2","protein arginine methyltransferase 2 (PRMT2), transcript variant 1, mRNA.","Chr21: 46.908950",9.974,"N/A","N/A","N/A",0.545,146,0.000000000001192,"0.49","-6.0999999999999902E-2",3275,"21","46.9089499999995",1,FALSE,"PRMT2","PRMT2"
112,"ILMN_1767446","RNF150","ring finger protein 150 (RNF150), mRNA.","Chr4: 142.006214",11.42,"N/A","N/A","N/A",-0.544,146,0.000000000001352,"--","1.4E-2",57484,"4","142.006214",-1,FALSE,"RNF150","RNF150"
116,"ILMN_1754045","FANCL","Fanconi anemia, complementation group L (FANCL), mRNA.","Chr2: 58.243698",7.68,"N/A","N/A","N/A",0.542,146,0.000000000001655,"0.41699999999999199","-3.6999999999999901E-2",55120,"2","58.243698000000002",1,FALSE,"FANCL","FANCL"
118,"ILMN_1797813","SUZ12","suppressor of zeste 12 homolog (Drosophila) (SUZ12), mRNA.","Chr17: 27.351688",13.377,"N/A","N/A","N/A",-0.541,146,0.000000000001778,"--","-0.223",23512,"17","27.3516879999999",-1,FALSE,"SUZ12","SUZ12"
119,"ILMN_1739235","OMG","oligodendrocyte myelin glycoprotein (OMG), mRNA.","Chr17: 26.646112",10.002,"N/A","N/A","N/A",0.541,146,0.000000000001799,"0.35199999999999199","-0.15",4974,"17","26.6461119999998",1,FALSE,"OMG","OMG"
126,"ILMN_1753026","PRG-3","plasticity related gene 3 (PRG-3), transcript variant 2, mRNA.","Chr9: 103.126851",8.52,"N/A","N/A","N/A",0.537,146,0.000000000002735,"0.365999999999996","--",54886,"9","103.126851",1,FALSE,"PRG-3","PRG-3"
129,"ILMN_1790881","HNMT","histamine N-methyltransferase (HNMT), transcript variant 2, mRNA.","Chr2: 138.438609",7.741,"N/A","N/A","N/A",0.537,146,0.000000000002861,"0.434","-2.1999999999999902E-2",3176,"2","138.43860900000001",1,FALSE,"HNMT","HNMT"
132,"ILMN_1778240","GFOD1","glucose-fructose oxidoreductase domain containing 1 (GFOD1), mRNA.","Chr6: 13.471893",14.296,"N/A","N/A","N/A",-0.536,146,0.000000000003089,"--","0.161",54438,"6","13.471893",-1,FALSE,"GFOD1","GFOD1"
134,"ILMN_1797744","CGI-38","brain specific protein (CGI-38), mRNA.","Chr16: 65.981302",7.427,"N/A","N/A","N/A",0.536,146,0.000000000003135,"--","--",51673,"16","65.9813019999999",1,FALSE,"CGI-38","CGI-38"
135,"ILMN_1692163","NSDHL","NAD(P) dependent steroid dehydrogenase-like (NSDHL), mRNA.","ChrX: 151.788331",8.318,"N/A","N/A","N/A",0.534,146,0.000000000004077,"0.51500000000000001","0.41699999999999199",50814,"X","151.788331",1,FALSE,"NSDHL","NSDHL"
137,"ILMN_1753472","SUMF1","sulfatase modifying factor 1 (SUMF1), mRNA.","Chr3: 4.378017",7.521,"N/A","N/A","N/A",0.533,146,0.00000000000434,"--","0.59199999999999198",285362,"3","4.3780169999999901",1,FALSE,"SUMF1","SUMF1"
143,"ILMN_1681757","FAM80B","family with sequence similarity 80, member B (FAM80B), mRNA.","Chr12: 8.821630",8.263,"N/A","N/A","N/A",-0.53,146,0.000000000005847,"0.367999999999998","--",57494,"12","8.8216300000000007",-1,FALSE,"FAM80B","FAM80B"
146,"ILMN_1745344","C12orf31","chromosome 12 open reading frame 31 (C12orf31), mRNA.","Chr12: 64.803613",7.601,"N/A","N/A","N/A",0.529,146,0.00000000000636,"--","--",84298,"12","64.8036129999998",1,TRUE,"C12ORF31","C12orf31"
147,"ILMN_1773968","SERBP1","SERPINE1 mRNA binding protein 1 (SERBP1), transcript variant 3, mRNA.","Chr1: 67.646605",10.53,"N/A","N/A","N/A",-0.528,146,0.000000000007366,"0.35","-0.102999999999999",26135,"1","67.646604999999496",-1,FALSE,"SERBP1","SERBP1"
155,"ILMN_1754538","C10orf58","chromosome 10 open reading frame 58 (C10orf58), mRNA.","Chr10: 82.181835",9.698,"N/A","N/A","N/A",0.525,146,0.00000000001074,"0.24","0.38",84293,"10","82.181835000000007",1,TRUE,"C10ORF58","C10orf58"
165,"ILMN_1765116","PAOX","polyamine oxidase (exo-N4-amino) (PAOX), transcript variant 4, mRNA. XM_001125092 XM_001125093","Chr10: 135.054827",7.208,"N/A","N/A","N/A",0.521,146,0.00000000001579,"0.44400000000000001","0.46",196743,"10","135.054826999998",1,FALSE,"PAOX","PAOX"
172,"ILMN_1742745","ZNF398","zinc finger protein 398 (ZNF398), transcript variant 1, mRNA.","Chr7: 148.510899",9.496,"N/A","N/A","N/A",-0.519,146,0.00000000001855,"--","--",57541,"7","148.510898999999",-1,FALSE,"ZNF398","ZNF398"
173,"ILMN_1742981","TUBA1A","tubulin, alpha 1a (TUBA1A), mRNA.","Chr12: 47.865689",15.994,"N/A","N/A","N/A",0.518,146,0.00000000002222,"--","-0.217",7846,"12","47.865689000000003",1,FALSE,"TUBA1A","TUBA1A"
174,"ILMN_1732782","SCN2A","sodium channel, voltage-gated, type II, alpha subunit (SCN2A), transcript variant 3, mRNA.","Chr2: 165.954435",16.887,"N/A","N/A","N/A",-0.517,146,0.00000000002444,"0.38500000000000001","-0.152",6326,"2","165.954434999998",-1,FALSE,"SCN2A","SCN2A"
178,"ILMN_1681846","ZNF540","zinc finger protein 540 (ZNF540), mRNA.","Chr19: 42.796723",9.725,"N/A","N/A","N/A",-0.515,146,0.00000000002936,"--","--",163255,"19","42.796723",-1,FALSE,"ZNF540","ZNF540"
186,"ILMN_1733346","SH3BGR","SH3 domain binding glutamic acid-rich protein (SH3BGR), transcript variant 2, mRNA.","Chr21: 39.739674",7.168,"N/A","N/A","N/A",0.512,146,0.00000000004046,"0.252","9.8000000000000004E-2",6450,"21","39.739674000000001",1,FALSE,"SH3BGR","SH3BGR"
189,"ILMN_1760246","BSN","bassoon (presynaptic cytomatrix protein) (BSN), mRNA.","Chr3: 49.683875",15.212,"N/A","N/A","N/A",-0.511,146,0.00000000004497,"0.375","-0.28100000000000003",8927,"3","49.683875",-1,FALSE,"BSN","BSN"
190,"ILMN_1694759","C19orf42","chromosome 19 open reading frame 42 (C19orf42), mRNA.","ChrUn: 1.000000",9.055,"N/A","N/A","N/A",0.51,146,0.00000000004669,"--","--",79086,"19","16.630751",1,TRUE,"C19ORF42","C19orf42"
192,"ILMN_1665212","EDC4","enhancer of mRNA decapping 4 (EDC4), mRNA.","Chr16: 66.475745",11.658,"N/A","N/A","N/A",-0.51,146,0.00000000004877,"0.315","-0.65800000000000003",23644,"16","66.475745000000003",-1,FALSE,"EDC4","EDC4"
193,"ILMN_1699471","LIN9","lin-9 homolog (C. elegans) (LIN9), mRNA.","Chr1: 224.485577",7.884,"N/A","N/A","N/A",-0.51,146,0.00000000004906,"0.20200000000000001","0.28199999999999198",286826,"1","224.48557700000001",-1,FALSE,"LIN9","LIN9"
197,"ILMN_1811536","SLC25A26","solute carrier family 25, member 26 (SLC25A26), mRNA.","ChrUn: 1.000000",7.435,"N/A","N/A","N/A",0.508,146,0.00000000006025,"--","0.152",115286,"3","66.133610000000004",1,FALSE,"SLC25A26","SLC25A26"
198,"ILMN_1774432","DTD1","D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae) (DTD1), mRNA.","ChrUn: 1.000000",8.503,"N/A","N/A","N/A",0.507,146,0.0000000000661,"--","-4.1000000000000002E-2",92675,"20","18.567453",1,FALSE,"DTD1","DTD1"
207,"ILMN_1743635","ALG14","asparagine-linked glycosylation 14 homolog (S. cerevisiae) (ALG14), mRNA.","Chr1: 95.265283",7.286,"N/A","N/A","N/A",0.503,146,0.00000000009353,"--","0.41099999999999198",199857,"1","95.265282999999499",1,FALSE,"ALG14","ALG14"
209,"ILMN_1806040","TYMS","thymidylate synthetase (TYMS), mRNA.","Chr18: 0.663033",7.15,"N/A","N/A","N/A",0.503,146,0.00000000009386,"--","-8.3000000000000004E-2",7298,"18","0.66303299999999499",1,FALSE,"TYMS","TYMS"
211,"ILMN_1762167","GTDC1","glycosyltransferase-like domain containing 1 (GTDC1), transcript variant 1, mRNA.","Chr2: 144.420498",7.642,"N/A","N/A","N/A",0.503,146,0.00000000009971,"--","-0.40500000000000003",79712,"2","144.42049800000001",1,FALSE,"GTDC1","GTDC1"
212,"ILMN_1759563","NRIP3","nuclear receptor interacting protein 3 (NRIP3), mRNA.","Chr11: 8.960988",14.412,"N/A","N/A","N/A",-0.502,146,0.000000000109,"--","-0.39800000000000002",56675,"11","8.9609880000000004",-1,FALSE,"NRIP3","NRIP3"
213,"ILMN_1711826","SLC24A2","solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 (SLC24A2), mRNA.","Chr9: 19.506194",7.11,"N/A","N/A","N/A",0.502,146,0.0000000001105,"--","-0.13500000000000001",25769,"9","19.506194000000001",1,FALSE,"SLC24A2","SLC24A2"
218,"ILMN_1680624","CREG1","cellular repressor of E1A-stimulated genes 1 (CREG1), mRNA.","Chr1: 165.777279",9.863,"N/A","N/A","N/A",0.499,146,0.0000000001416,"0.41199999999999198","--",8804,"1","165.777278999999",1,FALSE,"CREG1","CREG1"
219,"ILMN_1665280","SPCS1","signal peptidase complex subunit 1 homolog (S. cerevisiae) (SPCS1), mRNA.","Chr3: 52.716751",12.51,"N/A","N/A","N/A",0.499,146,0.000000000142,"--","-0.20399999999999199",28972,"3","52.716751000000002",1,FALSE,"SPCS1","SPCS1"
220,"ILMN_1731185","LEPREL2","leprecan-like 2 (LEPREL2), mRNA.","ChrUn: 1.000000",11.275,"N/A","N/A","N/A",-0.499,146,0.0000000001472,"0.314","0.10100000000000001",10536,"12","6.8284099999999901",-1,FALSE,"LEPREL2","LEPREL2"
222,"ILMN_1753265","FLJ40142","FLJ40142 protein (FLJ40142), mRNA.","Chr12: 108.964035",9.271,"N/A","N/A","N/A",0.498,146,0.0000000001551,"--","--",400073,"12","108.964035",1,FALSE,"FLJ40142","FLJ40142"
223,"ILMN_1696419","STOM","stomatin (STOM), transcript variant 1, mRNA.","Chr9: 123.150194",7.621,"N/A","N/A","N/A",0.498,146,0.0000000001614,"--","5.5E-2",2040,"9","123.150194",1,FALSE,"STOM","STOM"
224,"ILMN_1776149","MMS19L","MMS19-like (MET18 homolog, S. cerevisiae) (MMS19L), mRNA.","Chr10: 99.208126",11.635,"N/A","N/A","N/A",-0.498,146,0.0000000001657,"0.304999999999997","--",64210,"10","99.208125999999496",-1,FALSE,"MMS19L","MMS19L"
226,"ILMN_1677919","GMPR2","guanosine monophosphate reductase 2 (GMPR2), transcript variant 3, mRNA.","Chr14: 23.777982",8.794,"N/A","N/A","N/A",0.497,146,0.0000000001766,"0.249","7.9000000000000001E-2",51292,"14","23.777982000000002",1,FALSE,"GMPR2","GMPR2"
227,"ILMN_1658265","GPR135","G protein-coupled receptor 135 (GPR135), mRNA.","Chr14: 58.995444",7.128,"N/A","N/A","N/A",-0.496,146,0.0000000001877,"--","-9.9000000000000005E-2",64582,"14","58.9954439999999",-1,FALSE,"GPR135","GPR135"
237,"ILMN_1764794","PSMB2","proteasome (prosome, macropain) subunit, beta type, 2 (proposed multi-tissue human housekeeping gene)","Chr1: 35.847445",10.423,"N/A","N/A","N/A",0.494,146,0.0000000002433,"--","0.53500000000000003",5690,"1","35.847445",1,FALSE,"PSMB2","PSMB2"
239,"ILMN_1775974","PLEKHA5","pleckstrin homology domain containing, family A member 5 (PLEKHA5), mRNA.","Chr12: 19.420266",10.22,"N/A","N/A","N/A",-0.494,146,0.0000000002452,"0.38800000000000001","-7.3999999999999802E-2",54477,"12","19.420266000000002",-1,FALSE,"PLEKHA5","PLEKHA5"
240,"ILMN_1651336","MLYCD","malonyl-CoA decarboxylase (MLYCD), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000",7.119,"N/A","N/A","N/A",0.494,146,0.0000000002464,"0.45600000000000002","0.57999999999999197",23417,"16","83.899125999999498",1,FALSE,"MLYCD","MLYCD"
241,"ILMN_1735180","NCSTN","nicastrin (NCSTN), mRNA.","Chr1: 158.595149",11.281,"N/A","N/A","N/A",0.493,146,0.00000000026,"0.35299999999999199","0.102999999999999",23385,"1","158.595148999999",1,FALSE,"NCSTN","NCSTN"
243,"ILMN_1807455","DHRS7","dehydrogenase/reductase (SDR family) member 7 (DHRS7), mRNA.","Chr14: 59.685856",11.969,"N/A","N/A","N/A",0.493,146,0.0000000002639,"--","0.26500000000000001",51635,"14","59.685856000000001",1,FALSE,"DHRS7","DHRS7"
250,"ILMN_1757845","SPIRE1","spire homolog 1 (Drosophila) (SPIRE1), mRNA.","Chr18: 12.436588",14.189,"N/A","N/A","N/A",-0.49,146,0.0000000003466,"--","-0.174999999999992",56907,"18","12.436588",-1,FALSE,"SPIRE1","SPIRE1"
251,"ILMN_1789436","FLJ20054","hypothetical protein FLJ20054 (FLJ20054), mRNA.","Chr1: 195.745406",7.934,"N/A","N/A","N/A",-0.49,146,0.00000000035,"--","--",54530,"1","195.745406",-1,FALSE,"FLJ20054","FLJ20054"
252,"ILMN_1694653","CNDP1","carnosine dipeptidase 1 (metallopeptidase M20 family) (CNDP1), mRNA.","Chr18: 70.402965",8.27,"N/A","N/A","N/A",0.489,146,0.0000000003746,"0.32500000000000001","0.26900000000000002",84735,"18","70.402964999999497",1,FALSE,"CNDP1","CNDP1"
256,"ILMN_1812995","CTSL1","cathepsin L1 (CTSL1), transcript variant 1, mRNA.","ChrUn: 1.000000",10.6,"N/A","N/A","N/A",0.488,146,0.0000000004114,"--","--",1514,"9","87.725519000000006",1,FALSE,"CTSL1","CTSL1"
257,"ILMN_1703279","CXorf57","chromosome X open reading frame 57 (CXorf57), mRNA.","ChrX: 105.808986",7.167,"N/A","N/A","N/A",0.488,146,0.0000000004299,"--","--",55086,"X","105.808986",1,TRUE,"CXORF57","CXorf57"
260,"ILMN_1695576","MRPL24","mitochondrial ribosomal protein L24 (MRPL24), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.","Chr1: 154.973926",10.677,"N/A","N/A","N/A",0.487,146,0.0000000004684,"--","0.27400000000000002",79590,"1","154.97392600000001",1,FALSE,"MRPL24","MRPL24"
261,"ILMN_1661290","CNOT6","CCR4-NOT transcription complex, subunit 6 (CNOT6), mRNA.","Chr5: 179.937671",7.875,"N/A","N/A","N/A",-0.486,146,0.0000000004808,"0.28899999999999199","-0.40300000000000002",57472,"5","179.937670999999",-1,FALSE,"CNOT6","CNOT6"
262,"ILMN_1707901","DHRS7B","dehydrogenase/reductase (SDR family) member 7B (DHRS7B), mRNA.","Chr17: 21.035036",7.857,"N/A","N/A","N/A",0.486,146,0.0000000004861,"0.193","0.442",25979,"17","21.035036000000002",1,FALSE,"DHRS7B","DHRS7B"
263,"ILMN_1737580","D15WSU75E","DNA segment, Chr 15, Wayne State University 75, expressed (D15Wsu75e), mRNA.","Chr22: 40.329227",7.499,"N/A","N/A","N/A",0.486,146,0.0000000005186,"0.13","2.3E-2",27351,"22","40.329227000000003",1,FALSE,"D15WSU75E","D15WSU75E"
