Ensembl Gene ID	Gene Symbol	p-value value	Geneset friends	Total friends	BioType	GO Annotation	Chromosome	Chromosome Start	Chromosome End
ENSG00000014824	SLC30A9	3.80e-06	6	3241	protein_coding	solute carrier family 30 (zinc transporter), member 9	4	41992489	42092474
ENSG00000102931	ARL2BP	3.28e-05	5	2585	protein_coding	ADP-ribosylation factor-like 2 binding protein	16	57279010	57287516
ENSG00000197008	ZNF138	3.76e-05	5	2659	protein_coding	zinc finger protein 138	7	64254766	64294054
ENSG00000005436	GCFC2	4.17e-05	5	2716	protein_coding	GC-rich sequence DNA-binding factor 2	2	75879126	75938115
ENSG00000067955	CBFB	4.31e-05	5	2735	protein_coding	core-binding factor, beta subunit	16	67063019	67134961
ENSG00000073584	SMARCE1	6.00e-05	5	2928	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	17	38781214	38804760
ENSG00000255302	EID1	7.16e-05	5	3038	protein_coding	EP300 interacting inhibitor of differentiation 1	15	49170083	49172380
ENSG00000140382	HMG20A	1.00e-04	5	3256	protein_coding	high mobility group 20A	15	77712754	77777949
ENSG00000114503	NCBP2	1.11e-04	5	3330	protein_coding	nuclear cap binding protein subunit 2, 20kDa	3	196662273	196669468
ENSG00000136518	ACTL6A	1.13e-04	5	3341	protein_coding	actin-like 6A	3	179280668	179306196
ENSG00000079785	DDX1	1.23e-04	5	3397	protein_coding	DEAD (Asp-Glu-Ala-Asp) box helicase 1	2	15731302	15771235
ENSG00000108064	TFAM	2.06e-04	5	3788	protein_coding	transcription factor A, mitochondrial	10	60144782	60158981
ENSG00000147099	HDAC8	3.97e-04	4	2250	protein_coding	histone deacetylase 8	X	71549366	71792953
ENSG00000113196	HAND1	5.38e-04	3	967	protein_coding	heart and neural crest derivatives expressed 1	5	153854532	153857824
ENSG00000121864	ZNF639	5.57e-04	4	2459	protein_coding	zinc finger protein 639	3	179040779	179053323
ENSG00000141380	SS18	8.05e-04	4	2709	protein_coding	synovial sarcoma translocation, chromosome 18	18	23596578	23671181
ENSG00000025156	HSF2	8.97e-04	4	2787	protein_coding	heat shock transcription factor 2	6	122720691	122754264
ENSG00000122882	ECD	9.25e-04	4	2810	protein_coding	ecdysoneless homolog (Drosophila)	10	74889913	74928813
ENSG00000139687	RB1	9.31e-04	4	2815	protein_coding	retinoblastoma 1	13	48877887	49056122
ENSG00000117505	DR1	9.62e-04	4	2839	protein_coding	down-regulator of transcription 1, TBP-binding (negative cofactor 2)	1	93811445	93835055
ENSG00000101843	PSMD10	9.99e-04	4	2868	protein_coding	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	X	107327437	107334848
ENSG00000121022	COPS5	1.00e-03	4	2872	protein_coding	COP9 signalosome subunit 5	8	67955314	67996018
ENSG00000174738	NR1D2	1.01e-03	4	2875	protein_coding	nuclear receptor subfamily 1, group D, member 2	3	23986751	24022109
ENSG00000111358	GTF2H3	1.01e-03	4	2876	protein_coding	general transcription factor IIH, polypeptide 3, 34kDa	12	124118375	124147153
ENSG00000136159	NUDT15	1.04e-03	4	2896	protein_coding	nudix (nucleoside diphosphate linked moiety X)-type motif 15	13	48611703	48621358
ENSG00000171497	PPID	1.07e-03	4	2922	protein_coding	peptidylprolyl isomerase D	4	159630286	159644548
ENSG00000132485	ZRANB2	1.08e-03	4	2926	protein_coding	zinc finger, RAN-binding domain containing 2	1	71528974	71546980
ENSG00000178919	FOXE1	1.09e-03	3	1234	protein_coding	forkhead box E1 (thyroid transcription factor 2)	9	100615536	100618986
ENSG00000166200	COPS2	1.11e-03	4	2948	protein_coding	COP9 signalosome subunit 2	15	49398268	49447858
ENSG00000111269	CREBL2	1.12e-03	4	2956	protein_coding	cAMP responsive element binding protein-like 2	12	12764761	12798042
ENSG00000136352	NKX2-1	1.22e-03	3	1283	protein_coding	NK2 homeobox 1	14	36985602	36990354
ENSG00000064313	TAF2	1.27e-03	4	3053	protein_coding	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa	8	120743015	120845103
ENSG00000125618	PAX8	1.28e-03	3	1304	protein_coding	paired box 8	2	113973574	114036527
ENSG00000152382	TADA1	1.32e-03	4	3089	protein_coding	transcriptional adaptor 1	1	166825747	166845564
ENSG00000139372	TDG	1.35e-03	4	3108	protein_coding	thymine-DNA glycosylase	12	104359582	104382652
ENSG00000108561	C1QBP	1.46e-03	4	3169	protein_coding	complement component 1, q subcomponent binding protein	17	5336097	5352150
ENSG00000196290	NIF3L1	1.63e-03	4	3268	protein_coding	NIF3 NGG1 interacting factor 3-like 1 (S. cerevisiae)	2	201754050	201768655
ENSG00000012048	BRCA1	1.64e-03	4	3270	protein_coding	breast cancer 1, early onset	17	41196312	41277500
ENSG00000171566	PLRG1	1.64e-03	4	3270	protein_coding	pleiotropic regulator 1	4	155456158	155471587
ENSG00000112312	GMNN	1.88e-03	4	3393	protein_coding	geminin, DNA replication inhibitor	6	24775159	24786327
ENSG00000173611	SCAI	2.05e-03	3	1535	protein_coding	suppressor of cancer cell invasion	9	127704887	127905785
ENSG00000079246	XRCC5	2.92e-03	4	3819	protein_coding	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	2	216972187	217071026
ENSG00000172201	ID4	3.34e-03	3	1822	protein_coding	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	6	19837617	19840915
ENSG00000103671	TRIP4	3.35e-03	3	1823	protein_coding	thyroid hormone receptor interactor 4	15	64679947	64747502
ENSG00000196419	XRCC6	3.47e-03	4	4002	protein_coding	X-ray repair complementing defective repair in Chinese hamster cells 6	22	42017123	42060044
ENSG00000100084	HIRA	3.76e-03	3	1899	protein_coding	histone cell cycle regulator	22	19318221	19435224
ENSG00000120693	SMAD9	4.57e-03	3	2035	protein_coding	SMAD family member 9	13	37418968	37494902
