"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
15344,"ILMN_1814316","A2BP1","ataxin 2-binding protein 1 (A2BP1), transcript variant 4, mRNA.","Chr16: 7.666831",9.834,"N/A","N/A","N/A",-0.084,147,0.3099,"0.39","-2.8000000000000001E-2",54715,"16","7.6668310000000002",-1,FALSE,"A2BP1","A2BP1"
17480,"ILMN_1757454","A2ML1","alpha-2-macroglobulin-like 1 (A2ML1), mRNA.","Chr12: 8.920191",6.795,"N/A","N/A","N/A",0.058,147,0.4835,"--","--",144568,"12","8.9201910000000009",1,FALSE,"A2ML1","A2ML1"
15863,"ILMN_1735045","A4GALT","alpha 1,4-galactosyltransferase (globotriaosylceramide synthase) (A4GALT), mRNA.","Chr22: 41.418120",6.974,"N/A","N/A","N/A",-0.078,147,0.3468,"0.46500000000000002","0.19700000000000001",53947,"22","41.418120000000002",-1,FALSE,"A4GALT","A4GALT"
15720,"ILMN_1680754","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase (A4GNT), mRNA.","Chr3: 139.325896",6.877,"N/A","N/A","N/A",-0.08,147,0.3371,"0.32200000000000001","0.218",51146,"3","139.325896",-1,FALSE,"A4GNT","A4GNT"
13129,"ILMN_1675204","AAA1","AAA1 protein (AAA1), transcript variant VII, mRNA.","Chr7: 34.574394",6.735,"N/A","N/A","N/A",-0.111,147,0.1799,"--","--",404744,"7","34.5743939999997",-1,FALSE,"AAA1","AAA1"
19673,"ILMN_1755321","AAAS","achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A) (AAAS), mRNA.","Chr12: 51.987594",7.06,"N/A","N/A","N/A",0.031,147,0.7065,"0.497","-0.435",8086,"12","51.987594000000001",1,FALSE,"AAAS","AAAS"
15025,"ILMN_1698554","AACS","acetoacetyl-CoA synthetase (AACS), mRNA.","ChrUn: 1.000000",9.406,"N/A","N/A","N/A",-0.088,147,0.2877,"0.32800000000000001","0.54300000000000004",65985,"12","125.065378999999",-1,FALSE,"AACS","AACS"
2309,"ILMN_1805938","AADAC","arylacetamide deacetylase (esterase) (AADAC), mRNA.","Chr3: 153.028509",6.678,"N/A","N/A","N/A",-0.279,147,0.0006326,"0.33200000000000002","0.617999999999998",13,"3","153.02850900000001",-1,FALSE,"AADAC","AADAC"
3158,"ILMN_1676336","AADACL1","arylacetamide deacetylase-like 1 (AADACL1), mRNA.","Chr3: 173.831679",10.5,"N/A","N/A","N/A",-0.255,147,0.001853,"0.379","0.441",57552,"3","173.83167900000001",-1,FALSE,"AADACL1","AADACL1"
6181,"ILMN_1752884","AADACL2","arylacetamide deacetylase-like 2 (AADACL2), mRNA.","Chr3: 152.957797",6.678,"N/A","N/A","N/A",-0.198,147,0.016,"--","--",344752,"3","152.957797",-1,FALSE,"AADACL2","AADACL2"
