Ensembl Gene ID	Gene Symbol	Mutual Rank	Pearson Correlation	BioType	Chromosome	Chromosome Start	Chromosome End	Annotation
ENSG00000142655	PEX14	46.2	0.48	protein_coding	1	10532345	10690815	peroxisomal biogenesis factor 14
ENSG00000149600	COMMD7	48.8	0.45	protein_coding	20	31290493	31331803	COMM domain containing 7
ENSG00000125520	SLC2A4RG	56.3	0.49	protein_coding	20	62371214	62374858	SLC2A4 regulator
ENSG00000171148	TADA3	84.2	0.48	protein_coding	3	9821544	9834695	transcriptional adaptor 3
ENSG00000124664	SPDEF	124.8	0.42	protein_coding	6	34505579	34524110	SAM pointed domain containing ETS transcription factor
ENSG00000175550	DRAP1	169	0.44	protein_coding	11	65686728	65689032	DR1-associated protein 1 (negative cofactor 2 alpha)
ENSG00000197157	SND1	218.4	0.4	protein_coding	7	127292234	127732661	staphylococcal nuclease and tudor domain containing 1
ENSG00000177508	IRX3	222.3	0.35	protein_coding	16	54317216	54320675	iroquois homeobox 3
ENSG00000173039	RELA	257.5	0.39	protein_coding	11	65421067	65430565	v-rel avian reticuloendotheliosis viral oncogene homolog A
ENSG00000141582	CBX4	280.5	0.41	protein_coding	17	77806955	77813228	chromobox homolog 4
ENSG00000185122	HSF1	286.7	0.42	protein_coding	8	145515280	145538385	heat shock transcription factor 1
ENSG00000171222	SCAND1	305.4	0.41	protein_coding	20	34541539	34547394	SCAN domain containing 1
ENSG00000126432	PRDX5	310	0.38	protein_coding	11	64085560	64089283	peroxiredoxin 5
ENSG00000166228	PCBD1	326.5	0.37	protein_coding	10	72642037	72648541	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha
ENSG00000099949	LZTR1	335.1	0.42	protein_coding	22	21333751	21353327	leucine-zipper-like transcription regulator 1
ENSG00000184584	TMEM173	365.7	0.36	protein_coding	5	138855119	138862520	transmembrane protein 173
ENSG00000107223	EDF1	369.1	0.39	protein_coding	9	139756571	139760738	endothelial differentiation-related factor 1
ENSG00000160113	NR2F6	369.2	0.41	protein_coding	19	17342692	17356749	nuclear receptor subfamily 2, group F, member 6
ENSG00000072310	SREBF1	376	0.36	protein_coding	17	17713713	17740325	sterol regulatory element binding transcription factor 1
ENSG00000140464	PML	376.4	0.36	protein_coding	15	74287014	74340153	promyelocytic leukemia
ENSG00000176842	IRX5	379.7	0.27	protein_coding	16	54964774	54968397	iroquois homeobox 5
ENSG00000198715	C1orf85	383.4	0.33	protein_coding	1	156259880	156265463	chromosome 1 open reading frame 85
ENSG00000141905	NFIC	412.8	0.36	protein_coding	19	3359561	3469215	nuclear factor I/C (CCAAT-binding transcription factor)
ENSG00000063245	EPN1	421.5	0.37	protein_coding	19	56186592	56221224	epsin 1
ENSG00000166337	TAF10	457.2	0.36	protein_coding	11	6627526	6633898	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa
