"","Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","loc","bp","corsign","ENTREZID"
"1",1,"ILMN_1810941","COMT","catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA.","Chr22: 18.328774",7.452,"N/A","N/A","N/A",1,146,0,"1","1","22",18.328774,"1","1312"
"2",2,"ILMN_1670308","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.866617",10.406,"N/A","N/A","N/A",0.824,146,0.000000000000000000000000000000000000255,"0.33500000000000002","-0.32200000000000001","X",13.866617,"1","2824"
"3",3,"ILMN_1735438","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.704290",14.402,"N/A","N/A","N/A",0.731,146,0.0000000000000000000000001079,"0.33500000000000002","-0.32200000000000001","X",13.70429,"1","2824"
"4",4,"ILMN_1810864","PMP22","peripheral myelin protein 22 (PMP22), transcript variant 2, mRNA.","Chr17: 15.106483",7.457,"N/A","N/A","N/A",0.721,146,0.000000000000000000000001152,"0.35699999999999998","0.14199999999999999","17",15.106483,"1","5376"
"5",5,"ILMN_1664051","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.574132",7.755,"N/A","N/A","N/A",0.695,146,0.0000000000000000000002219,"--","-0.13300000000000001","3",42.574132,"1","9117"
"6",6,"ILMN_1713031","CPQ","plasma glutamate carboxypeptidase (PGCP), mRNA.","Chr8: 98.147487",7.503,"N/A","N/A","N/A",0.686,146,0.000000000000000000001157,"0.27800000000000002","0.59799999999999998","8",98.147487,"1","10404"
"7",7,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",8.496,"N/A","N/A","N/A",0.685,146,0.000000000000000000001392,"0.54500000000000004","0.82","11",34.449571,"1","847"
"8",8,"ILMN_1761010","PCCB","propionyl Coenzyme A carboxylase, beta polypeptide (PCCB), mRNA.","ChrUn: 1.000000",9.128,"N/A","N/A","N/A",0.68,146,0.000000000000000000004057,"--","0.78800000000000003","3",136.25,"1","5096"
"9",9,"ILMN_1744914","FUCA2","fucosidase, alpha-L- 2, plasma (FUCA2), mRNA.","Chr6: 143.858660",7.39,"N/A","N/A","N/A",0.673,146,0.00000000000000000001301,"0.24299999999999999","0.34799999999999998","6",143.85866,"1","2519"
"10",10,"ILMN_1810164","TMEM170A","transmembrane protein 170 (TMEM170), mRNA.","Chr16: 74.038981",7.918,"N/A","N/A","N/A",0.672,146,0.00000000000000000001477,"--","-0.115","16",74.038981,"1","124491"
"11",11,"ILMN_1746494","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.033420",8.461,"N/A","N/A","N/A",0.669,146,0.0000000000000000000294,"0.17199999999999999","7.0999999999999994E-2","8",43.03342,"1","2339"
"12",12,"ILMN_1750409","RAB9A","RAB9A, member RAS oncogene family (RAB9A), mRNA.","ChrX: 13.637511",9.917,"N/A","N/A","N/A",0.665,146,0.00000000000000000005612,"0.23","--","X",13.637511,"1","9367"
"13",13,"ILMN_1792304","MBOAT2","O-acyltransferase (membrane bound) domain containing 2 (OACT2), mRNA.","Chr2: 8.914891",8.041,"N/A","N/A","N/A",0.66,146,0.0000000000000000001343,"0.30599999999999999","--","2",8.914891,"1","129642"
"14",14,"ILMN_1810712","ARHGEF12","Rho guanine nucleotide exchange factor (GEF) 12 (ARHGEF12), mRNA.","Chr11: 119.865780",9.475,"N/A","N/A","N/A",-0.651,146,0.0000000000000000006111,"0.33200000000000002","0.34300000000000003","11",119.86578,"-1","23365"
"15",15,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.268,"N/A","N/A","N/A",0.648,146,0.0000000000000000009094,"1","1","22",18.336318,"1","1312"
"17",17,"ILMN_1692511","TMEM106C","transmembrane protein 106C (TMEM106C), mRNA.","Chr12: 46.648846",11.034,"N/A","N/A","N/A",-0.644,146,0.000000000000000001739,"--","5.7000000000000002E-2","12",46.648846,"-1","79022"
"18",18,"ILMN_1704961","ACTG1","actin, gamma 1 (ACTG1), mRNA.","Chr17: 77.093944",11.981,"N/A","N/A","N/A",0.643,146,0.000000000000000002001,"0.38400000000000001","-0.24399999999999999","17",77.093944,"1","71"
"19",19,"ILMN_1703350","ATRAID","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.288916",7.502,"N/A","N/A","N/A",0.643,146,0.000000000000000002205,"--","--","2",27.288916,"1","51374"
"20",20,"ILMN_1785071","SELENOP","selenoprotein P, plasma, 1 (SEPP1), mRNA.","Chr5: 42.836624",10.091,"N/A","N/A","N/A",0.641,146,0.000000000000000002882,"0.59399999999999997","0.82599999999999996","5",42.836624,"1","6414"
"21",21,"ILMN_1677446","TMEM189.UBE2V1","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.178061",7.398,"N/A","N/A","N/A",0.635,146,0.00000000000000000758,"--","--","20",48.178061,"1","387522"
"22",22,"ILMN_1809003","CBR1","carbonyl reductase 1 (CBR1), mRNA.","Chr21: 36.366911",7.704,"N/A","N/A","N/A",0.632,146,0.0000000000000000117,"0.53800000000000003","0.41199999999999998","21",36.366911,"1","873"
"23",23,"ILMN_1768486","VPS41","vacuolar protein sorting 41 homolog (S. cerevisiae) (VPS41), transcript variant 2, mRNA.","ChrUn: 1.000000",10.219,"N/A","N/A","N/A",0.627,146,0.00000000000000002457,"--","0.28799999999999998","7",38.723,"1","27072"
"24",24,"ILMN_1738759","PIGT","phosphatidylinositol glycan anchor biosynthesis, class T (PIGT), mRNA.","Chr20: 43.487946",9.497,"N/A","N/A","N/A",0.623,146,0.00000000000000004745,"0.34799999999999998","3.1E-2","20",43.487946,"1","51604"
"25",25,"ILMN_1652456","TMEM98","transmembrane protein 98 (TMEM98), transcript variant 1, mRNA.","Chr17: 28.282481",7.123,"N/A","N/A","N/A",0.622,146,0.0000000000000000531,"--","4.2000000000000003E-2","17",28.282481,"1","26022"
"26",26,"ILMN_1664798","GRHPR","glyoxylate reductase/hydroxypyruvate reductase (GRHPR), mRNA.","Chr9: 37.426770",8.454,"N/A","N/A","N/A",0.621,146,0.00000000000000006171,"0.47699999999999998","0.80100000000000005","9",37.42677,"1","9380"
"27",27,"ILMN_1667430","DEGS1","degenerative spermatocyte homolog 1, lipid desaturase (Drosophila) (DEGS1), transcript variant 1, mRNA.","Chr1: 222.446889",8.596,"N/A","N/A","N/A",0.618,146,0.00000000000000009816,"--","0.49399999999999999","1",222.446889,"1","8560"
"28",28,"ILMN_1656621","CHMP2A","charged multivesicular body protein 2A (proposed multi-tissue human housekeeping gene)","Chr19: 63.758169",7.912,"N/A","N/A","N/A",0.618,146,0.00000000000000009849,"0.189","0.189","19",63.758169,"1","27243"
"29",29,"ILMN_1803744","SELENOS","selenoprotein S (SELS), transcript variant 2, mRNA.","Chr15: 99.630489",8.61,"N/A","N/A","N/A",0.617,146,0.0000000000000001072,"0.48299999999999998","--","15",99.630489,"1","55829"
"30",30,"ILMN_1763012","PFN1","profilin 1 (PFN1), mRNA.","Chr17: 4.790765",10.749,"N/A","N/A","N/A",0.613,146,0.0000000000000002069,"0.51200000000000001","0.124","17",4.790765,"1","5216"
"31",31,"ILMN_1714433","MARCKSL1","MARCKS-like 1 (MARCKSL1), mRNA.","Chr1: 32.572371",13,"N/A","N/A","N/A",0.612,146,0.0000000000000002205,"0.4","-0.47","1",32.572371,"1","65108"
"32",32,"ILMN_1808568","PYCR2","pyrroline-5-carboxylate reductase family, member 2 (PYCR2), mRNA.","Chr1: 224.174536",9.635,"N/A","N/A","N/A",0.611,146,0.0000000000000002639,"--","-0.16900000000000001","1",224.174536,"1","29920"
"33",33,"ILMN_1721704","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.059649",11.368,"N/A","N/A","N/A",0.609,146,0.0000000000000003374,"0.17199999999999999","7.0999999999999994E-2","8",43.059649,"1","2339"
"34",34,"ILMN_1670263","CNST","chromosome 1 open reading frame 71 (C1orf71), mRNA.","Chr1: 244.896962",13.57,"N/A","N/A","N/A",-0.608,146,0.0000000000000003738,"--","--","1",244.896962,"-1","163882"
"35",35,"ILMN_1739161","PLPP1","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 1, mRNA.","Chr5: 54.806958",7.679,"N/A","N/A","N/A",0.606,146,0.0000000000000005064,"0.438","-4.5999999999999999E-2","5",54.806958,"1","8611"
