"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
12313,"ILMN_1736007","A1BG","alpha-1-B glycoprotein (A1BG), mRNA.","Chr19: 63.549180",6.896,"N/A","N/A","N/A",-0.176,145,0.034,"0.38","0.44",1,"19","63.54918",-1,FALSE,"A1BG","A1BG"
4572,"ILMN_1814316","A2BP1","ataxin 2-binding protein 1 (A2BP1), transcript variant 4, mRNA.","Chr16: 7.666831",7.805,"N/A","N/A","N/A",-0.302,145,0.0002184,"0.39","-2.8000000000000001E-2",54715,"16","7.6668310000000002",-1,FALSE,"A2BP1","A2BP1"
18463,"ILMN_1745607","A2M","alpha-2-macroglobulin (A2M), mRNA.","Chr12: 9.111650",11.452,"N/A","N/A","N/A",-0.068,145,0.4137,"0.47199999999999198","-0.16700000000000001",2,"12","9.1116499999999903",-1,FALSE,"A2M","A2M"
7634,"ILMN_1757454","A2ML1","alpha-2-macroglobulin-like 1 (A2ML1), mRNA.","Chr12: 8.920191",6.945,"N/A","N/A","N/A",-0.25,145,0.002459,"--","--",144568,"12","8.9201910000000009",-1,FALSE,"A2ML1","A2ML1"
17355,"ILMN_1735045","A4GALT","alpha 1,4-galactosyltransferase (globotriaosylceramide synthase) (A4GALT), mRNA.","Chr22: 41.418120",7.116,"N/A","N/A","N/A",-0.088,145,0.292,"0.46500000000000002","0.19700000000000001",53947,"22","41.418120000000002",-1,FALSE,"A4GALT","A4GALT"
5986,"ILMN_1680754","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase (A4GNT), mRNA.","Chr3: 139.325896",7.01,"N/A","N/A","N/A",-0.274,145,0.0008716,"0.32200000000000001","0.218",51146,"3","139.325896",-1,FALSE,"A4GNT","A4GNT"
15063,"ILMN_1767388","AAA1","AAA1 protein (AAA1), transcript variant III, mRNA.","Chr7: 34.710234",7.08,"N/A","N/A","N/A",-0.13,145,0.1188,"--","--",404744,"7","34.710234",-1,FALSE,"AAA1","AAA1"
17429,"ILMN_1755321","AAAS","achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A) (AAAS), mRNA.","Chr12: 51.987594",7.288,"N/A","N/A","N/A",0.087,145,0.3007,"0.497","-0.435",8086,"12","51.987594000000001",1,FALSE,"AAAS","AAAS"
1972,"ILMN_1698554","AACS","acetoacetyl-CoA synthetase (AACS), mRNA.","ChrUn: 1.000000",8.163,"N/A","N/A","N/A",-0.414,145,2.341e-07,"0.32800000000000001","0.54300000000000004",65985,"12","125.065378999999",-1,FALSE,"AACS","AACS"
6429,"ILMN_1805938","AADAC","arylacetamide deacetylase (esterase) (AADAC), mRNA.","Chr3: 153.028509",6.876,"N/A","N/A","N/A",-0.267,145,0.001174,"0.33200000000000002","0.617999999999998",13,"3","153.02850900000001",-1,FALSE,"AADAC","AADAC"
982,"ILMN_1676336","AADACL1","arylacetamide deacetylase-like 1 (AADACL1), mRNA.","Chr3: 173.831679",9.025,"N/A","N/A","N/A",-0.492,145,3.437e-10,"0.379","0.441",57552,"3","173.83167900000001",-1,FALSE,"AADACL1","AADACL1"
7572,"ILMN_1752884","AADACL2","arylacetamide deacetylase-like 2 (AADACL2), mRNA.","Chr3: 152.957797",6.897,"N/A","N/A","N/A",-0.25,145,0.002379,"--","--",344752,"3","152.957797",-1,FALSE,"AADACL2","AADACL2"
6757,"ILMN_1668851","AADACL4","arylacetamide deacetylase-like 4 (AADACL4), mRNA.","Chr1: 12.649348",7.051,"N/A","N/A","N/A",-0.262,145,0.001448,"--","--",343066,"1","12.649348",-1,FALSE,"AADACL4","AADACL4"
11548,"ILMN_1726986","AADAT","aminoadipate aminotransferase (AADAT), transcript variant 2, mRNA.","Chr4: 171.218473",8.261,"N/A","N/A","N/A",0.189,145,0.02285,"0.63200000000000001","0.56699999999999195",51166,"4","171.218472999998",1,FALSE,"AADAT","AADAT"
10836,"ILMN_1689211","AAK1","AP2 associated kinase 1 (AAK1), mRNA.","Chr2: 69.563227",6.927,"N/A","N/A","N/A",-0.2,145,0.01585,"0.16200000000000001","-5.0000000000000001E-3",22848,"2","69.5632269999996",-1,FALSE,"AAK1","AAK1"
19746,"ILMN_1729835","AANAT","arylalkylamine N-acetyltransferase (AANAT), mRNA.","Chr17: 71.977494",6.812,"N/A","N/A","N/A",-0.044,145,0.5961,"0.54800000000000004","0.11",15,"17","71.977493999999496",-1,FALSE,"AANAT","AANAT"
