"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
3,"ILMN_1663787","KLK3","kallikrein-related peptidase 3 (KLK3), transcript variant 6, mRNA.","Chr19: 56.051418",7.649,"N/A","N/A","N/A",0.847,145,0.00000000000000000000000000000000000000004329,"--","--",354,"19","56.0514179999997",1,FALSE,"KLK3","KLK3"
4,"ILMN_1677446","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.178061",8.09,"N/A","N/A","N/A",0.844,145,0.0000000000000000000000000000000000000001779,"--","--",387522,"20","48.178061",1,FALSE,"KUA-UEV","KUA-UEV"
12,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.834,"N/A","N/A","N/A",0.789,145,0.00000000000000000000000000000004546,"1","1",1312,"22","18.3363179999998",1,FALSE,"COMT","COMT"
13,"ILMN_1792689","HIST1H2AC","histone cluster 1, H2ac (HIST1H2AC), mRNA.","Chr6: 26.232443",7.792,"N/A","N/A","N/A",0.787,145,0.00000000000000000000000000000007918,"--","-0.35699999999999199",8334,"6","26.232443",1,FALSE,"HIST1H2AC","HIST1H2AC"
16,"ILMN_1764087","SYPL1","synaptophysin-like 1 (SYPL1), transcript variant 2, mRNA.","Chr7: 105.519514",10.485,"N/A","N/A","N/A",0.782,145,0.0000000000000000000000000000004072,"--","--",6856,"7","105.519514",1,FALSE,"SYPL1","SYPL1"
17,"ILMN_1721704","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.059649",12.891,"N/A","N/A","N/A",0.78,145,0.0000000000000000000000000000006013,"0.17199999999999199","7.0999999999999702E-2",2339,"8","43.059649",1,FALSE,"FNTA","FNTA"
18,"ILMN_1810164","TMEM170","transmembrane protein 170 (TMEM170), mRNA.","Chr16: 74.038981",8.191,"N/A","N/A","N/A",0.774,145,0.000000000000000000000000000003199,"--","-0.115",124491,"16","74.038981000000007",1,FALSE,"TMEM170","TMEM170"
19,"ILMN_1738307","PRDX4","peroxiredoxin 4 (PRDX4), mRNA.","ChrX: 23.603132",9.397,"N/A","N/A","N/A",0.772,145,0.00000000000000000000000000000671,"0.47199999999999198","8.7999999999999801E-2",10549,"X","23.6031319999998",1,FALSE,"PRDX4","PRDX4"
21,"ILMN_1729180","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000",11.555,"N/A","N/A","N/A",0.763,145,0.00000000000000000000000000006709,"0.426999999999994","0.180999999999999",2628,"15","45.361123999999499",1,FALSE,"GATM","GATM"
22,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",9.215,"N/A","N/A","N/A",0.761,145,0.000000000000000000000000000128,"0.54500000000000004","0.82",847,"11","34.4495709999998",1,FALSE,"CAT","CAT"
24,"ILMN_1796669","PSEN1","presenilin 1 (Alzheimer disease 3) (PSEN1), mRNA.","Chr14: 72.748378",7.619,"N/A","N/A","N/A",0.758,145,0.0000000000000000000000000002712,"0.35199999999999199","-0.46500000000000002",5663,"14","72.748378000000002",1,FALSE,"PSEN1","PSEN1"
25,"ILMN_1724895","CLU","clusterin (CLU), transcript variant 2, mRNA.","Chr8: 27.524606",7.482,"N/A","N/A","N/A",0.757,145,0.0000000000000000000000000003298,"0.46400000000000002","0.183",1191,"8","27.5246059999998",1,FALSE,"CLU","CLU"
26,"ILMN_1678928","SLCO3A1","solute carrier organic anion transporter family, member 3A1 (SLCO3A1), mRNA.","Chr15: 90.491358",8.235,"N/A","N/A","N/A",0.753,145,0.0000000000000000000000000009305,"--","-2.8000000000000001E-2",28232,"15","90.491358000000005",1,FALSE,"SLCO3A1","SLCO3A1"
28,"ILMN_1799104","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.","Chr17: 46.398579",9.5,"N/A","N/A","N/A",0.749,145,0.000000000000000000000000002161,"--","0.13700000000000001",9043,"17","46.3985789999997",1,FALSE,"SPAG9","SPAG9"
29,"ILMN_1652306","MEGF10","multiple EGF-like-domains 10 (MEGF10), mRNA.","Chr5: 126.823254",7.514,"N/A","N/A","N/A",0.746,145,0.000000000000000000000000004703,"0.315","-0.216",84466,"5","126.82325400000001",1,FALSE,"MEGF10","MEGF10"
