"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
14,"ILMN_1652748","RPL18AP3","similar to ribosomal protein L18a; 60S ribosomal protein L18a (LOC390354) on chromosome 12.","Chr12: 103.183450",14.032,"N/A","N/A","N/A",0.654,146,0.0000000000000000003288,"--","--",390354,"12","103.183449999999",1,TRUE,"LOC390354","RPL18AP3"
41,"ILMN_1769705","H3F3C","similar to H3 histone, family 3B (LOC440093), mRNA.","Chr12: 31.836086",10.615,"N/A","N/A","N/A",0.579,146,0.00000000000001817,"--","--",440093,"12","31.836086000000002",1,TRUE,"LOC440093","H3F3C"
51,"ILMN_1672650","PKM2","pyruvate kinase, muscle (PKM2), transcript variant 1, mRNA.","Chr15: 70.281933",7.285,"N/A","N/A","N/A",0.575,146,0.0000000000000324,"0.430999999999999","-0.29399999999998999",5315,"15","70.281932999999299",1,FALSE,"PKM2","PKM2"
52,"ILMN_1701832","RPL19","ribosomal protein L19 (RPL19), mRNA.","Chr17: 34.612209",15.533,"N/A","N/A","N/A",0.575,146,0.00000000000003368,"0.437","0.25",6143,"17","34.612209",1,FALSE,"RPL19","RPL19"
56,"ILMN_1707534","NKRF","NF-kappaB repressing factor (NKRF), mRNA.","ChrX: 118.606567",9.532,"N/A","N/A","N/A",-0.571,146,0.00000000000005443,"0.376","-0.107",55922,"X","118.606567",-1,FALSE,"NKRF","NKRF"
57,"ILMN_1666635","RPS14","ribosomal protein S14 (RPS14), transcript variant 2, mRNA.","Chr5: 149.806595",16.286,"N/A","N/A","N/A",0.569,146,0.00000000000006415,"0.183","4.2000000000000003E-2",6208,"5","149.806594999998",1,FALSE,"RPS14","RPS14"
62,"ILMN_1761155","PABPC1","poly(A) binding protein, cytoplasmic 1 (PABPC1), mRNA.","Chr8: 101.786444",11.414,"N/A","N/A","N/A",0.565,146,0.0000000000001052,"0.39200000000000002","-0.49",26986,"8","101.786444",1,FALSE,"PABPC1","PABPC1"
66,"ILMN_1707810","RPS5","ribosomal protein S5 (RPS5), mRNA.","Chr19: 63.596322",13.727,"N/A","N/A","N/A",0.564,146,0.0000000000001277,"0.34200000000000003","0.104",6193,"19","63.596322000000001",1,FALSE,"RPS5","RPS5"
67,"ILMN_1713369","RPL13A","ribosomal protein L13a (RPL13A), mRNA.","Chr19: 54.686979",10.996,"N/A","N/A","N/A",0.561,146,0.0000000000001808,"0.40500000000000003","0.101999999999998",23521,"19","54.686979000000001",1,FALSE,"RPL13A","RPL13A"
71,"ILMN_1798659","CCDC28A","coiled-coil domain containing 28A (CCDC28A), mRNA.","Chr6: 139.155976",11.5,"N/A","N/A","N/A",-0.559,146,0.0000000000002376,"--","-0.423999999999991",25901,"6","139.15597600000001",-1,FALSE,"CCDC28A","CCDC28A"
73,"ILMN_1658457","RPL12","ribosomal protein L12 (RPL12), mRNA.","Chr9: 129.251747",14.88,"N/A","N/A","N/A",0.557,146,0.0000000000002818,"0.211999999999998","-0.13300000000000001",6136,"9","129.251746999999",1,FALSE,"RPL12","RPL12"
114,"ILMN_1775243","RPL35P5","similar to 60S ribosomal protein L35, transcript variant 5 (LOC441246), mRNA.","ChrUn: 1.000000",14.458,"N/A","N/A","N/A",0.536,146,0.000000000003274,"--","--",441246,"7","66.606738000000007",1,TRUE,"LOC441246","RPL35P5"
115,"ILMN_1728907","SCAMP1","secretory carrier membrane protein 1 (SCAMP1), mRNA.","ChrUn: 1.000000",13.568,"N/A","N/A","N/A",-0.535,146,0.000000000003309,"0.27800000000000002","0.224",9522,"5","78.360583000000005",-1,FALSE,"SCAMP1","SCAMP1"
116,"ILMN_1760714","RPS3","ribosomal protein S3 (RPS3), mRNA.","Chr11: 74.791126",14.612,"N/A","N/A","N/A",0.535,146,0.000000000003498,"0.39500000000000002","8.1000000000000003E-2",6188,"11","74.791126000000006",1,FALSE,"RPS3","RPS3"
119,"ILMN_1715324","HSD17B8","hydroxysteroid (17-beta) dehydrogenase 8 (HSD17B8), mRNA.","Chr6: 33.281904",8.136,"N/A","N/A","N/A",0.533,146,0.000000000004164,"0.42099999999998999","--",7923,"6","33.2819039999995",1,FALSE,"HSD17B8","HSD17B8"
123,"ILMN_1762764","SH3BGRL2","SH3 domain binding glutamic acid-rich protein like 2 (SH3BGRL2), mRNA.","Chr6: 80.469973",12.322,"N/A","N/A","N/A",-0.531,146,0.000000000005198,"--","-0.127",83699,"6","80.4699729999993",-1,FALSE,"SH3BGRL2","SH3BGRL2"
126,"ILMN_1775042","WDR69","WD repeat domain 69 (WDR69), mRNA.","Chr2: 228.496910",7.097,"N/A","N/A","N/A",-0.529,146,0.00000000000636,"--","-0.48599999999999",164781,"2","228.49691000000001",-1,FALSE,"WDR69","WDR69"
