"","Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","loc","bp","corsign","ENTREZID"
"1",1,"ILMN_1810941","COMT","catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA.","Chr22: 18.328774",7.48,"N/A","N/A","N/A",1,145,0,"1","1","22",18.328774,"1","1312"
"2",2,"ILMN_1670308","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.866617",11.766,"N/A","N/A","N/A",0.861,145,0.00000000000000000000000000000000000000000007581,"0.33500000000000002","-0.32200000000000001","X",13.866617,"1","2824"
"3",3,"ILMN_1663787","KLK3","kallikrein-related peptidase 3 (KLK3), transcript variant 6, mRNA.","Chr19: 56.051418",7.649,"N/A","N/A","N/A",0.847,145,0.00000000000000000000000000000000000000004329,"--","--","19",56.051418,"1","354"
"4",4,"ILMN_1677446","TMEM189.UBE2V1","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.178061",8.09,"N/A","N/A","N/A",0.844,145,0.0000000000000000000000000000000000000001779,"--","--","20",48.178061,"1","387522"
"5",5,"ILMN_1746494","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.033420",9.007,"N/A","N/A","N/A",0.84,145,0.0000000000000000000000000000000000000007128,"0.17199999999999999","7.0999999999999994E-2","8",43.03342,"1","2339"
"6",6,"ILMN_1727992","FEZ1","fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA.","Chr11: 124.864600",11.628,"N/A","N/A","N/A",0.839,145,0.00000000000000000000000000000000000000117,"0.46300000000000002","-0.28299999999999997","11",124.8646,"1","9638"
"7",7,"ILMN_1700477","MRPL43","mitochondrial ribosomal protein L43 (MRPL43), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.","Chr10: 102.736678",9.284,"N/A","N/A","N/A",0.839,145,0.000000000000000000000000000000000000001177,"0.32900000000000001","0.33100000000000002","10",102.736678,"1","84545"
"8",8,"ILMN_1777541","KLK6","kallikrein-related peptidase 6 (KLK6), transcript variant A, mRNA.","Chr19: 56.164562",9.086,"N/A","N/A","N/A",0.83,145,0.00000000000000000000000000000000000005098,"0.40200000000000002","-3.2000000000000001E-2","19",56.164562,"1","5653"
"9",9,"ILMN_1652280","FBXO32","F-box protein 32 (FBXO32), transcript variant 1, mRNA.","Chr8: 124.616231",8.364,"N/A","N/A","N/A",0.814,145,0.00000000000000000000000000000000001475,"0.36899999999999999","-0.01","8",124.616231,"1","114907"
"10",10,"ILMN_1703350","ATRAID","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.288916",7.486,"N/A","N/A","N/A",0.806,145,0.0000000000000000000000000000000002151,"--","--","2",27.288916,"1","51374"
