"r.entrez","m.entrez","r.symb","m.symb","r.chr","m.chr","r.startpos","m.startpos"
"115648","115648","ZNF493","ZNF493","19","19",21.382659,21.382659
"155060","155060","ACTR3C","ACTR3C","7","7",149.28528,149.28528
"283874","283874","ERVK13-1","ERVK13-1","16","16",2.65115,2.65115
"285074","285074","LOC285074","LOC285074","2","2",87.030674,87.030674
"282808","282808","RAB40AL","RAB40AL","X","X",102.937272,102.937272
"85452","85452","CFAP74","CFAP74","1","1",1.921951,1.921951
"387820","387820","ETS1","ETS1","11","11",127.940983,127.940983
"388022","388022","LOC388022","LOC388022","14","14",104.719759,104.719759
"389833","389833","LOC389833","LOC389833","4","4",0.026502,0.026502
"389834","389834","LOC389834","LOC389834","Un","Un",0.051062,0.051062
"400464","400464","PCSK6","PCSK6","15","15",99.807022,99.807022
"400499","400499","LOC400499","LOC400499","16","16",11.372014,11.372014
"400924","400924","LOC400924","LOC400924","22","22",28.756106,28.756106
"400968","400968","LOC400968","LOC400968","15","15",19.62067,19.62067
"401252","401252","LOC401252","LOC401252","6","6",32.331465,32.331465
"401589","401589","LOC401589","LOC401589","X","X",52.05117,52.05117
"440337","440337","RBFOX1","RBFOX1","16","16",6.377742,6.377742
"440568","440568","ZBTB17","ZBTB17","1","1",16.034509,16.034509
"440570","440570","ATP13A2","ATP13A2","1","1",17.071734,17.071734
"441070","441070","LOC441070","LOC441070","5","5",44.874939,44.874939
"441120","441120","LOC441120","LOC441120","5","5",179.012331,179.012331
"441193","441193","LOC441193","LOC441193","7","7",5.426139,5.426139
"441257","441257","LOC441257","LOC441257","7","7",72.134118,72.134118
"441268","441268","LMTK2","LMTK2","7","7",97.394601,97.394601
"441956","441956","LOC441956","LOC441956","21","21",13.679218,13.679218
"442535","442535","LOC442535","LOC442535","7","7",NA,NA
"541469","541469","LOC541469","LOC541469","19","19",43.486253,43.486253
"541473","541473","LOC541473","LOC541473","7","7",75.391948,75.391948
"642897","642897","LOC642897","LOC642897","11","11",93.609431,93.609431
"643576","643576","WASHC4","WASHC4","12","12",104.030728,104.030728
"644563","644563","LOC644563","LOC644563","X","X",107.131573,107.131573
"646347","646347","LOC646347","LOC646347","1","1",160.894888,160.894888
"646517","646517","LOC646517","LOC646517","6","6",51.409883,51.409883
"727726","727726","LOC727726","LOC727726","10","10",50.69633,50.69633
"727849","727849","LOC727849","LOC727849","15","15",80.943212,80.943212
"728392","728392","LOC728392","LOC728392","17","17",5.499426,5.499426
"100289462","100289462","DEFB4B","DEFB4B","8","8",7.414863,7.414863
"88523","88523","LOC88523","LOC88523","13","13",31.905007,31.905007
"90925","90925","LOC90925","LOC90925","14","14",NA,NA
"91431","91431","ALPK1","ALPK1","4","4",113.680469,113.680469
