"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
6,"ILMN_1713031","PGCP","plasma glutamate carboxypeptidase (PGCP), mRNA.","Chr8: 98.147487",7.503,"N/A","N/A","N/A",0.686,146,0.000000000000000000001157,"0.27800000000000002","0.59799999999999198",10404,"8","98.1474869999997",1,FALSE,"PGCP","PGCP"
7,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",8.496,"N/A","N/A","N/A",0.685,146,0.000000000000000000001392,"0.54500000000000004","0.82",847,"11","34.4495709999998",1,FALSE,"CAT","CAT"
8,"ILMN_1761010","PCCB","propionyl Coenzyme A carboxylase, beta polypeptide (PCCB), mRNA.","ChrUn: 1.000000",9.128,"N/A","N/A","N/A",0.68,146,0.000000000000000000004057,"--","0.78800000000000003",5096,"3","136.250305999999",1,FALSE,"PCCB","PCCB"
9,"ILMN_1744914","FUCA2","fucosidase, alpha-L- 2, plasma (FUCA2), mRNA.","Chr6: 143.858660",7.39,"N/A","N/A","N/A",0.673,146,0.00000000000000000001301,"0.242999999999998","0.34799999999999198",2519,"6","143.858659999998",1,FALSE,"FUCA2","FUCA2"
10,"ILMN_1810164","TMEM170","transmembrane protein 170 (TMEM170), mRNA.","Chr16: 74.038981",7.918,"N/A","N/A","N/A",0.672,146,0.00000000000000000001477,"--","-0.115",124491,"16","74.038981000000007",1,FALSE,"TMEM170","TMEM170"
12,"ILMN_1750409","RAB9A","RAB9A, member RAS oncogene family (RAB9A), mRNA.","ChrX: 13.637511",9.917,"N/A","N/A","N/A",0.665,146,0.00000000000000000005612,"0.23","--",9367,"X","13.637511",1,FALSE,"RAB9A","RAB9A"
13,"ILMN_1792304","OACT2","O-acyltransferase (membrane bound) domain containing 2 (OACT2), mRNA.","Chr2: 8.914891",8.041,"N/A","N/A","N/A",0.66,146,0.0000000000000000001343,"0.305999999999999","--",129642,"2","8.9148910000000008",1,FALSE,"OACT2","OACT2"
14,"ILMN_1810712","ARHGEF12","Rho guanine nucleotide exchange factor (GEF) 12 (ARHGEF12), mRNA.","Chr11: 119.865780",9.475,"N/A","N/A","N/A",-0.651,146,0.0000000000000000006111,"0.33200000000000002","0.34300000000000003",23365,"11","119.86578",-1,FALSE,"ARHGEF12","ARHGEF12"
15,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.268,"N/A","N/A","N/A",0.648,146,0.0000000000000000009094,"1","1",1312,"22","18.3363179999998",1,FALSE,"COMT","COMT"
16,"ILMN_1696254","CYB5D2","cytochrome b5 domain containing 2 (CYB5D2), mRNA.","Chr17: 4.007353",7.782,"N/A","N/A","N/A",0.645,146,0.000000000000000001643,"0.29399999999999199","0.59299999999999198",124936,"17","4.0073530000000002",1,FALSE,"CYB5D2","CYB5D2"
17,"ILMN_1692511","TMEM106C","transmembrane protein 106C (TMEM106C), mRNA.","Chr12: 46.648846",11.034,"N/A","N/A","N/A",-0.644,146,0.000000000000000001739,"--","5.7000000000000002E-2",79022,"12","46.6488459999998",-1,FALSE,"TMEM106C","TMEM106C"
18,"ILMN_1704961","ACTG1","actin, gamma 1 (ACTG1), mRNA.","Chr17: 77.093944",11.981,"N/A","N/A","N/A",0.643,146,0.000000000000000002001,"0.38400000000000001","-0.243999999999999",71,"17","77.093943999999496",1,FALSE,"ACTG1","ACTG1"
20,"ILMN_1785071","SEPP1","selenoprotein P, plasma, 1 (SEPP1), mRNA.","Chr5: 42.836624",10.091,"N/A","N/A","N/A",0.641,146,0.000000000000000002882,"0.59399999999999198","0.82599999999999196",6414,"5","42.836624",1,FALSE,"SEPP1","SEPP1"
21,"ILMN_1677446","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.178061",7.398,"N/A","N/A","N/A",0.635,146,0.00000000000000000758,"--","--",387522,"20","48.178061",1,FALSE,"KUA-UEV","KUA-UEV"
22,"ILMN_1809003","CBR1","carbonyl reductase 1 (CBR1), mRNA.","Chr21: 36.366911",7.704,"N/A","N/A","N/A",0.632,146,0.0000000000000000117,"0.53800000000000003","0.41199999999999198",873,"21","36.366911000000002",1,FALSE,"CBR1","CBR1"
23,"ILMN_1768486","VPS41","vacuolar protein sorting 41 homolog (S. cerevisiae) (VPS41), transcript variant 2, mRNA.","ChrUn: 1.000000",10.219,"N/A","N/A","N/A",0.627,146,0.00000000000000002457,"--","0.28799999999999198",27072,"7","38.722963",1,FALSE,"VPS41","VPS41"
24,"ILMN_1738759","PIGT","phosphatidylinositol glycan anchor biosynthesis, class T (PIGT), mRNA.","Chr20: 43.487946",9.497,"N/A","N/A","N/A",0.623,146,0.00000000000000004745,"0.34799999999999198","3.1E-2",51604,"20","43.487946000000001",1,FALSE,"PIGT","PIGT"
26,"ILMN_1664798","GRHPR","glyoxylate reductase/hydroxypyruvate reductase (GRHPR), mRNA.","Chr9: 37.426770",8.454,"N/A","N/A","N/A",0.621,146,0.00000000000000006171,"0.47699999999999199","0.80100000000000005",9380,"9","37.4267699999996",1,FALSE,"GRHPR","GRHPR"
30,"ILMN_1763012","PFN1","profilin 1 (PFN1), mRNA.","Chr17: 4.790765",10.749,"N/A","N/A","N/A",0.613,146,0.0000000000000002069,"0.51200000000000001","0.124",5216,"17","4.7907650000000004",1,FALSE,"PFN1","PFN1"
31,"ILMN_1714433","MARCKSL1","MARCKS-like 1 (MARCKSL1), mRNA.","Chr1: 32.572371",13,"N/A","N/A","N/A",0.612,146,0.0000000000000002205,"0.4","-0.47",65108,"1","32.572370999999499",1,FALSE,"MARCKSL1","MARCKSL1"
32,"ILMN_1808568","PYCR2","pyrroline-5-carboxylate reductase family, member 2 (PYCR2), mRNA.","Chr1: 224.174536",9.635,"N/A","N/A","N/A",0.611,146,0.0000000000000002639,"--","-0.16900000000000001",29920,"1","224.174535999998",1,FALSE,"PYCR2","PYCR2"
33,"ILMN_1721704","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.059649",11.368,"N/A","N/A","N/A",0.609,146,0.0000000000000003374,"0.17199999999999199","7.0999999999999702E-2",2339,"8","43.059649",1,FALSE,"FNTA","FNTA"
34,"ILMN_1670263","C1orf71","chromosome 1 open reading frame 71 (C1orf71), mRNA.","Chr1: 244.896962",13.57,"N/A","N/A","N/A",-0.608,146,0.0000000000000003738,"--","--",163882,"1","244.896962",-1,TRUE,"C1ORF71","C1orf71"
36,"ILMN_1727080","MYO6","myosin VI (MYO6), mRNA.","Chr6: 76.681376",7.609,"N/A","N/A","N/A",0.606,146,0.0000000000000005674,"0.367999999999998","0.28499999999999198",4646,"6","76.681376",1,FALSE,"MYO6","MYO6"
37,"ILMN_1790680","PDE6D","phosphodiesterase 6D, cGMP-specific, rod, delta (PDE6D), mRNA.","Chr2: 232.305624",9.403,"N/A","N/A","N/A",0.604,146,0.0000000000000006722,"0.26300000000000001","-0.56599999999999195",5147,"2","232.305623999999",1,FALSE,"PDE6D","PDE6D"
38,"ILMN_1660519","C3orf70","hypothetical gene supported by AK091454 (LOC285382), mRNA.","Chr3: 186.279006",10.221,"N/A","N/A","N/A",0.604,146,0.0000000000000006785,"--","--",285382,"3","186.27900600000001",1,TRUE,"LOC285382","C3orf70"
39,"ILMN_1793743","DIRC2","disrupted in renal carcinoma 2 (DIRC2), mRNA.","Chr3: 124.081121",8.196,"N/A","N/A","N/A",0.604,146,0.0000000000000006868,"--","0.45400000000000001",84925,"3","124.081121",1,FALSE,"DIRC2","DIRC2"
41,"ILMN_1679532","GRM3","glutamate receptor, metabotropic 3 (GRM3), mRNA.","Chr7: 86.331571",9.789,"N/A","N/A","N/A",0.603,146,0.0000000000000008376,"0.59099999999999198","0.13300000000000001",2913,"7","86.331570999999499",1,FALSE,"GRM3","GRM3"
42,"ILMN_1782922","PDE4B","phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila) (PDE4B), transcript variant b, mRNA.","Chr1: 66.611705",7.55,"N/A","N/A","N/A",0.601,146,0.000000000000001101,"0.66400000000000003","8.69999999999998E-2",5142,"1","66.611705000000001",1,FALSE,"PDE4B","PDE4B"
43,"ILMN_1761093","B3GAT1","beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA.","Chr11: 133.754175",8.726,"N/A","N/A","N/A",0.6,146,0.000000000000001176,"0.46","-0.174999999999992",27087,"11","133.754175",1,FALSE,"B3GAT1","B3GAT1"
44,"ILMN_1773485","QKI","quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 3, mRNA.","Chr6: 163.907760",7.718,"N/A","N/A","N/A",0.6,146,0.00000000000000127,"0.38600000000000001","--",9444,"6","163.90776",1,FALSE,"QKI","QKI"
