"r.entrez","m.entrez","r.symb","m.symb","r.chr","m.chr","r.startpos","m.startpos"
"284443","284443","ZNF493","ZNF493","19","19",21.400169,21.400169
"143188","143188","LOC143188","LOC143188","10","10",114.610672,114.610672
"57661","57661","PHRF1","PHRF1","11","11",0.576446,0.576446
"65385","65385","ACTR3C","ACTR3C","7","7",149.881359,149.881359
"100289124","100289124","FAM27E1","FAM27E1","9","9",41.647674,41.647674
"100507321","100507321","ERVK13-1","ERVK13-1","16","16",2.658389,2.658389
"284912","284912","LOC284912","LOC284912","22","22",35.627575,35.627575
"282808","282808","RAB40AL","RAB40AL","X","X",102.937272,102.937272
"2782","2782","GNB1","GNB1","1","1",1.706696,1.706696
"2113","2113","ETS1","ETS1","11","11",128.458761,128.458761
"389199","389199","LOC389199","LOC389199","4","4",7.939,7.939
"728524","728524","SPDYE8P","SPDYE8P","7","7",73.019731,73.019731
"389833","389833","LOC389833","LOC389833","4","4",0.026502,0.026502
"392395","392395","LOC392395","LOC392395","9","9",NA,NA
"399900","399900","LOC399900","LOC399900","11","11",61.967797,61.967797
"400499","400499","LOC400499","LOC400499","16","16",11.372014,11.372014
"729857","729857","RGPD2","RGPD2","2","2",87.757198,87.757198
"442075","442075","EMC3-AS1","EMC3-AS1","3","3",9.986893,9.986893
"401252","401252","LOC401252","LOC401252","6","6",32.331465,32.331465
"401296","401296","LNCRI","LNCRI","7","7",1.690812,1.690812
"401357","401357","LOC401357","LOC401357","7","7",56.809123,56.809123
"401433","401433","LOC401433","LOC401433","7","7",151.07413,151.07413
"401620","401620","LOC401620","LOC401620","X","X",151.017884,151.017884
"440258","440258","BNIP3L","BNIP3L","8","8",26.308714,26.308714
"54715","54715","RBFOX1","RBFOX1","16","16",5.239752,5.239752
"7709","7709","ZBTB17","ZBTB17","1","1",16.141275,16.141275
"23400","23400","ATP13A2","ATP13A2","1","1",16.985958,16.985958
"441120","441120","LOC441120","LOC441120","5","5",179.012331,179.012331
"441193","441193","LOC441193","LOC441193","7","7",5.426139,5.426139
"441257","441257","LOC441257","LOC441257","7","7",72.134118,72.134118
"441956","441956","LOC441956","LOC441956","21","21",13.679218,13.679218
"100133036","100133036","FAM95B1","FAM95B1","9","9",40.323571,40.323571
"541473","541473","LOC541473","LOC541473","7","7",75.391948,75.391948
"613266","613266","LOC613266","LOC613266","20","20",15.892332,15.892332
"644563","644563","LOC644563","LOC644563","X","X",107.131573,107.131573
"646347","646347","LOC646347","LOC646347","1","1",160.894888,160.894888
"399744","399744","LINC00999","LINC00999","10","10",38.428146,38.428146
"646517","646517","LOC646517","LOC646517","6","6",51.409883,51.409883
"647115","647115","LOC647115","LOC647115","2","2",63.841106,63.841106
"118461","118461","C10orf71","C10orf71","10","10",50.2053,50.2053
"727726","727726","LOC727726","LOC727726","10","10",50.69633,50.69633
"727797","727797","LOC727797","LOC727797","3","3",0.061481,0.061481
"727849","727849","LOC727849","LOC727849","15","15",80.943212,80.943212
"728392","728392","LOC728392","LOC728392","17","17",5.499426,5.499426
"100289462","100289462","DEFB4B","DEFB4B","8","8",7.414863,7.414863
"90925","90925","LOC90925","LOC90925","14","14",NA,NA
"94431","94431","RRN3P1","RRN3P1","16","16",21.715451,21.715451
