"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
3,"ILMN_1729180","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000",11.075,"N/A","N/A","N/A",0.71,147,0.000000000000000000000007019,"0.426999999999994","0.180999999999999",2628,"15","45.361123999999499",1,FALSE,"GATM","GATM"
6,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",9.37,"N/A","N/A","N/A",0.687,147,0.0000000000000000000008204,"0.54500000000000004","0.82",847,"11","34.4495709999998",1,FALSE,"CAT","CAT"
8,"ILMN_1752952","MMP28","matrix metallopeptidase 28 (MMP28), transcript variant 3, mRNA.","Chr17: 31.130376",7.085,"N/A","N/A","N/A",0.67,147,0.00000000000000000001564,"0.44600000000000001","0.23100000000000001",79148,"17","31.1303759999997",1,FALSE,"MMP28","MMP28"
9,"ILMN_1687519","SNAP23","synaptosomal-associated protein, 23kDa (SNAP23), transcript variant 1, mRNA.","Chr15: 40.607825",7.16,"N/A","N/A","N/A",0.662,147,0.00000000000000000006543,"--","0.305999999999999",8773,"15","40.6078249999997",1,FALSE,"SNAP23","SNAP23"
10,"ILMN_1687074","CDC14B","CDC14 cell division cycle 14 homolog B (S. cerevisiae) (CDC14B), transcript variant 3, mRNA.","ChrUn: 1.000000",8.147,"N/A","N/A","N/A",0.651,147,0.000000000000000000421,"0.27100000000000002","0.35699999999999199",8555,"9","96.4902409999996",1,FALSE,"CDC14B","CDC14B"
14,"ILMN_1733157","THSD1","thrombospondin, type I, domain containing 1 (THSD1), transcript variant 1, mRNA.","Chr13: 51.849928",7.129,"N/A","N/A","N/A",0.64,147,0.000000000000000002682,"--","1.2999999999999901E-2",55901,"13","51.8499279999998",1,FALSE,"THSD1","THSD1"
16,"ILMN_1802251","PTTG1IP","pituitary tumor-transforming 1 interacting protein (PTTG1IP), mRNA.","Chr21: 45.094674",10.16,"N/A","N/A","N/A",0.629,147,0.00000000000000001514,"0.20399999999999199","0.63200000000000001",754,"21","45.0946739999996",1,FALSE,"PTTG1IP","PTTG1IP"
17,"ILMN_1716445","DTYMK","deoxythymidylate kinase (thymidylate kinase) (DTYMK), mRNA.","Chr2: 242.273869",7.536,"N/A","N/A","N/A",0.628,147,0.00000000000000001621,"0.34499999999999198","-0.27700000000000002",1841,"2","242.273868999999",1,FALSE,"DTYMK","DTYMK"
18,"ILMN_1688868","PPAP2B","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.733575",9.563,"N/A","N/A","N/A",0.627,147,0.00000000000000001879,"0.39700000000000002","0.57499999999999196",8613,"1","56.733575000000002",1,FALSE,"PPAP2B","PPAP2B"
19,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.064,"N/A","N/A","N/A",0.62,147,0.00000000000000005263,"1","1",1312,"22","18.3363179999998",1,FALSE,"COMT","COMT"
20,"ILMN_1793859","ALDH2","aldehyde dehydrogenase 2 family (mitochondrial) (ALDH2), nuclear gene encoding mitochondrial protein, mRNA.","Chr12: 110.731770",12.083,"N/A","N/A","N/A",0.618,147,0.00000000000000007169,"0.58699999999999197","0.753",217,"12","110.73177",1,FALSE,"ALDH2","ALDH2"
22,"ILMN_1751904","EDNRB","endothelin receptor type B (EDNRB), transcript variant 2, mRNA.","Chr13: 77.372706",8.208,"N/A","N/A","N/A",0.614,147,0.0000000000000001323,"0.40200000000000002","0.46899999999999198",1910,"13","77.372705999999496",1,FALSE,"EDNRB","EDNRB"
23,"ILMN_1653115","ECH1","enoyl Coenzyme A hydratase 1, peroxisomal (ECH1), mRNA.","Chr19: 43.998177",11.968,"N/A","N/A","N/A",0.613,147,0.0000000000000001656,"0.29099999999999199","0.741999999999997",1891,"19","43.9981769999997",1,FALSE,"ECH1","ECH1"
