"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r"
1,"ILMN_1810941","COMT","catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA.","Chr22: 18.328774",7.452,"N/A","N/A","N/A",1,146,0,"1","1"
2,"ILMN_1670308","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.866617",10.406,"N/A","N/A","N/A",0.824,146,2.55e-37,"0.33500000000000002","-0.32200000000000001"
3,"ILMN_1735438","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.704290",14.402,"N/A","N/A","N/A",0.731,146,1.079e-25,"0.33500000000000002","-0.32200000000000001"
4,"ILMN_1810864","PMP22","peripheral myelin protein 22 (PMP22), transcript variant 2, mRNA.","Chr17: 15.106483",7.457,"N/A","N/A","N/A",0.721,146,1.152e-24,"0.35699999999999998","0.14199999999999999"
5,"ILMN_1664051","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.574132",7.755,"N/A","N/A","N/A",0.695,146,2.219e-22,"--","-0.13300000000000001"
6,"ILMN_1713031","PGCP","plasma glutamate carboxypeptidase (PGCP), mRNA.","Chr8: 98.147487",7.503,"N/A","N/A","N/A",0.686,146,1.157e-21,"0.27800000000000002","0.59799999999999998"
7,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",8.496,"N/A","N/A","N/A",0.685,146,1.392e-21,"0.54500000000000004","0.82"
8,"ILMN_1761010","PCCB","propionyl Coenzyme A carboxylase, beta polypeptide (PCCB), mRNA.","ChrUn: 1.000000",9.128,"N/A","N/A","N/A",0.68,146,4.057e-21,"--","0.78800000000000003"
9,"ILMN_1744914","FUCA2","fucosidase, alpha-L- 2, plasma (FUCA2), mRNA.","Chr6: 143.858660",7.39,"N/A","N/A","N/A",0.673,146,1.301e-20,"0.24299999999999999","0.34799999999999998"
10,"ILMN_1810164","TMEM170","transmembrane protein 170 (TMEM170), mRNA.","Chr16: 74.038981",7.918,"N/A","N/A","N/A",0.672,146,1.477e-20,"--","-0.115"
11,"ILMN_1746494","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.033420",8.461,"N/A","N/A","N/A",0.669,146,2.94e-20,"0.17199999999999999","7.0999999999999994E-2"
12,"ILMN_1750409","RAB9A","RAB9A, member RAS oncogene family (RAB9A), mRNA.","ChrX: 13.637511",9.917,"N/A","N/A","N/A",0.665,146,5.612e-20,"0.23","--"
13,"ILMN_1792304","OACT2","O-acyltransferase (membrane bound) domain containing 2 (OACT2), mRNA.","Chr2: 8.914891",8.041,"N/A","N/A","N/A",0.66,146,1.343e-19,"0.30599999999999999","--"
14,"ILMN_1810712","ARHGEF12","Rho guanine nucleotide exchange factor (GEF) 12 (ARHGEF12), mRNA.","Chr11: 119.865780",9.475,"N/A","N/A","N/A",-0.651,146,6.111e-19,"0.33200000000000002","0.34300000000000003"
15,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.268,"N/A","N/A","N/A",0.648,146,9.094e-19,"1","1"
16,"ILMN_1696254","CYB5D2","cytochrome b5 domain containing 2 (CYB5D2), mRNA.","Chr17: 4.007353",7.782,"N/A","N/A","N/A",0.645,146,1.643e-18,"0.29399999999999998","0.59299999999999997"
17,"ILMN_1692511","TMEM106C","transmembrane protein 106C (TMEM106C), mRNA.","Chr12: 46.648846",11.034,"N/A","N/A","N/A",-0.644,146,1.739e-18,"--","5.7000000000000002E-2"
18,"ILMN_1704961","ACTG1","actin, gamma 1 (ACTG1), mRNA.","Chr17: 77.093944",11.981,"N/A","N/A","N/A",0.643,146,2.001e-18,"0.38400000000000001","-0.24399999999999999"
19,"ILMN_1703350","C2ORF28","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.288916",7.502,"N/A","N/A","N/A",0.643,146,2.205e-18,"--","--"
20,"ILMN_1785071","SEPP1","selenoprotein P, plasma, 1 (SEPP1), mRNA.","Chr5: 42.836624",10.091,"N/A","N/A","N/A",0.641,146,2.882e-18,"0.59399999999999997","0.82599999999999996"
21,"ILMN_1677446","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.178061",7.398,"N/A","N/A","N/A",0.635,146,7.58e-18,"--","--"
