"Index","Record","Symbol","Description","Location","Mean","Max LRS ?","Max LRS Location","Additive Effect ?","Sample r","&nbsp;&nbsp;N","Sample p(r)","Lit r","Tissue r"
"1","ILMN_1810941","COMT","catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA.","Chr22: 18.328774","7.480","N/A","N/A","N/A","1.000","145","0.000e+00","1.000","1.000"
"2","ILMN_1670308","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.866617","11.766","N/A","N/A","N/A","0.861","145","7.581e-44","0.335","-0.322"
"3","ILMN_1663787","KLK3","kallikrein-related peptidase 3 (KLK3), transcript variant 6, mRNA.","Chr19: 56.051418","7.649","N/A","N/A","N/A","0.847","145","4.329e-41","--","--"
"4","ILMN_1677446","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.178061","8.090","N/A","N/A","N/A","0.844","145","1.779e-40","--","--"
"5","ILMN_1746494","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.033420","9.007","N/A","N/A","N/A","0.840","145","7.128e-40","0.172","0.071"
"6","ILMN_1727992","FEZ1","fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA.","Chr11: 124.864600","11.628","N/A","N/A","N/A","0.839","145","1.170e-39","0.463","-0.283"
"7","ILMN_1700477","MRPL43","mitochondrial ribosomal protein L43 (MRPL43), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.","Chr10: 102.736678","9.284","N/A","N/A","N/A","0.839","145","1.177e-39","0.329","0.331"
"8","ILMN_1777541","KLK6","kallikrein-related peptidase 6 (KLK6), transcript variant A, mRNA.","Chr19: 56.164562","9.086","N/A","N/A","N/A","0.830","145","5.098e-38","0.402","-0.032"
"9","ILMN_1652280","FBXO32","F-box protein 32 (FBXO32), transcript variant 1, mRNA.","Chr8: 124.616231","8.364","N/A","N/A","N/A","0.814","145","1.475e-35","0.369","-0.010"
"10","ILMN_1703350","C2ORF28","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.288916","7.486","N/A","N/A","N/A","0.806","145","2.151e-34","--","--"
"11","ILMN_1664051","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.574132","8.439","N/A","N/A","N/A","0.805","145","3.259e-34","--","-0.133"
"12","ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318","12.834","N/A","N/A","N/A","0.789","145","4.546e-32","1.000","1.000"
"13","ILMN_1792689","HIST1H2AC","histone cluster 1, H2ac (HIST1H2AC), mRNA.","Chr6: 26.232443","7.792","N/A","N/A","N/A","0.787","145","7.918e-32","--","-0.357"
"14","ILMN_1735438","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.704290","16.424","N/A","N/A","N/A","0.786","145","1.085e-31","0.335","-0.322"
"15","ILMN_1810864","PMP22","peripheral myelin protein 22 (PMP22), transcript variant 2, mRNA.","Chr17: 15.106483","8.181","N/A","N/A","N/A","0.785","145","1.737e-31","0.357","0.142"
"16","ILMN_1764087","SYPL1","synaptophysin-like 1 (SYPL1), transcript variant 2, mRNA.","Chr7: 105.519514","10.485","N/A","N/A","N/A","0.782","145","4.072e-31","--","--"
"17","ILMN_1721704","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.059649","12.891","N/A","N/A","N/A","0.780","145","6.013e-31","0.172","0.071"
"18","ILMN_1810164","TMEM170","transmembrane protein 170 (TMEM170), mRNA.","Chr16: 74.038981","8.191","N/A","N/A","N/A","0.774","145","3.199e-30","--","-0.115"
"19","ILMN_1738307","PRDX4","peroxiredoxin 4 (PRDX4), mRNA.","ChrX: 23.603132","9.397","N/A","N/A","N/A","0.772","145","6.710e-30","0.472","0.088"
"20","ILMN_1739161","PPAP2A","phosphatidic acid phosphatase type 2A (PPAP2A), transcript variant 1, mRNA.","Chr5: 54.806958","8.155","N/A","N/A","N/A","0.767","145","2.706e-29","0.438","-0.046"
"21","ILMN_1729180","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000","11.555","N/A","N/A","N/A","0.763","145","6.709e-29","0.427","0.181"
"22","ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571","9.215","N/A","N/A","N/A","0.761","145","1.280e-28","0.545","0.820"
"23","ILMN_1710070","PCSK6","proprotein convertase subtilisin/kexin type 6 (PCSK6), transcript variant 6, mRNA.","Chr15: 99.742115","7.130","N/A","N/A","N/A","0.758","145","2.347e-28","0.397","0.488"
"24","ILMN_1796669","PSEN1","presenilin 1 (Alzheimer disease 3) (PSEN1), mRNA.","Chr14: 72.748378","7.619","N/A","N/A","N/A","0.758","145","2.712e-28","0.352","-0.465"
"25","ILMN_1724895","CLU","clusterin (CLU), transcript variant 2, mRNA.","Chr8: 27.524606","7.482","N/A","N/A","N/A","0.757","145","3.298e-28","0.464","0.183"
"26","ILMN_1678928","SLCO3A1","solute carrier organic anion transporter family, member 3A1 (SLCO3A1), mRNA.","Chr15: 90.491358","8.235","N/A","N/A","N/A","0.753","145","9.305e-28","--","-0.028"
"27","ILMN_1813314","HIST1H2BK","histone cluster 1, H2bk (HIST1H2BK), mRNA.","Chr6: 27.222496","7.196","N/A","N/A","N/A","0.750","145","1.879e-27","--","0.142"
"28","ILMN_1799104","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 1, mRNA.","Chr17: 46.398579","9.500","N/A","N/A","N/A","0.749","145","2.161e-27","--","0.137"
"29","ILMN_1652306","MEGF10","multiple EGF-like-domains 10 (MEGF10), mRNA.","Chr5: 126.823254","7.514","N/A","N/A","N/A","0.746","145","4.703e-27","0.315","-0.216"
"30","ILMN_1772786","C20ORF23","chromosome 20 open reading frame 23 (C20orf23), mRNA.","Chr20: 16.201565","7.287","N/A","N/A","N/A","0.746","145","5.586e-27","0.241","--"
"31","ILMN_1766499","HSPA2","heat shock 70kDa protein 2 (HSPA2), mRNA.","Chr14: 64.079042","14.013","N/A","N/A","N/A","0.740","145","2.350e-26","0.341","-0.486"
"32","ILMN_1749212","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.193506","7.375","N/A","N/A","N/A","0.739","145","2.519e-26","--","--"
"33","ILMN_1750465","AGPS","alkylglycerone phosphate synthase (AGPS), mRNA.","Chr2: 178.096752","7.310","N/A","N/A","N/A","0.739","145","2.553e-26","0.396","0.258"
"34","ILMN_1773485","QKI","quaking homolog, KH domain RNA binding (mouse) (QKI), transcript variant 3, mRNA.","Chr6: 163.907760","8.639","N/A","N/A","N/A","0.736","145","5.382e-26","0.386","--"
"35","ILMN_1761093","B3GAT1","beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA.","Chr11: 133.754175","9.863","N/A","N/A","N/A","0.736","145","5.427e-26","0.460","-0.175"
"36","ILMN_1691458","SYPL1","synaptophysin-like 1 (SYPL1), transcript variant 2, mRNA.","Chr7: 105.539942","7.224","N/A","N/A","N/A","0.730","145","2.180e-25","--","--"
"37","ILMN_1688322","ADIPOR1","adiponectin receptor 1 (ADIPOR1), mRNA.","Chr1: 201.177053","9.860","N/A","N/A","N/A","0.727","145","4.529e-25","0.429","0.209"
"38","ILMN_1799860","PIGM","phosphatidylinositol glycan anchor biosynthesis, class M (PIGM), mRNA.","ChrUn: 1.000000","9.311","N/A","N/A","N/A","0.726","145","5.074e-25","--","-0.616"
"39","ILMN_1738759","PIGT","phosphatidylinositol glycan anchor biosynthesis, class T (PIGT), mRNA.","Chr20: 43.487946","9.920","N/A","N/A","N/A","0.725","145","6.138e-25","0.348","0.031"
"40","ILMN_1652456","TMEM98","transmembrane protein 98 (TMEM98), transcript variant 1, mRNA.","Chr17: 28.282481","7.561","N/A","N/A","N/A","0.725","145","6.849e-25","--","0.042"
"41","ILMN_1797964","ARL6IP6","ADP-ribosylation-like factor 6 interacting protein 6 (ARL6IP6), mRNA.","Chr2: 153.324567","7.945","N/A","N/A","N/A","0.724","145","7.868e-25","0.256","0.015"
"42","ILMN_1740449","LOC220416","similar to Leucine-rich repeat protein SHOC-2 (Ras-binding protein Sur-8) (LOC220416), mRNA.","Chr13: 45.700828","7.178","N/A","N/A","N/A","0.723","145","1.024e-24","--","--"
"43","ILMN_1801043","GSN","gelsolin (amyloidosis, Finnish type) (GSN), transcript variant 2, mRNA.","Chr9: 123.131020","10.339","N/A","N/A","N/A","0.723","145","1.092e-24","0.450","0.217"
"44","ILMN_1737272","MOG","myelin oligodendrocyte glycoprotein (MOG), transcript variant beta4, mRNA.","Chr6: 29.747535","11.295","N/A","N/A","N/A","0.722","145","1.266e-24","0.401","-0.120"
"45","ILMN_1686985","MTM1","myotubularin 1 (MTM1), mRNA.","ChrX: 149.591560","7.739","N/A","N/A","N/A","0.721","145","1.520e-24","0.416","0.180"
"46","ILMN_1750108","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.564915","10.642","N/A","N/A","N/A","0.720","145","1.818e-24","--","-0.133"
"47","ILMN_1654314","LGALS3BP","lectin, galactoside-binding, soluble, 3 binding protein (LGALS3BP), mRNA.","Chr17: 74.479264","10.183","N/A","N/A","N/A","0.719","145","2.554e-24","0.402","0.436"
"48","ILMN_1671603","THRAP6","thyroid hormone receptor associated protein 6 (THRAP6), mRNA.","Chr8: 118.612188","8.357","N/A","N/A","N/A","0.718","145","2.627e-24","0.322","--"
"49","ILMN_1664750","TMBIM4","transmembrane BAX inhibitor motif containing 4 (TMBIM4), mRNA.","ChrUn: 1.000000","12.471","N/A","N/A","N/A","0.716","145","4.849e-24","--","0.369"
"50","ILMN_1730765","DUSP22","dual specificity phosphatase 22 (DUSP22), mRNA.","Chr6: 0.256945","7.227","N/A","N/A","N/A","0.716","145","4.896e-24","0.228","0.206"
"51","ILMN_1745119","C7ORF11","chromosome 7 open reading frame 11 (C7orf11), mRNA.","Chr7: 40.140381","7.583","N/A","N/A","N/A","0.714","145","7.364e-24","0.292","--"
"52","ILMN_1758816","UGT8","UDP glycosyltransferase 8 (UDP-galactose ceramide galactosyltransferase) (UGT8), mRNA.","Chr4: 115.816633","11.198","N/A","N/A","N/A","0.714","145","7.454e-24","--","--"
"53","ILMN_1803744","SELS","selenoprotein S (SELS), transcript variant 2, mRNA.","Chr15: 99.630489","8.650","N/A","N/A","N/A","0.713","145","8.545e-24","0.483","--"
"54","ILMN_1711745","PPIB","peptidylprolyl isomerase B (cyclophilin B) (PPIB), mRNA.","Chr15: 62.235372","12.278","N/A","N/A","N/A","0.711","145","1.233e-23","0.454","0.446"
"55","ILMN_1763972","TJP2","tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 1, mRNA.","Chr9: 71.055900","7.241","N/A","N/A","N/A","0.711","145","1.378e-23","--","0.027"
"56","ILMN_1704290","SPTLC2","serine palmitoyltransferase, long chain base subunit 2 (SPTLC2), mRNA.","Chr14: 77.043104","8.079","N/A","N/A","N/A","0.710","145","1.435e-23","--","0.392"
"57","ILMN_1745885","POLR2F","polymerase (RNA) II (DNA directed) polypeptide F (POLR2F), mRNA.","Chr22: 36.693578","12.988","N/A","N/A","N/A","0.709","145","1.742e-23","0.207","0.331"
"58","ILMN_1753010","PET112L","PET112-like (yeast) (PET112L), mRNA.","Chr4: 152.811510","10.315","N/A","N/A","N/A","0.709","145","1.957e-23","0.316","0.548"
"59","ILMN_1658469","TP53AP1","TP53 activated protein 1 (TP53AP1), mRNA.","Chr7: 86.812428","7.452","N/A","N/A","N/A","0.709","145","2.080e-23","--","--"
"60","ILMN_1656621","CHMP2A","charged multivesicular body protein 2A (proposed multi-tissue human housekeeping gene)","Chr19: 63.758169","8.010","N/A","N/A","N/A","0.707","145","2.868e-23","0.189","0.189"
"61","ILMN_1679858","CD9","CD9 molecule (CD9), mRNA.","Chr12: 6.217231","14.418","N/A","N/A","N/A","0.706","145","3.300e-23","0.386","0.047"
"62","ILMN_1714820","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12) (ITGB1), transcript variant 1E, mRNA.","Chr10: 33.239236","8.958","N/A","N/A","N/A","0.706","145","3.415e-23","0.292","0.530"
"63","ILMN_1763012","PFN1","profilin 1 (PFN1), mRNA.","Chr17: 4.790765","11.060","N/A","N/A","N/A","0.705","145","3.971e-23","0.512","0.124"
"64","ILMN_1768577","PCSK6","proprotein convertase subtilisin/kexin type 6 (PCSK6), transcript variant 6, mRNA.","Chr15: 99.722666","7.465","N/A","N/A","N/A","0.704","145","4.973e-23","0.397","0.488"
"65","ILMN_1695199","HIST1H4H","histone cluster 1, H4h (HIST1H4H), mRNA.","Chr6: 26.393372","7.479","N/A","N/A","N/A","0.704","145","5.484e-23","0.207","0.444"
"66","ILMN_1716445","DTYMK","deoxythymidylate kinase (thymidylate kinase) (DTYMK), mRNA.","Chr2: 242.273869","7.582","N/A","N/A","N/A","0.702","145","7.792e-23","0.345","-0.277"
"67","ILMN_1768798","SPAG9","sperm associated antigen 9 (SPAG9), transcript variant 2, mRNA.","Chr17: 46.396381","8.406","N/A","N/A","N/A","0.702","145","8.332e-23","--","0.137"
"68","ILMN_1664978","TJP2","tight junction protein 2 (zona occludens 2) (TJP2), transcript variant 1, mRNA.","Chr9: 71.059242","8.731","N/A","N/A","N/A","0.701","145","1.045e-22","--","0.027"
"69","ILMN_1691864","Septin 10","septin 10 (SEPT10), transcript variant 2, mRNA.","Chr2: 109.659184","7.485","N/A","N/A","N/A","0.700","145","1.097e-22","--","--"
"70","ILMN_1734895","SFT2D1","SFT2 domain containing 1 (SFT2D1), mRNA.","Chr6: 166.658035","11.952","N/A","N/A","N/A","0.700","145","1.129e-22","--","0.205"
"71","ILMN_1809003","CBR1","carbonyl reductase 1 (CBR1), mRNA.","Chr21: 36.366911","8.712","N/A","N/A","N/A","0.698","145","1.570e-22","0.538","0.412"
"72","ILMN_1660440","C9ORF77","chromosome 9 open reading frame 77 (C9orf77), transcript variant 1, mRNA.","Chr9: 73.679642","7.298","N/A","N/A","N/A","0.697","145","2.069e-22","--","--"
"73","ILMN_1666967","BRP44L","brain protein 44-like (BRP44L), mRNA.","Chr6: 166.699458","11.330","N/A","N/A","N/A","0.697","145","2.304e-22","0.290","0.494"
"74","ILMN_1750409","RAB9A","RAB9A, member RAS oncogene family (RAB9A), mRNA.","ChrX: 13.637511","10.755","N/A","N/A","N/A","0.695","145","2.952e-22","0.230","--"
"75","ILMN_1732750","CHCHD8","coiled-coil-helix-coiled-coil-helix domain containing 8 (CHCHD8), mRNA.","Chr11: 73.261765","7.475","N/A","N/A","N/A","0.691","145","6.654e-22","--","-0.067"
"76","ILMN_1758978","KLHL4","kelch-like 4 (Drosophila) (KLHL4), transcript variant 2, mRNA.","ChrX: 86.777386","7.469","N/A","N/A","N/A","0.691","145","7.200e-22","--","0.024"
"77","ILMN_1689237","BVES","blood vessel epicardial substance (BVES), transcript variant 5, mRNA.","Chr6: 105.651709","7.758","N/A","N/A","N/A","0.690","145","7.835e-22","0.377","0.020"
"78","ILMN_1747775","STX2","syntaxin 2 (STX2), transcript variant 2, mRNA.","Chr12: 129.840467","9.363","N/A","N/A","N/A","0.689","145","9.157e-22","--","-0.460"
"79","ILMN_1749297","ACTL6A","actin-like 6A (ACTL6A), transcript variant 3, mRNA.","ChrUn: 1.000000","8.422","N/A","N/A","N/A","0.689","145","9.627e-22","0.310","-0.366"
"80","ILMN_1699728","BTD","biotinidase (BTD), mRNA.","Chr3: 15.661984","7.592","N/A","N/A","N/A","0.687","145","1.538e-21","0.516","0.738"
"81","ILMN_1713031","PGCP","plasma glutamate carboxypeptidase (PGCP), mRNA.","Chr8: 98.147487","7.834","N/A","N/A","N/A","0.686","145","1.690e-21","0.278","0.598"
"82","ILMN_1777296","ACTB","actin, beta (ACTB), mRNA.","Chr7: 5.534602","15.378","N/A","N/A","N/A","0.685","145","1.931e-21","0.438","-0.061"
"83","ILMN_1728517","FNTB","farnesyltransferase, CAAX box, beta (FNTB), mRNA.","Chr14: 64.598938","11.407","N/A","N/A","N/A","0.685","145","2.124e-21","0.492","-0.100"
"84","ILMN_1651987","C6ORF129","chromosome 6 open reading frame 129 (C6orf129), mRNA.","ChrUn: 1.000000","8.592","N/A","N/A","N/A","0.683","145","2.736e-21","--","--"
