TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
TBX15	MA0803.1	2.39733	0.00825668	1	0.871574	1	1
TBX1	MA0805.1	2.38634	0.00850758	1	0.871429	1	1
SCRT2	MA0744.1	2.33833	0.0096841	0.887455	0.784626	0.887455	1
TBX5	MA0807.1	2.28247	0.0112298	1	0.902559	1	1
Hoxa11	MA0911.1	2.27822	0.0113557	0.932573	0.831248	0.932573	1
TBX4	MA0806.1	2.26036	0.0118985	1	0.895913	1	1
SCRT1	MA0743.1	2.23059	0.012853	0.872324	0.777389	0.872324	1
MGA	MA0801.1	2.22115	0.0131692	1	0.89147	1	1
MZF1(var.2)	MA0057.1	2.21325	0.013439	1	0.927773	1	1
Hmx2	MA0897.1	1.98149	0.0237665	0.864672	0.771815	0.864672	1
Hmx3	MA0898.1	1.92444	0.0271477	0.8606	0.770067	0.8606	1
HOXC11	MA0651.1	1.85211	0.0320031	0.917046	0.827196	0.917046	1
HOXC12	MA0906.1	1.81953	0.0344135	0.89781	0.810603	0.89781	1
Nr5a2	MA0505.1	1.78624	0.0370278	0.887943	0.808845	0.887943	1
EN2	MA0642.1	1.76422	0.0388453	0.964016	0.892906	0.964016	1
SMAD2::SMAD3::SMAD4	MA0513.1	1.72775	0.042014	0.905834	0.833321	0.905834	1
Pparg::Rxra	MA0065.2	1.72233	0.0425023	0.890175	0.83077	0.890175	1
Hmx1	MA0896.1	1.67088	0.04737	0.86205	0.790438	0.86205	1
TFAP4	MA0691.1	1.66972	0.0474849	0.912831	0.828578	0.912831	1
ISL2	MA0914.1	1.66864	0.0475916	0.976722	0.902876	0.976722	1
PKNOX1	MA0782.1	1.6541	0.0490508	0.834754	0.752069	0.834754	1
PKNOX2	MA0783.1	1.64629	0.0498498	0.836163	0.756663	0.836163	1
Nr2e3	MA0164.1	1.62018	0.0525938	0.971056	0.870165	0.971056	1
Mafb	MA0117.2	1.58794	0.0561474	0.909838	0.842964	0.909838	1
MAF::NFE2	MA0501.1	1.58435	0.0565543	0.841238	0.773929	0.841238	1
POU4F1	MA0790.1	1.5469	0.0609413	0.879768	0.780954	0.879768	1
Barhl1	MA0877.1	1.54584	0.0610687	0.965195	0.90532	0.965195	1
Msx3	MA0709.1	1.51877	0.0644073	0.990292	0.892399	0.990292	1
MSX2	MA0708.1	1.5169	0.0646429	0.974425	0.883033	0.974425	1
Mecom	MA0029.1	1.51276	0.065168	0.862934	0.788723	0.862934	1
NRL	MA0842.1	1.50314	0.0663992	0.935392	0.877357	0.935392	1
HOXD12	MA0873.1	1.50056	0.0667316	0.886493	0.817025	0.886493	1
PPARA::RXRA	MA1148.1	1.4956	0.0673762	0.83178	0.78125	0.83178	1
TGIF1	MA0796.1	1.47831	0.0696597	0.807016	0.731952	0.807016	1
GBX1	MA0889.1	1.47487	0.0701202	0.940143	0.85775	0.940143	1
Nr2f6	MA0677.1	1.42056	0.0777193	0.828783	0.769621	0.828783	1
GBX2	MA0890.1	1.41946	0.0778787	0.960199	0.876102	0.960199	1
GLI2	MA0734.1	1.41886	0.0779671	0.859434	0.79862	0.859434	1
MSX1	MA0666.1	1.39458	0.0815687	0.976077	0.900312	0.976077	1
Dlx2	MA0885.1	1.38837	0.0825098	1	0.908435	1	1
TCF4	MA0830.1	1.37594	0.0844174	0.989322	0.91979	0.989322	1
Hoxa9	MA0594.1	1.37239	0.0849678	0.899546	0.838161	0.899546	1
NR4A1	MA1112.1	1.35838	0.0871686	0.929036	0.856433	0.929036	1
Gata1	MA0035.3	1.34958	0.0885724	0.916772	0.850793	0.916772	1
Dlx4	MA0881.1	1.34274	0.0896752	0.989021	0.91298	0.989021	1
Dlx3	MA0880.1	1.34149	0.089878	0.992157	0.913311	0.992157	1
Phox2b	MA0681.1	1.33113	0.0915691	0.904269	0.820451	0.904269	1
TAL1::TCF3	MA0091.1	1.3101	0.0950773	0.898059	0.841625	0.898059	1
TCF7L2	MA0523.1	1.30881	0.0952963	0.899783	0.844542	0.899783	1
TCF3	MA0522.2	1.30385	0.0961393	0.984502	0.919527	0.984502	1
BARX1	MA0875.1	1.2981	0.0971232	0.991295	0.923735	0.991295	1
PRDM1	MA0508.2	1.28152	0.100002	0.922546	0.854546	0.922546	1
HOXD11	MA0908.1	1.27919	0.100412	0.915731	0.85161	0.915731	1
FIGLA	MA0820.1	1.27302	0.101501	0.949905	0.894574	0.949905	1
Nkx2-5	MA0063.1	1.26542	0.102856	1	0.947712	1	1
ID4	MA0824.1	1.2588	0.104049	0.963978	0.902553	0.963978	1
TFAP2B(var.2)	MA0812.1	1.25781	0.104227	0.933995	0.873829	0.933995	1
TFAP2C(var.2)	MA0814.1	1.25736	0.104309	0.937785	0.881021	0.937785	1
DUXA	MA0884.1	1.25437	0.10485	0.887198	0.822207	0.887198	1
TGIF2	MA0797.1	1.23172	0.109023	0.820035	0.762839	0.820035	1
TBR1	MA0802.1	1.2224	0.110775	0.891451	0.836001	0.891451	1
