"","Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","loc","bp","corsign","ENTREZID"
"1",1,"ILMN_1810941","COMT","catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA.","Chr22: 18.328774",7.382,"N/A","N/A","N/A",1,147,0,"1","1","22",18.328774,"1","1312"
"2",2,"ILMN_1670308","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.866617",10.682,"N/A","N/A","N/A",0.781,147,0.0000000000000000000000000000001696,"0.33500000000000002","-0.32200000000000001","X",13.866617,"1","2824"
"3",3,"ILMN_1729180","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000",11.075,"N/A","N/A","N/A",0.71,147,0.000000000000000000000007019,"0.42699999999999999","0.18099999999999999","15",45.361,"1","2628"
"4",4,"ILMN_1735438","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.704290",14.901,"N/A","N/A","N/A",0.707,147,0.00000000000000000000001391,"0.33500000000000002","-0.32200000000000001","X",13.70429,"1","2824"
"6",6,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",9.37,"N/A","N/A","N/A",0.687,147,0.0000000000000000000008204,"0.54500000000000004","0.82","11",34.449571,"1","847"
"7",7,"ILMN_1685719","NTSR2","neurotensin receptor 2 (NTSR2), mRNA.","Chr2: 11.727390",7.358,"N/A","N/A","N/A",0.68,147,0.000000000000000000002662,"0.71599999999999997","2.5999999999999999E-2","2",11.72739,"1","23620"
"9",9,"ILMN_1687519","SNAP23","synaptosomal-associated protein, 23kDa (SNAP23), transcript variant 1, mRNA.","Chr15: 40.607825",7.16,"N/A","N/A","N/A",0.662,147,0.00000000000000000006543,"--","0.30599999999999999","15",40.607825,"1","8773"
"10",10,"ILMN_1687074","CDC14B","CDC14 cell division cycle 14 homolog B (S. cerevisiae) (CDC14B), transcript variant 3, mRNA.","ChrUn: 1.000000",8.147,"N/A","N/A","N/A",0.651,147,0.000000000000000000421,"0.27100000000000002","0.35699999999999998","9",96.49,"1","8555"
"11",11,"ILMN_1664051","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.574132",8.141,"N/A","N/A","N/A",0.65,147,0.000000000000000000531,"--","-0.13300000000000001","3",42.574132,"1","9117"
"12",12,"ILMN_1679041","SLC3A2","solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 (SLC3A2), transcript variant 6, mRNA.","Chr11: 62.405013",7.724,"N/A","N/A","N/A",0.649,147,0.0000000000000000006527,"--","-2.5000000000000001E-2","11",62.405013,"1","6520"
