"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
3,"ILMN_1695598","RPL18P13","similar to 60S ribosomal protein L18 (LOC441775), mRNA.","ChrUn: 1.000000",15.253,"N/A","N/A","N/A",0.718,146,0.000000000000000000000002005,"--","--",441775,"16","76.235055000000003",1,TRUE,"LOC441775","RPL18P13"
5,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",9.342,"N/A","N/A","N/A",0.694,146,0.0000000000000000000002775,"0.54500000000000004","0.82",847,"11","34.4495709999998",1,FALSE,"CAT","CAT"
6,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.002,"N/A","N/A","N/A",0.683,146,0.000000000000000000002016,"1","1",1312,"22","18.3363179999998",1,FALSE,"COMT","COMT"
7,"ILMN_1683883","ACY1","aminoacylase 1 (ACY1), mRNA.","Chr3: 51.997630",7.773,"N/A","N/A","N/A",0.679,146,0.000000000000000000004893,"0.34300000000000003","0.613999999999994",95,"3","51.997630000000001",1,FALSE,"ACY1","ACY1"
8,"ILMN_1732750","CHCHD8","coiled-coil-helix-coiled-coil-helix domain containing 8 (CHCHD8), mRNA.","Chr11: 73.261765",7.387,"N/A","N/A","N/A",0.677,146,0.000000000000000000006579,"--","-6.7000000000000004E-2",51287,"11","73.2617649999995",1,FALSE,"CHCHD8","CHCHD8"
12,"ILMN_1729180","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000",11.022,"N/A","N/A","N/A",0.661,146,0.0000000000000000001118,"0.426999999999994","0.180999999999999",2628,"15","45.3611239999994",1,FALSE,"GATM","GATM"
13,"ILMN_1727080","MYO6","myosin VI (MYO6), mRNA.","Chr6: 76.681376",7.68,"N/A","N/A","N/A",0.66,146,0.0000000000000000001313,"0.367999999999998","0.28499999999998998",4646,"6","76.681376",1,FALSE,"MYO6","MYO6"
14,"ILMN_1652748","RPL18AP3","similar to ribosomal protein L18a; 60S ribosomal protein L18a (LOC390354) on chromosome 12.","Chr12: 103.183450",14.032,"N/A","N/A","N/A",0.654,146,0.0000000000000000003288,"--","--",390354,"12","103.183449999999",1,TRUE,"LOC390354","RPL18AP3"
15,"ILMN_1786273","C1orf122","chromosome 1 open reading frame 122 (C1orf122), mRNA.","Chr1: 38.047325",10.497,"N/A","N/A","N/A",0.645,146,0.000000000000000001583,"--","--",127687,"1","38.047325000000001",1,TRUE,"C1ORF122","C1orf122"
17,"ILMN_1669424","YBX1P2","similar to nuclease sensitive element binding protein 1 (LOC646531), mRNA.","Chr7: 105.010204",11.254,"N/A","N/A","N/A",0.635,146,0.000000000000000007678,"--","--",646531,"7","105.010204",1,TRUE,"LOC646531","YBX1P2"
18,"ILMN_1687074","CDC14B","CDC14 cell division cycle 14 homolog B (S. cerevisiae) (CDC14B), transcript variant 3, mRNA.","ChrUn: 1.000000",8.151,"N/A","N/A","N/A",0.634,146,0.000000000000000008623,"0.27100000000000002","0.35699999999998999",8555,"9","96.4902409999996",1,FALSE,"CDC14B","CDC14B"
