"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign"
1,"ILMN_1810941","COMT","catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA.","Chr22: 18.328774",7.452,"N/A","N/A","N/A",1,146,0,"1","1","1312","22",18.328774,1
2,"ILMN_1670308","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.866617",10.406,"N/A","N/A","N/A",0.824,146,0.000000000000000000000000000000000000255,"0.33500000000000002","-0.32200000000000001","2824","X",13.866617,1
3,"ILMN_1735438","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.704290",14.402,"N/A","N/A","N/A",0.731,146,0.0000000000000000000000001079,"0.33500000000000002","-0.32200000000000001","2824","X",13.70429,1
4,"ILMN_1810864","PMP22","peripheral myelin protein 22 (PMP22), transcript variant 2, mRNA.","Chr17: 15.106483",7.457,"N/A","N/A","N/A",0.721,146,0.000000000000000000000001152,"0.35699999999999799","0.14199999999999799","5376","17",15.106483,1
5,"ILMN_1664051","SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae) (SEC22C), transcript variant 2, mRNA.","Chr3: 42.574132",7.755,"N/A","N/A","N/A",0.695,146,0.0000000000000000000002219,"--","-0.13300000000000001","9117","3",42.574132,1
6,"ILMN_1713031","PGCP","plasma glutamate carboxypeptidase (PGCP), mRNA.","Chr8: 98.147487",7.503,"N/A","N/A","N/A",0.686,146,0.000000000000000000001157,"0.27800000000000002","0.59799999999999798","10404","8",98.147487,1
7,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",8.496,"N/A","N/A","N/A",0.685,146,0.000000000000000000001392,"0.54500000000000004","0.82","847","11",34.449571,1
8,"ILMN_1761010","PCCB","propionyl Coenzyme A carboxylase, beta polypeptide (PCCB), mRNA.","ChrUn: 1.000000",9.128,"N/A","N/A","N/A",0.68,146,0.000000000000000000004057,"--","0.78800000000000003","5096","Un",1,1
9,"ILMN_1744914","FUCA2","fucosidase, alpha-L- 2, plasma (FUCA2), mRNA.","Chr6: 143.858660",7.39,"N/A","N/A","N/A",0.673,146,0.00000000000000000001301,"0.242999999999998","0.34799999999999798","2519","6",143.85866,1
10,"ILMN_1810164","TMEM170","transmembrane protein 170 (TMEM170), mRNA.","Chr16: 74.038981",7.918,"N/A","N/A","N/A",0.672,146,0.00000000000000000001477,"--","-0.115","124491","16",74.038981,1
11,"ILMN_1746494","FNTA","farnesyltransferase, CAAX box, alpha (FNTA), transcript variant 1, mRNA.","Chr8: 43.033420",8.461,"N/A","N/A","N/A",0.669,146,0.0000000000000000000294,"0.17199999999999799","7.0999999999999799E-2","2339","8",43.03342,1
12,"ILMN_1750409","RAB9A","RAB9A, member RAS oncogene family (RAB9A), mRNA.","ChrX: 13.637511",9.917,"N/A","N/A","N/A",0.665,146,0.00000000000000000005612,"0.23","--","9367","X",13.637511,1
13,"ILMN_1792304","OACT2","O-acyltransferase (membrane bound) domain containing 2 (OACT2), mRNA.","Chr2: 8.914891",8.041,"N/A","N/A","N/A",0.66,146,0.0000000000000000001343,"0.305999999999999","--","129642","2",8.914891,1
14,"ILMN_1810712","ARHGEF12","Rho guanine nucleotide exchange factor (GEF) 12 (ARHGEF12), mRNA.","Chr11: 119.865780",9.475,"N/A","N/A","N/A",-0.651,146,0.0000000000000000006111,"0.33200000000000002","0.34300000000000003","23365","11",119.86578,-1
15,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.268,"N/A","N/A","N/A",0.648,146,0.0000000000000000009094,"1","1","1312","22",18.336318,1
16,"ILMN_1696254","CYB5D2","cytochrome b5 domain containing 2 (CYB5D2), mRNA.","Chr17: 4.007353",7.782,"N/A","N/A","N/A",0.645,146,0.000000000000000001643,"0.29399999999999799","0.59299999999999797","124936","17",4.007353,1
17,"ILMN_1692511","TMEM106C","transmembrane protein 106C (TMEM106C), mRNA.","Chr12: 46.648846",11.034,"N/A","N/A","N/A",-0.644,146,0.000000000000000001739,"--","5.7000000000000002E-2","79022","12",46.648846,-1
18,"ILMN_1704961","ACTG1","actin, gamma 1 (ACTG1), mRNA.","Chr17: 77.093944",11.981,"N/A","N/A","N/A",0.643,146,0.000000000000000002001,"0.38400000000000001","-0.243999999999999","71","17",77.093944,1
19,"ILMN_1703350","C2orf28","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.288916",7.502,"N/A","N/A","N/A",0.643,146,0.000000000000000002205,"--","--","51374","2",27.288916,1
20,"ILMN_1785071","SEPP1","selenoprotein P, plasma, 1 (SEPP1), mRNA.","Chr5: 42.836624",10.091,"N/A","N/A","N/A",0.641,146,0.000000000000000002882,"0.59399999999999797","0.82599999999999796","6414","5",42.836624,1
21,"ILMN_1677446","KUA-UEV","ubiquitin-conjugating enzyme E2 variant 1 (Kua-UEV), transcript variant 1, mRNA.","Chr20: 48.178061",7.398,"N/A","N/A","N/A",0.635,146,0.00000000000000000758,"--","--","387522","20",48.178061,1
22,"ILMN_1809003","CBR1","carbonyl reductase 1 (CBR1), mRNA.","Chr21: 36.366911",7.704,"N/A","N/A","N/A",0.632,146,0.0000000000000000117,"0.53800000000000003","0.41199999999999798","873","21",36.366911,1
23,"ILMN_1768486","VPS41","vacuolar protein sorting 41 homolog (S. cerevisiae) (VPS41), transcript variant 2, mRNA.","ChrUn: 1.000000",10.219,"N/A","N/A","N/A",0.627,146,0.00000000000000002457,"--","0.28799999999999798","27072","Un",1,1
