"r.entrez","m.entrez","r.symb","m.symb","r.chr","m.chr","r.startpos","m.startpos"
"143188","143188","LOC143188","LOC143188","10","10",114.610672,114.610672
"65385","65385","ACTR3C","ACTR3C","7","7",149.881359,149.881359
"100289124","100289124","FAM27E1","FAM27E1","9","9",41.647674,41.647674
"100507321","100507321","ERVK13-1","ERVK13-1","16","16",2.658389,2.658389
"284009","284009","LOC284009","LOC284009","17","17",2.40698,2.40698
"85452","85452","CFAP74","CFAP74","1","1",1.921951,1.921951
"8027","8027","STAM","STAM","10","10",17.644125,17.644125
"387720","387720","LOC387720","LOC387720","10","10",127.734609,127.734609
"100506127","100506127","GVQW3","GVQW3","11","11",76.381303,76.381303
"2113","2113","ETS1","ETS1","11","11",128.458761,128.458761
"388022","388022","LOC388022","LOC388022","14","14",104.719759,104.719759
"392395","392395","LOC392395","LOC392395","9","9",NA,NA
"400499","400499","LOC400499","LOC400499","16","16",11.372014,11.372014
"400924","400924","LOC400924","LOC400924","22","22",28.756106,28.756106
"442075","442075","EMC3-AS1","EMC3-AS1","3","3",9.986893,9.986893
"401296","401296","LNCRI","LNCRI","7","7",1.690812,1.690812
"55750","55750","AGK","AGK","7","7",141.551278,141.551278
"401433","401433","LOC401433","LOC401433","7","7",151.07413,151.07413
"401589","401589","LOC401589","LOC401589","X","X",52.05117,52.05117
"401620","401620","LOC401620","LOC401620","X","X",151.017884,151.017884
"401622","401622","LOC401622","LOC401622","X","X",154.237948,154.237948
"23400","23400","ATP13A2","ATP13A2","1","1",16.985958,16.985958
"441120","441120","LOC441120","LOC441120","5","5",179.012331,179.012331
"346157","346157","ZNF391","ZNF391","6","6",27.374635,27.374635
"441179","441179","LOC441179","LOC441179","6","6",167.795528,167.795528
"441193","441193","LOC441193","LOC441193","7","7",5.426139,5.426139
"441233","441233","LOC441233","LOC441233","7","7",57.475796,57.475796
"441257","441257","LOC441257","LOC441257","7","7",72.134118,72.134118
"441956","441956","LOC441956","LOC441956","21","21",13.679218,13.679218
"541473","541473","LOC541473","LOC541473","7","7",75.391948,75.391948
"23325","23325","WASHC4","WASHC4","12","12",105.107714,105.107714
"644563","644563","LOC644563","LOC644563","X","X",107.131573,107.131573
"646347","646347","LOC646347","LOC646347","1","1",160.894888,160.894888
"399744","399744","LINC00999","LINC00999","10","10",38.428146,38.428146
"646517","646517","LOC646517","LOC646517","6","6",51.409883,51.409883
"653308","653308","ASAH2B","ASAH2B","10","10",50.739688,50.739688
"653501","653501","LOC653501","LOC653501","9","9",39.443813,39.443813
"727726","727726","LOC727726","LOC727726","10","10",50.69633,50.69633
"1234","1234","CCR5","CCR5","3","3",46.370142,46.370142
"727849","727849","LOC727849","LOC727849","15","15",80.979934,80.979934
"728392","728392","LOC728392","LOC728392","17","17",5.499426,5.499426
"100289462","100289462","DEFB4B","DEFB4B","8","8",7.414863,7.414863
"91522","91522","COL23A1","COL23A1","5","5",178.237616,178.237616
"729021","729021","LOC729021","LOC729021","4","4",119.774245,119.774245
"88523","88523","LOC88523","LOC88523","13","13",31.905007,31.905007
"80216","80216","ALPK1","ALPK1","4","4",112.285995,112.285995
"5522","5522","PPP2R2C","PPP2R2C","4","4",6.320578,6.320578
