"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r"
1,"ILMN_1810941","COMT","catechol-O-methyltransferase (COMT), transcript variant MB-COMT, mRNA.","Chr22: 18.328774",7.41,"N/A","N/A","N/A",1,146,0,"1","1"
2,"ILMN_1670308","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.866617",10.574,"N/A","N/A","N/A",0.734,146,6.024e-26,"0.33500000000000002","-0.32200000000000001"
3,"ILMN_1695598","LOC441775","similar to 60S ribosomal protein L18 (LOC441775), mRNA.","ChrUn: 1.000000",15.253,"N/A","N/A","N/A",0.718,146,2.005e-24,"--","--"
4,"ILMN_1679041","SLC3A2","solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 (SLC3A2), transcript variant 6, mRNA.","Chr11: 62.405013",7.718,"N/A","N/A","N/A",0.697,146,1.447e-22,"--","-2.5000000000000001E-2"
5,"ILMN_1805905","CAT","catalase (CAT), mRNA.","Chr11: 34.449571",9.342,"N/A","N/A","N/A",0.694,146,2.775e-22,"0.54500000000000004","0.82"
6,"ILMN_1730084","COMT","catechol-O-methyltransferase (COMT), transcript variant S-COMT, mRNA.","Chr22: 18.336318",12.002,"N/A","N/A","N/A",0.683,146,2.016e-21,"1","1"
7,"ILMN_1683883","ACY1","aminoacylase 1 (ACY1), mRNA.","Chr3: 51.997630",7.773,"N/A","N/A","N/A",0.679,146,4.893e-21,"0.34300000000000003","0.61399999999999999"
8,"ILMN_1732750","CHCHD8","coiled-coil-helix-coiled-coil-helix domain containing 8 (CHCHD8), mRNA.","Chr11: 73.261765",7.387,"N/A","N/A","N/A",0.677,146,6.579e-21,"--","-6.7000000000000004E-2"
9,"ILMN_1735438","GPM6B","glycoprotein M6B (GPM6B), transcript variant 4, mRNA.","ChrX: 13.704290",14.493,"N/A","N/A","N/A",0.669,146,2.598e-20,"0.33500000000000002","-0.32200000000000001"
10,"ILMN_1685719","NTSR2","neurotensin receptor 2 (NTSR2), mRNA.","Chr2: 11.727390",7.25,"N/A","N/A","N/A",0.667,146,3.683e-20,"0.71599999999999997","2.5999999999999999E-2"
11,"ILMN_1703350","C2ORF28","chromosome 2 open reading frame 28 (C2orf28), transcript variant 1, mRNA.","Chr2: 27.288916",7.433,"N/A","N/A","N/A",0.661,146,1.093e-19,"--","--"
12,"ILMN_1729180","GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase) (GATM), nuclear gene encoding mitochondrial protein, mRNA.","ChrUn: 1.000000",11.022,"N/A","N/A","N/A",0.661,146,1.118e-19,"0.42699999999999999","0.18099999999999999"
13,"ILMN_1727080","MYO6","myosin VI (MYO6), mRNA.","Chr6: 76.681376",7.68,"N/A","N/A","N/A",0.66,146,1.313e-19,"0.36799999999999999","0.28499999999999998"
14,"ILMN_1652748","LOC390354","similar to ribosomal protein L18a; 60S ribosomal protein L18a (LOC390354) on chromosome 12.","Chr12: 103.183450",14.032,"N/A","N/A","N/A",0.654,146,3.288e-19,"--","--"
15,"ILMN_1786273","C1ORF122","chromosome 1 open reading frame 122 (C1orf122), mRNA.","Chr1: 38.047325",10.497,"N/A","N/A","N/A",0.645,146,1.583e-18,"--","--"
16,"ILMN_1722713","FBLN1","fibulin 1 (FBLN1), transcript variant C, mRNA.","Chr22: 44.318029",7.004,"N/A","N/A","N/A",0.64,146,3.564e-18,"0.378","8.5000000000000006E-2"
17,"ILMN_1669424","LOC646531","similar to nuclease sensitive element binding protein 1 (LOC646531), mRNA.","Chr7: 105.010204",11.254,"N/A","N/A","N/A",0.635,146,7.678e-18,"--","--"
18,"ILMN_1687074","CDC14B","CDC14 cell division cycle 14 homolog B (S. cerevisiae) (CDC14B), transcript variant 3, mRNA.","ChrUn: 1.000000",8.151,"N/A","N/A","N/A",0.634,146,8.623e-18,"0.27100000000000002","0.35699999999999998"
19,"ILMN_1751904","EDNRB","endothelin receptor type B (EDNRB), transcript variant 2, mRNA.","Chr13: 77.372706",7.959,"N/A","N/A","N/A",0.634,146,9.128e-18,"0.40200000000000002","0.46899999999999997"
20,"ILMN_1672608","PPAP2B","phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 1, mRNA.","Chr1: 56.817352",7.159,"N/A","N/A","N/A",0.631,146,1.346e-17,"0.39700000000000002","0.57499999999999996"
21,"ILMN_1695299","PDLIM3","PDZ and LIM domain 3 (PDLIM3), mRNA.","Chr4: 186.660434",7.493,"N/A","N/A","N/A",0.625,146,3.354e-17,"0.29699999999999999","-0.15"
22,"ILMN_1766446","C6ORF48","chromosome 6 open reading frame 48 (C6orf48), mRNA.","Chr6: 31.910927",8.371,"N/A","N/A","N/A",0.621,146,6.121e-17,"--","--"
