"r.entrez","m.entrez","r.symb","m.symb","r.chr","m.chr","r.startpos","m.startpos"
"284443","284443","ZNF493","ZNF493","19","19",21.400169,21.400169
"143188","143188","LOC143188","LOC143188","10","10",114.610672,114.610672
"57661","57661","PHRF1","PHRF1","11","11",0.576446,0.576446
"100507321","100507321","ERVK13-1","ERVK13-1","16","16",2.658389,2.658389
"284009","284009","LOC284009","LOC284009","17","17",2.40698,2.40698
"729956","729956","SHISA7","SHISA7","19","19",55.428738,55.428738
"285074","285074","LOC285074","LOC285074","2","2",87.030674,87.030674
"282808","282808","RAB40AL","RAB40AL","X","X",102.937272,102.937272
"8027","8027","STAM","STAM","10","10",17.644125,17.644125
"387720","387720","LOC387720","LOC387720","10","10",127.734609,127.734609
"100506127","100506127","GVQW3","GVQW3","11","11",76.381303,76.381303
"2113","2113","ETS1","ETS1","11","11",128.458761,128.458761
"388022","388022","LOC388022","LOC388022","14","14",104.719759,104.719759
"389833","389833","LOC389833","LOC389833","4","4",0.026502,0.026502
"256158","256158","HMCN2","HMCN2","9","9",130.265742,130.265742
"5046","5046","PCSK6","PCSK6","15","15",99.742115,99.742115
"400499","400499","LOC400499","LOC400499","16","16",11.372014,11.372014
"400924","400924","LOC400924","LOC400924","22","22",28.756106,28.756106
"729857","729857","RGPD2","RGPD2","2","2",87.757198,87.757198
"442075","442075","EMC3-AS1","EMC3-AS1","3","3",9.986893,9.986893
"401072","401072","LOC401072","LOC401072","3","3",70.745438,70.745438
"55750","55750","AGK","AGK","7","7",141.551278,141.551278
"401589","401589","LOC401589","LOC401589","X","X",52.05117,52.05117
"402110","402110","LOC402110","LOC402110","4","4",48.992527,48.992527
"439985","439985","LOC439985","LOC439985","10","10",76.825429,76.825429
"54715","54715","RBFOX1","RBFOX1","16","16",5.239752,5.239752
"7709","7709","ZBTB17","ZBTB17","1","1",16.141275,16.141275
"23400","23400","ATP13A2","ATP13A2","1","1",16.985958,16.985958
"440742","440742","LOC440742","LOC440742","1","1",244.064329,244.064329
"441120","441120","LOC441120","LOC441120","5","5",179.012331,179.012331
"441233","441233","LOC441233","LOC441233","7","7",57.475796,57.475796
"441257","441257","LOC441257","LOC441257","7","7",72.134118,72.134118
"22853","22853","LMTK2","LMTK2","7","7",97.673262,97.673262
"441956","441956","LOC441956","LOC441956","21","21",13.679218,13.679218
"541469","541469","LOC541469","LOC541469","19","19",43.486253,43.486253
"541473","541473","LOC541473","LOC541473","7","7",75.391948,75.391948
"613266","613266","LOC613266","LOC613266","20","20",15.892332,15.892332
"23325","23325","WASHC4","WASHC4","12","12",105.107714,105.107714
"646347","646347","LOC646347","LOC646347","1","1",160.894888,160.894888
"399744","399744","LINC00999","LINC00999","10","10",38.428146,38.428146
"647115","647115","LOC647115","LOC647115","2","2",63.841106,63.841106
"727726","727726","LOC727726","LOC727726","10","10",50.69633,50.69633
"727797","727797","LOC727797","LOC727797","3","3",0.061481,0.061481
"727849","727849","LOC727849","LOC727849","15","15",80.979934,80.979934
"729021","729021","LOC729021","LOC729021","4","4",119.774245,119.774245
"88523","88523","LOC88523","LOC88523","13","13",31.905007,31.905007
"80216","80216","ALPK1","ALPK1","4","4",112.285995,112.285995
"5522","5522","PPP2R2C","PPP2R2C","4","4",6.320578,6.320578
