"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
32,"ILMN_1767523","IL17RB","interleukin 17 receptor B (IL17RB), mRNA.","ChrUn: 1.000000",8.308,"N/A","N/A","N/A",0.596,147,0.00000000000000166,"0.315","0.21",55540,"3","53.846580000000003",1,FALSE,"IL17RB","IL17RB"
61,"ILMN_1747683","AQP4","aquaporin 4 (AQP4), transcript variant b, mRNA.","Chr18: 22.686860",11.897,"N/A","N/A","N/A",0.566,147,0.00000000000008056,"0.38400000000000001","5.19999999999999E-2",361,"18","22.6868599999999",1,FALSE,"AQP4","AQP4"
72,"ILMN_1678629","DOCK7","dedicator of cytokinesis 7 (DOCK7), mRNA.","Chr1: 62.693692",9.105,"N/A","N/A","N/A",0.554,147,0.0000000000003233,"0.54200000000000004","-2.1999999999999902E-2",85440,"1","62.6936919999998",1,FALSE,"DOCK7","DOCK7"
83,"ILMN_1736078","THBS4","thrombospondin 4 (THBS4), mRNA.","Chr5: 79.414022",8.758,"N/A","N/A","N/A",0.541,147,0.000000000001533,"--","0.192",7060,"5","79.414022000000003",1,FALSE,"THBS4","THBS4"
86,"ILMN_1707592","RGN","regucalcin (senescence marker protein-30) (RGN), transcript variant 2, mRNA.","ChrX: 46.825526",7.326,"N/A","N/A","N/A",0.54,147,0.000000000001645,"0.60299999999999199","0.56499999999999195",9104,"X","46.825526000000004",1,FALSE,"RGN","RGN"
88,"ILMN_1736103","ITPR2","inositol 1,4,5-triphosphate receptor, type 2 (ITPR2), mRNA.","ChrUn: 1.000000",7.592,"N/A","N/A","N/A",0.538,147,0.000000000002065,"0.38300000000000001","0.115",3709,"12","26.3365149999998",1,FALSE,"ITPR2","ITPR2"
98,"ILMN_1714383","TPD52L1","tumor protein D52-like 1 (TPD52L1), transcript variant 3, mRNA.","Chr6: 125.625894",10.738,"N/A","N/A","N/A",0.528,147,0.000000000006566,"--","-4.7E-2",7164,"6","125.625894",1,FALSE,"TPD52L1","TPD52L1"
101,"ILMN_1751439","EMX2","empty spiracles homeobox 2 (EMX2), mRNA.","Chr10: 119.298517",7.842,"N/A","N/A","N/A",0.527,147,0.00000000000732,"0.42199999999999199","0.17100000000000001",2018,"10","119.298517",1,FALSE,"EMX2","EMX2"
103,"ILMN_1767612","BBS2","Bardet-Biedl syndrome 2 (BBS2), mRNA.","Chr16: 55.076248",11.361,"N/A","N/A","N/A",0.525,147,0.000000000008601,"0.52900000000000003","-0.307",583,"16","55.076248",1,FALSE,"BBS2","BBS2"
104,"ILMN_1747271","ATP1B2","ATPase, Na+/K+ transporting, beta 2 polypeptide (ATP1B2), mRNA.","Chr17: 7.501480",11.951,"N/A","N/A","N/A",0.525,147,0.000000000008675,"0.38","-0.26700000000000002",482,"17","7.5014799999999902",1,FALSE,"ATP1B2","ATP1B2"
107,"ILMN_1690621","GPR98","G protein-coupled receptor 98 (GPR98), transcript variant 1, mRNA.","ChrUn: 1.000000",9.776,"N/A","N/A","N/A",0.523,147,0.00000000001079,"0.432","9.2999999999999902E-2",84059,"5","90.529343999999497",1,FALSE,"GPR98","GPR98"
114,"ILMN_1769665","RAB5C","RAB5C, member RAS oncogene family (RAB5C), transcript variant 1, mRNA.","Chr17: 37.530711",9.996,"N/A","N/A","N/A",0.517,147,0.00000000002124,"0.29699999999999199","0.40500000000000003",5878,"17","37.530710999999499",1,FALSE,"RAB5C","RAB5C"
115,"ILMN_1785284","ALDH6A1","aldehyde dehydrogenase 6 family, member A1 (ALDH6A1), nuclear gene encoding mitochondrial protein, mRNA.","Chr14: 73.597101",11.837,"N/A","N/A","N/A",0.516,147,0.00000000002151,"0.371","0.70799999999999197",4329,"14","73.597100999999498",1,FALSE,"ALDH6A1","ALDH6A1"
116,"ILMN_1795838","C4orf19","chromosome 4 open reading frame 19 (C4orf19), mRNA.","Chr4: 37.269572",6.962,"N/A","N/A","N/A",0.516,147,0.00000000002279,"--","--",55286,"4","37.269571999999499",1,TRUE,"C4ORF19","C4orf19"
121,"ILMN_1721106","C14orf159","chromosome 14 open reading frame 159 (C14orf159), mRNA.","Chr14: 90.761166",11.19,"N/A","N/A","N/A",0.511,147,0.00000000003792,"--","--",80017,"14","90.761166000000003",1,TRUE,"C14ORF159","C14orf159"
124,"ILMN_1696434","LAMA1","laminin, alpha 1 (LAMA1), mRNA.","Chr18: 6.933213",7.005,"N/A","N/A","N/A",0.509,147,0.00000000004818,"0.304999999999997","0.11",284217,"18","6.9332130000000003",1,FALSE,"LAMA1","LAMA1"
126,"ILMN_1707342","LRIG1","leucine-rich repeats and immunoglobulin-like domains 1 (LRIG1), mRNA.","Chr3: 66.512315",10.017,"N/A","N/A","N/A",0.507,147,0.00000000005586,"0.34300000000000003","0.13900000000000001",26018,"3","66.512315000000001",1,FALSE,"LRIG1","LRIG1"
130,"ILMN_1785380","SLC1A2","solute carrier family 1 (glial high affinity glutamate transporter), member 2 (SLC1A2), mRNA.","ChrUn: 1.000000",14.436,"N/A","N/A","N/A",0.506,147,0.00000000006409,"--","8.5000000000000006E-2",6506,"11","35.251206000000003",1,FALSE,"SLC1A2","SLC1A2"
131,"ILMN_1807016","LHX2","LIM homeobox 2 (LHX2), mRNA.","Chr9: 125.834947",12.913,"N/A","N/A","N/A",0.505,147,0.00000000006729,"0.379","-0.13300000000000001",9355,"9","125.834947",1,FALSE,"LHX2","LHX2"
133,"ILMN_1732831","CHST7","carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7 (CHST7), mRNA.","ChrX: 46.342593",9.58,"N/A","N/A","N/A",0.505,147,0.00000000007046,"0.212999999999999","0.44400000000000001",56548,"X","46.342593000000001",1,FALSE,"CHST7","CHST7"
134,"ILMN_1756898","COQ9","coenzyme Q9 homolog (S. cerevisiae) (COQ9), mRNA.","Chr16: 56.052321",10.046,"N/A","N/A","N/A",0.503,147,0.00000000008531,"0.427999999999995","0.430999999999999",57017,"16","56.0523209999999",1,FALSE,"COQ9","COQ9"
143,"ILMN_1729112","CHPT1","choline phosphotransferase 1 (CHPT1), mRNA.","Chr12: 100.638149",10.112,"N/A","N/A","N/A",0.499,147,0.0000000001257,"0.47899999999999199","0.47799999999999199",56994,"12","100.638149",1,FALSE,"CHPT1","CHPT1"
156,"ILMN_1812262","DDR1","discoidin domain receptor family, member 1 (DDR1), transcript variant 1, mRNA.","Chr6: 30.975562",10.14,"N/A","N/A","N/A",0.492,147,0.0000000002358,"0.501","-0.127",780,"6","30.975562",1,FALSE,"DDR1","DDR1"
