"Index","Record","Symbol","Description","Location","Mean","Max.LRS..","Max.LRS.Location","Additive.Effect..","Sample.r","X.nbsp..nbsp.N","Sample.p.r.","Lit.r","Tissue.r","ENTREZID","loc","bp","corsign","symbol_change","orig.symbol","new.symbol"
16349,"ILMN_1736007","A1BG","alpha-1-B glycoprotein (A1BG), mRNA.","Chr19: 63.549180",6.822,"N/A","N/A","N/A",-0.08,146,0.3362,"0.38","0.44",1,"19","63.54918",-1,FALSE,"A1BG","A1BG"
15538,"ILMN_1814316","A2BP1","ataxin 2-binding protein 1 (A2BP1), transcript variant 4, mRNA.","Chr16: 7.666831",8.784,"N/A","N/A","N/A",-0.091,146,0.2736,"0.39","-2.8000000000000001E-2",54715,"16","7.6668310000000002",-1,FALSE,"A2BP1","A2BP1"
15653,"ILMN_1745607","A2M","alpha-2-macroglobulin (A2M), mRNA.","Chr12: 9.111650",9.621,"N/A","N/A","N/A",-0.089,146,0.2828,"0.47199999999999198","-0.16700000000000001",2,"12","9.1116499999999903",-1,FALSE,"A2M","A2M"
8196,"ILMN_1757454","A2ML1","alpha-2-macroglobulin-like 1 (A2ML1), mRNA.","Chr12: 8.920191",6.796,"N/A","N/A","N/A",-0.202,146,0.01438,"--","--",144568,"12","8.9201910000000009",-1,FALSE,"A2ML1","A2ML1"
9627,"ILMN_1735045","A4GALT","alpha 1,4-galactosyltransferase (globotriaosylceramide synthase) (A4GALT), mRNA.","Chr22: 41.418120",6.911,"N/A","N/A","N/A",-0.181,146,0.02915,"0.46500000000000002","0.19700000000000001",53947,"22","41.418120000000002",-1,FALSE,"A4GALT","A4GALT"
8784,"ILMN_1680754","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase (A4GNT), mRNA.","Chr3: 139.325896",6.938,"N/A","N/A","N/A",-0.193,146,0.01942,"0.32200000000000001","0.218",51146,"3","139.325896",-1,FALSE,"A4GNT","A4GNT"
6918,"ILMN_1675204","AAA1","AAA1 protein (AAA1), transcript variant VII, mRNA.","Chr7: 34.574394",6.808,"N/A","N/A","N/A",-0.221,146,0.007255,"--","--",404744,"7","34.5743939999997",-1,FALSE,"AAA1","AAA1"
14836,"ILMN_1755321","AAAS","achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A) (AAAS), mRNA.","Chr12: 51.987594",7.23,"N/A","N/A","N/A",-0.102,146,0.2214,"0.497","-0.435",8086,"12","51.987594000000001",-1,FALSE,"AAAS","AAAS"
15027,"ILMN_1698554","AACS","acetoacetyl-CoA synthetase (AACS), mRNA.","ChrUn: 1.000000",8.044,"N/A","N/A","N/A",-0.099,146,0.2351,"0.32800000000000001","0.54300000000000004",65985,"12","125.065378999999",-1,FALSE,"AACS","AACS"
7913,"ILMN_1805938","AADAC","arylacetamide deacetylase (esterase) (AADAC), mRNA.","Chr3: 153.028509",6.76,"N/A","N/A","N/A",-0.206,146,0.01241,"0.33200000000000002","0.617999999999998",13,"3","153.02850900000001",-1,FALSE,"AADAC","AADAC"
8377,"ILMN_1676336","AADACL1","arylacetamide deacetylase-like 1 (AADACL1), mRNA.","Chr3: 173.831679",8.935,"N/A","N/A","N/A",-0.199,146,0.01579,"0.379","0.441",57552,"3","173.83167900000001",-1,FALSE,"AADACL1","AADACL1"
4995,"ILMN_1752884","AADACL2","arylacetamide deacetylase-like 2 (AADACL2), mRNA.","Chr3: 152.957797",6.744,"N/A","N/A","N/A",-0.252,146,0.002136,"--","--",344752,"3","152.957797",-1,FALSE,"AADACL2","AADACL2"
4567,"ILMN_1668851","AADACL4","arylacetamide deacetylase-like 4 (AADACL4), mRNA.","Chr1: 12.649348",6.967,"N/A","N/A","N/A",-0.259,146,0.001567,"--","--",343066,"1","12.649348",-1,FALSE,"AADACL4","AADACL4"
12239,"ILMN_1801812","AADAT","aminoadipate aminotransferase (AADAT), transcript variant 1, mRNA.","Chr4: 171.247586",7.416,"N/A","N/A","N/A",-0.141,146,0.0905,"0.63200000000000001","0.56699999999999195",51166,"4","171.24758600000001",-1,FALSE,"AADAT","AADAT"
8200,"ILMN_1689211","AAK1","AP2 associated kinase 1 (AAK1), mRNA.","Chr2: 69.563227",6.834,"N/A","N/A","N/A",-0.202,146,0.01442,"0.16200000000000001","-5.0000000000000001E-3",22848,"2","69.5632269999996",-1,FALSE,"AAK1","AAK1"
